cell,group in,nuclide,mean,std. dev.
1,1,N15,2.530691754494211e-11,2.846239364670468e-12
1,1,N14,4.945180669049045e-06,4.3619574580110154e-08
1,1,O18,7.633609154451025e-12,1.4622334347263367e-13
1,1,O17,3.751883704034696e-10,3.0680776744972853e-12
1,1,O16,1.2240700655724788e-07,2.223094507933179e-09
1,1,Ar40,3.549079261008952e-10,7.633295811235431e-12
1,1,Ar36,3.693897627294126e-10,3.5093962735075124e-12
1,1,Ar38,2.387678040926524e-12,4.240216798916921e-14
1,1,C13,6.298857023677927e-14,2.1049249680632772e-15
1,1,C12,6.699871948474472e-12,2.999183466550656e-13
1,2,N15,0.0,0.0
1,2,N14,0.0,0.0
1,2,O18,0.0,0.0
1,2,O17,0.0,0.0
1,2,O16,0.0,0.0
1,2,Ar40,0.0,0.0
1,2,Ar36,0.0,0.0
1,2,Ar38,0.0,0.0
1,2,C13,0.0,0.0
1,2,C12,0.0,0.0
