cell,group in,nuclide,mean,std. dev.
1,1,N15,3.680974587981393e-07,2.951533683196863e-09
1,1,N14,7.127355382236993e-05,5.577058975572898e-07
1,1,O18,7.413585590515653e-08,5.995787526301541e-10
1,1,O17,5.5724595707701556e-09,4.436379014447384e-11
1,1,O16,2.822888257941106e-05,2.444975347430284e-07
1,1,Ar40,1.5683608723122988e-06,1.2436847590821877e-08
1,1,Ar36,4.0289186544478095e-09,3.223808336707769e-11
1,1,Ar38,7.989236438569332e-10,6.215227362092628e-12
1,1,C13,1.5233275573472343e-10,1.3109527822910938e-12
1,1,C12,1.4008691369717183e-08,1.161617717200621e-10
1,2,N15,0.0,0.0
1,2,N14,0.0,0.0
1,2,O18,0.0,0.0
1,2,O17,0.0,0.0
1,2,O16,0.0,0.0
1,2,Ar40,0.0,0.0
1,2,Ar36,0.0,0.0
1,2,Ar38,0.0,0.0
1,2,C13,0.0,0.0
1,2,C12,0.0,0.0
