cell,group in,group out,legendre,nuclide,mean,std. dev.
1,1,1,P0,N15,0.0,0.0
1,1,1,P0,N14,5.0006594450717805e-05,1.1743226594111986e-05
1,1,1,P0,O17,0.0,0.0
1,1,1,P0,O16,3.393304623441567e-05,8.884004674879856e-06
1,1,1,P0,O18,0.0,0.0
1,1,1,P0,Ar38,0.0,0.0
1,1,1,P0,Ar40,0.0,0.0
1,1,1,P0,Ar36,0.0,0.0
1,1,1,P0,C13,0.0,0.0
1,1,1,P0,C12,0.0,0.0
1,1,1,P1,N15,0.0,0.0
1,1,1,P1,N14,7.2576998867414535e-06,5.7114401243790815e-06
1,1,1,P1,O17,0.0,0.0
1,1,1,P1,O16,6.2586311703516685e-06,4.823900276078946e-06
1,1,1,P1,O18,0.0,0.0
1,1,1,P1,Ar38,0.0,0.0
1,1,1,P1,Ar40,0.0,0.0
1,1,1,P1,Ar36,0.0,0.0
1,1,1,P1,C13,0.0,0.0
1,1,1,P1,C12,0.0,0.0
1,1,2,P0,N15,0.0,0.0
1,1,2,P0,N14,0.0,0.0
1,1,2,P0,O17,0.0,0.0
1,1,2,P0,O16,3.571899603622701e-06,2.5460481267709073e-06
1,1,2,P0,O18,0.0,0.0
1,1,2,P0,Ar38,0.0,0.0
1,1,2,P0,Ar40,0.0,0.0
1,1,2,P0,Ar36,0.0,0.0
1,1,2,P0,C13,0.0,0.0
1,1,2,P0,C12,0.0,0.0
1,1,2,P1,N15,0.0,0.0
1,1,2,P1,N14,0.0,0.0
1,1,2,P1,O17,0.0,0.0
1,1,2,P1,O16,-9.9119555666199e-07,1.6847431775682424e-06
1,1,2,P1,O18,0.0,0.0
1,1,2,P1,Ar38,0.0,0.0
1,1,2,P1,Ar40,0.0,0.0
1,1,2,P1,Ar36,0.0,0.0
1,1,2,P1,C13,0.0,0.0
1,1,2,P1,C12,0.0,0.0
1,1,3,P0,N15,0.0,0.0
1,1,3,P0,N14,0.0,0.0
1,1,3,P0,O17,0.0,0.0
1,1,3,P0,O16,0.0,0.0
1,1,3,P0,O18,0.0,0.0
1,1,3,P0,Ar38,0.0,0.0
1,1,3,P0,Ar40,0.0,0.0
1,1,3,P0,Ar36,0.0,0.0
1,1,3,P0,C13,0.0,0.0
1,1,3,P0,C12,0.0,0.0
1,1,3,P1,N15,0.0,0.0
1,1,3,P1,N14,0.0,0.0
1,1,3,P1,O17,0.0,0.0
1,1,3,P1,O16,0.0,0.0
1,1,3,P1,O18,0.0,0.0
1,1,3,P1,Ar38,0.0,0.0
1,1,3,P1,Ar40,0.0,0.0
1,1,3,P1,Ar36,0.0,0.0
1,1,3,P1,C13,0.0,0.0
1,1,3,P1,C12,0.0,0.0
1,1,4,P0,N15,0.0,0.0
1,1,4,P0,N14,0.0,0.0
1,1,4,P0,O17,0.0,0.0
1,1,4,P0,O16,0.0,0.0
1,1,4,P0,O18,0.0,0.0
1,1,4,P0,Ar38,0.0,0.0
1,1,4,P0,Ar40,0.0,0.0
1,1,4,P0,Ar36,0.0,0.0
1,1,4,P0,C13,0.0,0.0
1,1,4,P0,C12,0.0,0.0
1,1,4,P1,N15,0.0,0.0
1,1,4,P1,N14,0.0,0.0
1,1,4,P1,O17,0.0,0.0
1,1,4,P1,O16,0.0,0.0
1,1,4,P1,O18,0.0,0.0
1,1,4,P1,Ar38,0.0,0.0
1,1,4,P1,Ar40,0.0,0.0
1,1,4,P1,Ar36,0.0,0.0
1,1,4,P1,C13,0.0,0.0
1,1,4,P1,C12,0.0,0.0
1,1,5,P0,N15,0.0,0.0
1,1,5,P0,N14,0.0,0.0
1,1,5,P0,O17,0.0,0.0
1,1,5,P0,O16,0.0,0.0
1,1,5,P0,O18,0.0,0.0
1,1,5,P0,Ar38,0.0,0.0
1,1,5,P0,Ar40,0.0,0.0
1,1,5,P0,Ar36,0.0,0.0
1,1,5,P0,C13,0.0,0.0
1,1,5,P0,C12,0.0,0.0
1,1,5,P1,N15,0.0,0.0
1,1,5,P1,N14,0.0,0.0
1,1,5,P1,O17,0.0,0.0
1,1,5,P1,O16,0.0,0.0
1,1,5,P1,O18,0.0,0.0
1,1,5,P1,Ar38,0.0,0.0
1,1,5,P1,Ar40,0.0,0.0
1,1,5,P1,Ar36,0.0,0.0
1,1,5,P1,C13,0.0,0.0
1,1,5,P1,C12,0.0,0.0
1,1,6,P0,N15,0.0,0.0
1,1,6,P0,N14,0.0,0.0
1,1,6,P0,O17,0.0,0.0
1,1,6,P0,O16,0.0,0.0
1,1,6,P0,O18,0.0,0.0
1,1,6,P0,Ar38,0.0,0.0
1,1,6,P0,Ar40,0.0,0.0
1,1,6,P0,Ar36,0.0,0.0
1,1,6,P0,C13,0.0,0.0
1,1,6,P0,C12,0.0,0.0
1,1,6,P1,N15,0.0,0.0
1,1,6,P1,N14,0.0,0.0
1,1,6,P1,O17,0.0,0.0
1,1,6,P1,O16,0.0,0.0
1,1,6,P1,O18,0.0,0.0
1,1,6,P1,Ar38,0.0,0.0
1,1,6,P1,Ar40,0.0,0.0
1,1,6,P1,Ar36,0.0,0.0
