cell,group in,nuclide,mean,std. dev.
1,1,N15,3.334546567674968e-07,3.5539658276985165e-09
1,1,N14,6.632092609160473e-05,6.726766709839474e-07
1,1,O17,5.543356982590174e-09,5.83838513214345e-11
1,1,O16,2.3571750436951558e-05,2.821782226973055e-07
1,1,O18,7.471052775899776e-08,7.787558303063883e-10
1,1,Ar38,8.701832518303967e-10,9.165425968496663e-12
1,1,Ar40,1.7772600923377105e-06,1.7203740218265114e-08
1,1,Ar36,4.58858016687062e-09,4.6109646836354704e-11
1,1,C13,1.196899715098799e-10,1.3741591995095574e-12
1,1,C12,1.1845856460043935e-08,1.3517188112665917e-10
1,2,N15,4.763465487790412e-07,8.242029593496006e-09
1,2,N14,0.00010693112751534141,1.8802626960346877e-06
1,2,O17,7.204367446529335e-09,1.256257756475595e-10
1,2,O16,4.328964008061413e-05,8.123945046297501e-07
1,2,O18,7.237886561781736e-08,1.385740146765095e-09
1,2,Ar38,5.906188626316893e-10,1.1264242599584311e-11
1,2,Ar40,9.176835421780527e-07,2.0591199942529933e-08
1,2,Ar36,3.740319317257846e-09,7.726028770185382e-11
1,2,C13,2.544844631652705e-10,4.4928733503704e-12
1,2,C12,2.0788430969223877e-08,3.595079997627666e-10
1,3,N15,5.935734730251837e-07,2.1063902022828102e-07
1,3,N14,0.00035095366964435173,0.0001240914793984937
1,3,O17,1.4648547687283632e-08,5.20014365016893e-09
1,3,O16,3.9023817438471745e-05,1.3851906557811674e-05
1,3,O18,6.422777331705048e-08,2.279865890552635e-08
1,3,Ar38,1.3186520999336395e-09,4.5579160934968794e-10
1,3,Ar40,2.3216654296983435e-07,8.180797313849977e-08
1,3,Ar36,6.455778964824465e-08,2.2376741454545493e-08
1,3,C13,3.755294316474769e-10,1.3331114692591191e-10
1,3,C12,2.769225980843115e-08,9.829437939970053e-09
1,4,N15,0.0,0.0
1,4,N14,0.0,0.0
1,4,O17,0.0,0.0
1,4,O16,0.0,0.0
1,4,O18,0.0,0.0
1,4,Ar38,0.0,0.0
1,4,Ar40,0.0,0.0
1,4,Ar36,0.0,0.0
1,4,C13,0.0,0.0
1,4,C12,0.0,0.0
1,5,N15,0.0,0.0
1,5,N14,0.0,0.0
1,5,O17,0.0,0.0
1,5,O16,0.0,0.0
1,5,O18,0.0,0.0
1,5,Ar38,0.0,0.0
1,5,Ar40,0.0,0.0
1,5,Ar36,0.0,0.0
1,5,C13,0.0,0.0
1,5,C12,0.0,0.0
1,6,N15,0.0,0.0
1,6,N14,0.0,0.0
1,6,O17,0.0,0.0
1,6,O16,0.0,0.0
1,6,O18,0.0,0.0
1,6,Ar38,0.0,0.0
1,6,Ar40,0.0,0.0
1,6,Ar36,0.0,0.0
1,6,C13,0.0,0.0
1,6,C12,0.0,0.0
1,7,N15,0.0,0.0
1,7,N14,0.0,0.0
1,7,O17,0.0,0.0
1,7,O16,0.0,0.0
1,7,O18,0.0,0.0
1,7,Ar38,0.0,0.0
1,7,Ar40,0.0,0.0
1,7,Ar36,0.0,0.0
1,7,C13,0.0,0.0
1,7,C12,0.0,0.0
1,8,N15,0.0,0.0
1,8,N14,0.0,0.0
1,8,O17,0.0,0.0
1,8,O16,0.0,0.0
1,8,O18,0.0,0.0
1,8,Ar38,0.0,0.0
1,8,Ar40,0.0,0.0
1,8,Ar36,0.0,0.0
1,8,C13,0.0,0.0
1,8,C12,0.0,0.0
