cell,group in,nuclide,mean,std. dev.
3,1,N14,1.5126037016701955e-06,6.668035839925374e-09
3,1,N15,1.7072433199546211e-12,6.344647424012141e-14
3,1,O18,2.0891771313940534e-13,4.769701805386133e-15
3,1,O17,8.364132296832527e-11,2.340255571616289e-13
3,1,O16,2.8117510745853582e-09,7.808448497823988e-11
3,1,Ar36,4.251384470693528e-11,2.348196896008972e-13
3,1,Ar38,1.131295770741164e-12,7.07557934251336e-15
3,1,Ar40,1.516760651177317e-09,9.57671811888009e-12
3,1,Ar41,5.821356244855396e-11,2.032045780018938e-12
3,1,C12,5.118197617221371e-13,1.2323294657097457e-14
3,1,C13,3.4628101010959774e-15,1.0099489362193014e-16
3,2,N14,5.988355540523242e-05,3.850092281186992e-07
3,2,N15,2.783345833023999e-12,1.789101819372795e-14
3,2,O18,2.2932527457984784e-12,1.4743478534154036e-14
3,2,O17,6.727594217088514e-10,4.325348341884593e-12
3,2,O16,1.26013159934612e-09,8.101400567563076e-12
3,2,Ar36,2.2581860057599353e-09,1.4535502499319405e-11
3,2,Ar38,6.909902728344378e-11,4.4585086490903556e-13
3,2,Ar40,8.62179019665634e-08,5.543261664864552e-10
3,2,Ar41,6.615885444175447e-10,4.2535560762992585e-12
3,2,C12,1.7708465093403285e-11,1.1385241693258175e-13
3,2,C13,7.710771156744189e-14,4.957340616171929e-16
