cell,group in,nuclide,mean,std. dev.
3,1,N14,0.00023842159630417588,7.184476997926312e-07
3,1,N15,5.717652209938451e-07,1.5813951137727241e-09
3,1,O18,5.982169890227062e-08,1.5802911572881654e-10
3,1,O17,1.0079254190467725e-08,2.894531761783641e-11
3,1,O16,3.573316342332899e-05,9.81445473940034e-08
3,1,Ar36,1.4635697261616673e-08,5.260761973803965e-11
3,1,Ar38,4.24720059947354e-10,1.3079133469531805e-12
3,1,Ar40,2.780689428912273e-07,9.927190275428247e-10
3,1,Ar41,5.7856318416541585e-09,1.9842481830431148e-11
3,1,C12,2.4502801294906836e-08,6.83802042502153e-11
3,1,C13,3.2554294347327097e-10,9.326282071687394e-13
3,2,N14,0.0004092240886914945,2.5301509460788216e-06
3,2,N15,6.671383398613296e-07,4.125475184298037e-09
3,2,O18,6.031070773699021e-08,3.7290054684905165e-10
3,2,O17,1.374467517837678e-08,8.498247808399623e-11
3,2,O16,3.675428243864244e-05,2.2724803285701397e-07
3,2,Ar36,4.191817055866707e-08,2.592091160329362e-10
3,2,Ar38,9.47445631709865e-10,5.858762917844349e-12
3,2,Ar40,1.0998239740036407e-07,6.800292493128787e-10
3,2,Ar41,5.24717562114159e-09,3.244756430824845e-11
3,2,C12,2.868309861242361e-08,1.773404070874726e-10
3,2,C13,3.8695942770034165e-10,2.392477378091537e-12
