cell,group in,nuclide,mean,std. dev.
2,1,C12,0.0011870484151116972,3.5936586918015144e-06
2,1,C13,1.5252735179334174e-05,4.781078243351323e-08
2,1,Si30,0.00013924903937931568,3.9030308990557725e-07
2,1,Si28,0.005268733823326908,1.3879690021596731e-05
2,1,Si29,0.00020668927417185275,5.681549748141023e-07
2,1,Mn55,0.018633316990082516,8.626509550422328e-05
2,1,P31,0.00023270213615248465,6.781338620862067e-07
2,1,S33,7.876089664594621e-07,2.1879181431409285e-09
2,1,S34,4.040093156838433e-06,1.0670268558082727e-08
2,1,S32,0.00011891217437191493,3.5611123783612376e-07
2,1,S36,1.4856475081502283e-08,4.05518320469777e-11
2,1,Cr54,0.0015229256484568486,4.7196611363015585e-06
2,1,Cr52,0.04575632376665692,0.00013332810495453063
2,1,Cr50,0.006492624426621563,2.8684020502462804e-05
2,1,Cr53,0.016714669237633435,6.968865769799935e-05
2,1,Ni64,0.0006255044011590628,2.498055778820135e-06
2,1,Ni62,0.00441978747305286,2.0197484723904203e-05
2,1,Ni58,0.04836482446693986,0.00019373765633181293
2,1,Ni61,0.0006989096730985223,2.2189117742944225e-06
2,1,Ni60,0.013204912731967956,5.121914381969985e-05
2,1,Fe56,0.1884380874225125,0.000680157184270087
2,1,Fe54,0.017744109882298666,5.915830603468563e-05
2,1,Fe57,0.006922239237048751,2.3580118465610068e-05
2,1,Fe58,0.0010684120473438696,3.604617266108417e-06
2,2,C12,0.0015410235383536137,1.4373781191523969e-05
2,2,C13,2.0800830051885875e-05,1.9400645463279854e-07
2,2,Si30,0.00013130855955607886,1.2242338962365407e-06
2,2,Si28,0.0031244116198121306,2.913053806238468e-05
2,2,Si29,0.00020952884737197053,1.953527276821635e-06
2,2,Mn55,0.0036982089952084197,3.4475397863414284e-05
2,2,P31,0.0002894784067739457,2.6988794615982615e-06
2,2,S33,9.67823776009928e-07,9.023110851744882e-09
2,2,S34,3.960471516103601e-06,3.6923561668066495e-08
2,2,S32,4.162518120639598e-05,3.8807860811900474e-07
2,2,S36,1.446640595615608e-08,1.348687122026197e-10
2,2,Cr54,0.0011100958940855822,1.0348481432682474e-05
2,2,Cr52,0.047563796425809095,0.00044339960499826565
2,2,Cr50,0.0019412914553946694,1.809728286815822e-05
2,2,Cr53,0.013842287690395647,0.00012904036547274175
2,2,Ni64,2.368757868761875e-05,2.2084471623270448e-07
2,2,Ni62,0.003193465748913842,2.9773680983363637e-05
2,2,Ni58,0.15401624788653512,0.0014359687528307
2,2,Ni61,0.000906672993087041,8.453226480346652e-06
2,2,Ni60,0.002605043766715296,2.428784779065602e-05
2,2,Fe56,0.6358671979982014,0.005928564441374066
2,2,Fe54,0.007252509887111718,6.762020798630326e-05
2,2,Fe57,0.0007337840551845164,6.84146061461936e-06
2,2,Fe58,0.0012031664213382161,1.1215974379572683e-05
