cell,group in,group out,legendre,nuclide,mean,std. dev.
2,1,1,P0,C12,0.0011867989740550423,1.1742371978985534e-05
2,1,1,P0,C13,1.5252735179334174e-05,1.0712060231349742e-06
2,1,1,P0,Si30,0.00013924903937931568,2.7476014948383393e-06
2,1,1,P0,Si28,0.005268567291503679,2.8921499389212454e-05
2,1,1,P0,Si29,0.00020668927417185275,4.243432076311299e-06
2,1,1,P0,Mn55,0.018633066656673188,0.00014237735383654924
2,1,1,P0,P31,0.00023270213615248465,3.614066670165794e-06
2,1,1,P0,S33,7.876089664594621e-07,2.638814639794377e-07
2,1,1,P0,S34,4.040093156838433e-06,5.555762284957201e-07
2,1,1,P0,S32,0.00011887098553423847,3.4320139400376693e-06
2,1,1,P0,S36,0.0,0.0
2,1,1,P0,Cr54,0.0015228417753659243,1.1985812811059394e-05
2,1,1,P0,Cr52,0.045753027935427966,0.00020324540417179348
2,1,1,P0,Cr50,0.006492582543585874,5.5192836539682776e-05
2,1,1,P0,Cr53,0.016713919620593553,0.0001224737203221097
2,1,1,P0,Ni64,0.0006255044011590628,8.30059367232206e-06
2,1,1,P0,Ni62,0.004419536186951598,3.6058001485236345e-05
2,1,1,P0,Ni58,0.048355610049523996,0.00031682134214362523
2,1,1,P0,Ni61,0.0006989096730985223,7.90433724960619e-06
2,1,1,P0,Ni60,0.01320462034391622,8.034152585670049e-05
2,1,1,P0,Fe56,0.18840102532968223,0.0010562984904542638
2,1,1,P0,Fe54,0.01774356951079739,0.00010216600465052507
2,1,1,P0,Fe57,0.006922114334055069,4.1301194915249824e-05
2,1,1,P0,Fe58,0.0010683299407504138,1.1519096560822409e-05
2,1,1,P1,C12,0.00010921350866942325,4.166497344012416e-06
2,1,1,P1,C13,1.1750101258952191e-06,4.682441605552365e-07
2,1,1,P1,Si30,1.5621599615348806e-05,1.2787702973986246e-06
2,1,1,P1,Si28,0.0006968213932824235,1.0141636268350114e-05
2,1,1,P1,Si29,2.7366989453537107e-05,1.9887791472149843e-06
2,1,1,P1,Mn55,0.0006976223232170929,1.71817714604799e-05
2,1,1,P1,P31,3.4259037271997844e-05,1.7652155472094901e-06
2,1,1,P1,S33,1.7636711721624728e-07,1.099949004589056e-07
2,1,1,P1,S34,7.288106403407596e-07,2.7104703716807837e-07
2,1,1,P1,S32,2.0693126105175483e-05,1.4270320360871766e-06
2,1,1,P1,S36,0.0,0.0
2,1,1,P1,Cr54,0.00016408998570402979,5.185585186204227e-06
2,1,1,P1,Cr52,0.005100522785297179,3.7690564395545795e-05
