cell,group in,nuclide,mean,std. dev.
2,1,C12,0.0011870833074763391,3.5936396236944455e-06
2,1,C13,1.5253054600566186e-05,4.781064170999164e-08
2,1,Si30,0.00013977270157533936,3.927346202787048e-07
2,1,Si28,0.005272307800426579,1.3885256697456392e-05
2,1,Si29,0.00020686663300553066,5.685864319269089e-07
2,1,Mn55,0.01879564882080824,8.71556415183261e-05
2,1,P31,0.00023322639645722014,6.794656749135836e-07
2,1,S33,8.512550112260749e-07,2.3566040201166677e-09
2,1,S34,4.042199497449496e-06,1.0675674735582323e-08
2,1,S32,0.00011994304147543024,3.582708715580081e-07
2,1,S36,1.4862728485751217e-08,4.0576263930627056e-11
2,1,Cr54,0.0015247811588392725,4.724738197804944e-06
2,1,Cr52,0.04584863484877617,0.00013362066332689893
2,1,Cr50,0.006535492279062219,2.8820858264690978e-05
2,1,Cr53,0.01680120725035428,7.003098857184608e-05
2,1,Ni64,0.0006263308702137776,2.5017569317409917e-06
2,1,Ni62,0.004435743035943589,2.0260966055032986e-05
2,1,Ni58,0.048558319861456395,0.00019440332011404525
2,1,Ni61,0.0007042569535988202,2.2420980475753157e-06
2,1,Ni60,0.013245283010681043,5.134130143687552e-05
2,1,Fe56,0.1890035197153382,0.0006827757273467741
2,1,Fe54,0.01781216658349461,5.934868448386479e-05
2,1,Fe57,0.006945573432416272,2.366507956763591e-05
2,1,Fe58,0.001070761538731705,3.615226116983611e-06
2,2,C12,0.001541815441029687,1.4381225024974455e-05
2,2,C13,2.080427749683169e-05,1.9403884195212436e-07
2,2,Si30,0.00013497171410960202,1.2586034063116867e-06
2,2,Si28,0.003297263411966062,3.075600351159502e-05
2,2,Si29,0.00021575379267082812,2.0119464793595696e-06
2,2,Mn55,0.018740690637853014,0.000184316659127181
2,2,P31,0.00029710826137753954,2.7704507080387207e-06
2,2,S33,1.1020563692414345e-06,1.028142126969388e-08
2,2,S34,4.233655440392858e-06,3.94938105533154e-08
2,2,S32,5.654472435875942e-05,5.306297504596256e-07
2,2,S36,1.5155596885348877e-08,1.4132015623574456e-10
2,2,Cr54,0.001226471982885205,1.1445228431620378e-05
2,2,Cr52,0.05616567799693791,0.0005248520670794336
2,2,Cr50,0.009950452582953089,9.790308616653433e-05
2,2,Cr53,0.03441309186527906,0.0003308700759915573
2,2,Ni64,0.00010358694262186916,1.0151951407890728e-06
2,2,Ni62,0.006352087046365771,6.054204125981948e-05
2,2,Ni58,0.17079213665635656,0.0015943127052873653
2,2,Ni61,0.001073451412256161,1.0034586160175476e-05
2,2,Ni60,0.006275547435379803,6.028527900839744e-05
2,2,Fe56,0.7235476091298518,0.006757797763864897
2,2,Fe54,0.012085085315434093,0.00011435312899838177
2,2,Fe57,0.0026628932185583797,2.5957285298548114e-05
2,2,Fe58,0.0013391673641382155,1.2498265055449551e-05
