cell,group in,nuclide,mean,std. dev.
4,1,H1,0.00010682588319636647,2.1413829918304782e-07
4,1,H2,2.793057650736352e-11,5.2980105803568464e-14
4,1,C12,1.3597247189511387e-08,2.820453175818271e-10
4,1,C13,7.925602457620343e-11,1.986815605609347e-12
4,1,O18,1.0691368516363172e-09,2.7152505340363612e-11
4,1,O17,3.166905881158291e-07,8.084815612859534e-10
4,1,O16,1.3089185810185914e-05,3.805694889448833e-07
4,1,Na23,1.594522810980421e-05,3.336821602321312e-08
4,1,Mg24,1.812282598586559e-07,1.389337903245776e-09
4,1,Mg26,1.2896181899551935e-08,2.9623604283741817e-11
4,1,Mg25,6.720627879780617e-08,2.1653528630048782e-10
4,1,Al27,1.2159607192615039e-05,4.423186332103302e-08
4,1,Si30,1.5003661315838195e-05,3.120867355593451e-07
4,1,Si28,7.212734011670833e-05,2.9670562775338835e-07
4,1,Si29,3.749777697803702e-06,3.8241051855011823e-08
4,1,K41,1.6688763685153135e-06,1.0400620934611746e-08
4,1,K40,4.467876448691717e-08,8.764507058384894e-11
4,1,K39,2.465866541974055e-05,6.544205699680522e-08
4,1,Ca43,6.283759012508245e-07,1.2327832587550628e-09
4,1,Ca40,2.426834003706132e-05,1.4796267456587327e-07
4,1,Ca48,7.14780615144779e-08,1.4466720200946928e-10
4,1,Ca42,2.0300964585444615e-07,9.722592341750457e-10
4,1,Ca46,1.0788668451747383e-09,2.1302972024564242e-12
4,1,Ca44,7.152058611948506e-07,1.7339663854660787e-09
4,1,Fe56,2.3496319037459957e-05,1.036208999023093e-07
4,1,Fe54,1.3694960865595959e-06,3.5492966699979027e-09
4,1,Fe57,6.052895721430374e-07,1.9720814344380656e-09
4,1,Fe58,7.088594526923657e-08,8.427500192955216e-10
4,2,H1,0.0038195592126725976,1.3209468650649495e-05
4,2,H2,9.046319530488689e-10,3.128570060027731e-12
4,2,C12,3.6824661643404937e-07,1.27353449934605e-09
4,2,C13,1.6029813941434711e-09,5.543705884980294e-12
4,2,O18,1.181747423317461e-08,4.086946350480853e-11
4,2,O17,3.466871987006438e-06,1.1989765159607068e-08
4,2,O16,6.493303097462809e-06,2.2455834838249715e-08
4,2,Na23,0.00042559720565086813,1.4718744917410443e-06
4,2,Mg24,3.782528941690583e-06,1.3081404211798672e-08
4,2,Mg26,4.025203103009997e-07,1.3920664388068757e-09
4,2,Mg25,1.8172733006296878e-06,6.2848130667432304e-09
4,2,Al27,0.00033932083881980197,1.1734994596365333e-06
4,2,Si30,4.592797892442342e-05,1.5883616970785936e-07
4,2,Si28,0.002167188734567232,7.494952049739768e-06
4,2,Si29,7.804739999136645e-05,2.6991720507432777e-07
4,2,K41,3.7831939848273274e-05,1.3084056454287864e-07
4,2,K40,1.5641364398857552e-06,5.410610605194743e-09
4,2,K39,0.0007650260424330943,2.6457433890983656e-06
4,2,Ca43,2.0012458289598234e-05,6.921087961737683e-08
4,2,Ca40,0.0005082027138274755,1.7575562340426549e-06
4,2,Ca48,2.5972332189779558e-06,8.982212010636084e-09
4,2,Ca42,5.616719955842414e-06,1.9424746121863013e-08
4,2,Ca46,3.7649356439010555e-08,1.3020562748874106e-10
4,2,Ca44,2.3554360991007826e-05,8.145986090696358e-08
4,2,Fe56,0.0006935610011392708,2.3985985323108738e-06
4,2,Fe54,3.822504484992009e-05,1.321965126188987e-07
4,2,Fe57,1.525924591959873e-05,5.2772243611875265e-08
4,2,Fe58,1.0757693265147924e-06,3.7204180327321523e-09
