cell,group in,nuclide,mean,std. dev.
4,1,H1,0.2225233716909291,0.00031321148856909586
4,1,H2,6.9995737683337695e-06,9.777624966925055e-09
4,1,C12,0.0005011390080404791,7.016613236675477e-07
4,1,C13,6.7271046882989006e-06,9.512243929849177e-09
4,1,O18,0.00028901760443530864,4.1905912236933346e-07
4,1,O17,5.514709583164198e-05,7.701221933096628e-08
4,1,O16,0.1710181484092984,0.00023920359041991685
4,1,Na23,0.007160496854673416,1.8671511686982856e-05
4,1,Mg24,0.0004516209021209517,7.454872185629752e-07
4,1,Mg26,3.958772786697986e-05,5.789299027428087e-08
4,1,Mg25,4.048584371700022e-05,6.071933603766954e-08
4,1,Al27,0.004674160749098505,7.950687428390924e-06
4,1,Si30,0.001332462398989763,2.1508196830168354e-06
4,1,Si28,0.037813063469949046,5.9284912564808906e-05
4,1,Si29,0.0020059638144889072,2.9387428222598282e-06
4,1,K41,9.339812753400055e-05,2.0248554570582726e-07
4,1,K40,1.8758390970478388e-07,2.7198020416467725e-10
4,1,K39,0.00080222000119163,1.5211065728986599e-06
4,1,Ca43,1.858105148919827e-05,5.188209711607938e-08
4,1,Ca40,0.0032775127765421004,4.766753974891021e-06
4,1,Ca48,8.530556821451765e-06,1.217495485044886e-08
4,1,Ca42,2.2136537744417303e-05,4.6124924134640896e-08
4,1,Ca46,4.649353826849225e-07,6.878722524324613e-10
4,1,Ca44,9.59510502295194e-05,1.4682502443355834e-07
4,1,Fe56,0.0025254748667166154,3.7553715303411073e-06
4,1,Fe54,0.0001548481163559266,4.2725366341438357e-07
4,1,Fe57,4.332084062475057e-05,1.0503795501275685e-07
4,1,Fe58,7.36559583163911e-06,1.272399890625855e-08
4,2,H1,0.3914355050191565,0.0013397414995644198
4,2,H2,8.764558036865914e-06,2.9930755852258555e-08
4,2,C12,0.0005623796546490174,1.915725948481145e-06
4,2,C13,7.5792080486535306e-06,2.5816911020882013e-08
4,2,O18,0.0002924751775599753,9.960950710016482e-07
4,2,O17,7.012870991714353e-05,2.389826391450174e-07
4,2,O16,0.17829674027797904,0.0006072644222404615
4,2,Na23,0.0036754066798118414,1.2537286375190304e-05
4,2,Mg24,0.00034749296089194135,1.1834887753060303e-06
4,2,Mg26,3.6604335229792924e-05,1.2466370520295923e-07
4,2,Mg25,3.1989965974388845e-05,1.0900799362315602e-07
4,2,Al27,0.0028591266779418993,9.749733585527137e-06
4,2,Si30,0.001326052750352785,4.51719325993546e-06
4,2,Si28,0.032639957040333005,0.0001112316862535915
4,2,Si29,0.002121158752897569,7.225969004849913e-06
4,2,K41,0.00011817523186770712,4.0403269461184523e-07
4,2,K40,1.714050991943386e-06,5.918988289979092e-09
4,2,K39,0.001659361644424196,5.684867765299406e-06
4,2,Ca43,2.8643765766167118e-05,9.851044174608345e-08
4,2,Ca40,0.00442914798109918,1.5101319903944058e-05
4,2,Ca48,1.3266401045751743e-05,4.527716061916949e-08
4,2,Ca42,1.7768899384505344e-05,6.074441676743572e-08
4,2,Ca46,2.1768876137932906e-07,7.428717891467949e-10
4,2,Ca44,0.00012995438172799096,4.434475059143591e-07
4,2,Fe56,0.004606725372129118,1.5715324422630658e-05
4,2,Fe54,8.286824487876174e-05,2.8392346571194055e-07
4,2,Fe57,1.977460091731415e-05,6.809811210987312e-08
4,2,Fe58,8.45435477742116e-06,2.8827929744507096e-08
