cell,group in,nuclide,mean,std. dev.
3,1,N14,5.977619624522853,0.01799258513364227
3,1,N15,3.8745787403356884,0.010716344265159208
3,1,O18,3.156958264044918,0.008339592164916022
3,1,O17,2.830764089425692,0.008094345617827447
3,1,O16,3.781513510795991,0.010385345137641194
3,1,Ar36,26.047724405510902,0.09365931839188484
3,1,Ar38,4.008021932411395,0.012353128171637643
3,1,Ar40,1.6785926999857221,0.005972615124217797
3,1,Ar41,3.459564396747044,0.01243018873433589
3,1,C12,4.191569878215129,0.011697241799005522
3,1,C13,4.971248629620024,0.014241634687835113
3,2,N14,11.68715030745076,0.07240372861467737
3,2,N15,4.520881997760364,0.027956401684946425
3,2,O18,3.1828745328026873,0.019679692017920174
3,2,O17,4.015819711381376,0.024844216344272148
3,2,O16,3.8894022101728245,0.02404779228878416
3,2,Ar36,78.39467307661481,0.4849691641192674
3,2,Ar38,9.567501039536356,0.059176989210352186
3,2,Ar40,1.1779586226317447,0.007359548668962646
3,2,Ar41,3.497996391484254,0.021661339618363806
3,2,C12,4.909598871940596,0.03035505646865897
3,2,C13,5.910232179324197,0.036541638342447356
