cell,group in,nuclide,mean,std. dev.
3,1,N14,5.888555255946029e-10,8.556331530340986e-12
3,1,N15,5.888555255946029e-10,8.556331530340986e-12
3,1,O16,5.888555255946029e-10,8.556331530340986e-12
3,1,O17,5.888555255946029e-10,8.556331530340986e-12
3,1,O18,5.888555255946029e-10,8.556331530340986e-12
3,1,Ar36,5.888555255946029e-10,8.556331530340986e-12
3,1,Ar38,5.888555255946029e-10,8.556331530340986e-12
3,1,Ar40,5.888555255946029e-10,8.556331530340986e-12
3,1,Ar41,5.888555255946029e-10,8.556331530340986e-12
3,1,C12,5.888555255946029e-10,8.556331530340986e-12
3,1,C13,5.888555255946029e-10,8.556331530340986e-12
3,2,N14,2.570381048168291e-09,2.171614159729617e-11
3,2,N15,2.570381048168291e-09,2.171614159729617e-11
3,2,O16,2.570381048168291e-09,2.171614159729617e-11
3,2,O17,2.570381048168291e-09,2.171614159729617e-11
3,2,O18,2.570381048168291e-09,2.171614159729617e-11
3,2,Ar36,2.570381048168291e-09,2.171614159729617e-11
3,2,Ar38,2.570381048168291e-09,2.171614159729617e-11
3,2,Ar40,2.570381048168291e-09,2.171614159729617e-11
3,2,Ar41,2.570381048168291e-09,2.171614159729617e-11
3,2,C12,2.570381048168291e-09,2.171614159729617e-11
3,2,C13,2.570381048168291e-09,2.171614159729617e-11
3,3,N14,8.763433282082677e-08,1.109250692280307e-09
3,3,N15,8.763433282082677e-08,1.109250692280307e-09
3,3,O16,8.763433282082677e-08,1.109250692280307e-09
3,3,O17,8.763433282082677e-08,1.109250692280307e-09
3,3,O18,8.763433282082677e-08,1.109250692280307e-09
3,3,Ar36,8.763433282082677e-08,1.109250692280307e-09
3,3,Ar38,8.763433282082677e-08,1.109250692280307e-09
3,3,Ar40,8.763433282082677e-08,1.109250692280307e-09
3,3,Ar41,8.763433282082677e-08,1.109250692280307e-09
3,3,C12,8.763433282082677e-08,1.109250692280307e-09
3,3,C13,8.763433282082677e-08,1.109250692280307e-09
3,4,N14,6.27846739379e-07,1.140616388761735e-08
3,4,N15,6.27846739379e-07,1.140616388761735e-08
3,4,O16,6.27846739379e-07,1.140616388761735e-08
3,4,O17,6.27846739379e-07,1.140616388761735e-08
3,4,O18,6.27846739379e-07,1.140616388761735e-08
3,4,Ar36,6.27846739379e-07,1.140616388761735e-08
3,4,Ar38,6.27846739379e-07,1.140616388761735e-08
3,4,Ar40,6.27846739379e-07,1.140616388761735e-08
3,4,Ar41,6.27846739379e-07,1.140616388761735e-08
3,4,C12,6.27846739379e-07,1.140616388761735e-08
3,4,C13,6.27846739379e-07,1.140616388761735e-08
3,5,N14,1.1565522540377492e-06,1.1900971677541925e-08
3,5,N15,1.1565522540377492e-06,1.1900971677541925e-08
3,5,O16,1.1565522540377492e-06,1.1900971677541925e-08
3,5,O17,1.1565522540377492e-06,1.1900971677541925e-08
3,5,O18,1.1565522540377492e-06,1.1900971677541925e-08
3,5,Ar36,1.1565522540377492e-06,1.1900971677541925e-08
3,5,Ar38,1.1565522540377492e-06,1.1900971677541925e-08
3,5,Ar40,1.1565522540377492e-06,1.1900971677541925e-08
3,5,Ar41,1.1565522540377492e-06,1.1900971677541925e-08
3,5,C12,1.1565522540377492e-06,1.1900971677541925e-08
3,5,C13,1.1565522540377492e-06,1.1900971677541925e-08
3,6,N14,1.629424255591733e-06,1.997961250569542e-08
3,6,N15,1.629424255591733e-06,1.997961250569542e-08
3,6,O16,1.629424255591733e-06,1.997961250569542e-08
3,6,O17,1.629424255591733e-06,1.997961250569542e-08
3,6,O18,1.629424255591733e-06,1.997961250569542e-08
3,6,Ar36,1.629424255591733e-06,1.997961250569542e-08
3,6,Ar38,1.629424255591733e-06,1.997961250569542e-08
3,6,Ar40,1.629424255591733e-06,1.997961250569542e-08
3,6,Ar41,1.629424255591733e-06,1.997961250569542e-08
3,6,C12,1.629424255591733e-06,1.997961250569542e-08
3,6,C13,1.629424255591733e-06,1.997961250569542e-08
3,7,N14,2.485575911049998e-06,2.6220258950346163e-08
3,7,N15,2.485575911049998e-06,2.6220258950346163e-08
3,7,O16,2.485575911049998e-06,2.6220258950346163e-08
3,7,O17,2.485575911049998e-06,2.6220258950346163e-08
3,7,O18,2.485575911049998e-06,2.6220258950346163e-08
3,7,Ar36,2.485575911049998e-06,2.6220258950346163e-08
3,7,Ar38,2.485575911049998e-06,2.6220258950346163e-08
3,7,Ar40,2.485575911049998e-06,2.6220258950346163e-08
3,7,Ar41,2.485575911049998e-06,2.6220258950346163e-08
3,7,C12,2.485575911049998e-06,2.6220258950346163e-08
3,7,C13,2.485575911049998e-06,2.6220258950346163e-08
3,8,N14,4.673117474323592e-06,4.823660568789301e-08
3,8,N15,4.673117474323592e-06,4.823660568789301e-08
3,8,O16,4.673117474323592e-06,4.823660568789301e-08
3,8,O17,4.673117474323592e-06,4.823660568789301e-08
3,8,O18,4.673117474323592e-06,4.823660568789301e-08
3,8,Ar36,4.673117474323592e-06,4.823660568789301e-08
3,8,Ar38,4.673117474323592e-06,4.823660568789301e-08
3,8,Ar40,4.673117474323592e-06,4.823660568789301e-08
3,8,Ar41,4.673117474323592e-06,4.823660568789301e-08
3,8,C12,4.673117474323592e-06,4.823660568789301e-08
3,8,C13,4.673117474323592e-06,4.823660568789301e-08
