material,group in,group out,legendre,nuclide,mean,std. dev.
5,1,1,P0,total,7.79099489775821e-05,3.063335896672777e-06
5,1,1,P1,total,1.653066251178836e-05,1.355071690352313e-06
5,1,2,P0,total,1.5553710322203277e-05,9.889595337460802e-07
5,1,2,P1,total,-4.543228903208311e-06,5.492201327487573e-07
5,1,3,P0,total,0.0,0.0
5,1,3,P1,total,0.0,0.0
5,1,4,P0,total,0.0,0.0
5,1,4,P1,total,0.0,0.0
5,1,5,P0,total,0.0,0.0
5,1,5,P1,total,0.0,0.0
5,1,6,P0,total,0.0,0.0
5,1,6,P1,total,0.0,0.0
5,1,7,P0,total,0.0,0.0
5,1,7,P1,total,0.0,0.0
5,1,8,P0,total,0.0,0.0
5,1,8,P1,total,0.0,0.0
5,2,1,P0,total,0.0,0.0
5,2,1,P1,total,0.0,0.0
5,2,2,P0,total,0.00020501558129236826,2.931571810837225e-06
5,2,2,P1,total,1.6752978494986678e-05,7.474469343739299e-07
5,2,3,P0,total,4.323305198340374e-06,1.918321083341736e-07
5,2,3,P1,total,-1.2629477941269816e-06,1.0485969013367701e-07
5,2,4,P0,total,0.0,0.0
5,2,4,P1,total,0.0,0.0
5,2,5,P0,total,0.0,0.0
5,2,5,P1,total,0.0,0.0
5,2,6,P0,total,0.0,0.0
5,2,6,P1,total,0.0,0.0
5,2,7,P0,total,0.0,0.0
5,2,7,P1,total,0.0,0.0
5,2,8,P0,total,0.0,0.0
5,2,8,P1,total,0.0,0.0
5,3,1,P0,total,0.0,0.0
5,3,1,P1,total,0.0,0.0
5,3,2,P0,total,0.0,0.0
5,3,2,P1,total,0.0,0.0
5,3,3,P0,total,0.0004202718020686354,7.4427599377776245e-06
5,3,3,P1,total,2.2502110547808296e-05,1.5004166121701318e-06
5,3,4,P0,total,6.504165803288407e-06,3.196463521052556e-07
5,3,4,P1,total,-1.6297111324617632e-06,1.7919653913276263e-07
5,3,5,P0,total,0.0,0.0
5,3,5,P1,total,0.0,0.0
5,3,6,P0,total,0.0,0.0
5,3,6,P1,total,0.0,0.0
5,3,7,P0,total,0.0,0.0
5,3,7,P1,total,0.0,0.0
5,3,8,P0,total,0.0,0.0
5,3,8,P1,total,0.0,0.0
5,4,1,P0,total,0.0,0.0
5,4,1,P1,total,0.0,0.0
5,4,2,P0,total,0.0,0.0
5,4,2,P1,total,0.0,0.0
5,4,3,P0,total,7.220232852366157e-08,7.222436613183752e-08
5,4,3,P1,total,4.579052940941956e-08,4.580450560334472e-08
5,4,4,P0,total,0.00038014525969518433,1.1863795338746617e-05
5,4,4,P1,total,3.7328165716215495e-05,3.338267992118122e-06
5,4,5,P0,total,5.465716269241204e-05,2.3286210215851943e-06
5,4,5,P1,total,-1.3694582518614789e-05,1.171633400684621e-06
5,4,6,P0,total,0.0,0.0
5,4,6,P1,total,0.0,0.0
5,4,7,P0,total,0.0,0.0
5,4,7,P1,total,0.0,0.0
5,4,8,P0,total,0.0,0.0
5,4,8,P1,total,0.0,0.0
5,5,1,P0,total,0.0,0.0
5,5,1,P1,total,0.0,0.0
5,5,2,P0,total,0.0,0.0
5,5,2,P1,total,0.0,0.0
5,5,3,P0,total,0.0,0.0
5,5,3,P1,total,0.0,0.0
5,5,4,P0,total,1.6632183241090477e-06,2.2987105323743224e-07
5,5,4,P1,total,9.31617623141535e-08,1.3157718208312767e-07
5,5,5,P0,total,0.00034529105416138806,6.827717553902143e-06
5,5,5,P1,total,3.9515612430793074e-05,2.0844189826965507e-06
5,5,6,P0,total,8.825452232303655e-05,2.2277271370500244e-06
