cell,group in,nuclide,mean,std. dev.
3,1,N14,6.591889627936185e-05,9.647509936765585e-07
3,1,N15,3.6036792818484063e-07,5.233910671657736e-09
3,1,O16,2.70931267054818e-05,4.093635555359796e-07
3,1,O17,4.806414947513801e-09,6.864388402693228e-11
3,1,O18,6.714453276126949e-08,1.0221223329741184e-09
3,1,Ar36,1.4537990125923448e-09,2.1595066354253752e-11
3,1,Ar38,2.9044486540180266e-10,4.3077202372807506e-12
3,1,Ar40,5.385576415014597e-07,7.886469024721198e-09
3,1,Ar41,5.50210203388414e-09,7.914978792129428e-11
3,1,C12,1.282201308277194e-08,1.8584242909179562e-10
3,1,C13,1.3151290711295852e-10,1.8997534769100007e-12
3,2,N14,0.00017202354785202244,1.350070488056092e-06
3,2,N15,5.623764395311188e-07,4.218277218916884e-09
3,2,O16,3.622658593901197e-05,2.732973985997979e-07
3,2,O17,8.842200669386284e-09,6.79814172232313e-11
3,2,O18,5.91903042171538e-08,4.4535564242127896e-10
3,2,Ar36,3.1899805349185514e-09,3.315381368578792e-11
3,2,Ar38,2.1265901805924488e-10,1.7554862824034015e-12
3,2,Ar40,3.5429553398378974e-07,3.537814406884681e-09
3,2,Ar41,5.996884453408563e-09,5.041283195564767e-11
3,2,C12,2.4009113271937208e-08,1.8047562527987158e-10
3,2,C13,3.205642831627788e-10,2.4236918628027045e-12
3,3,N14,0.0003900564500810516,4.37044191957481e-06
3,3,N15,6.288675277726293e-07,7.043525009926048e-09
3,3,O16,3.583558340180512e-05,4.013572081543306e-07
3,3,O17,1.3427496822583413e-08,1.5038604491316144e-10
3,3,O18,5.8966420961483247e-08,6.604208317405929e-10
3,3,Ar36,3.6356909931157255e-08,4.096532387458626e-10
3,3,Ar38,7.973971354224826e-10,9.000763275184382e-12
3,3,Ar40,9.904670642429333e-08,1.111281065707e-09
3,3,Ar41,5.50632052954084e-09,8.004482889307631e-11
3,3,C12,2.7740854841541834e-08,3.106971309758529e-10
3,3,C13,3.754805568561135e-10,4.205329954750012e-12
3,4,N14,0.0003981036127667403,7.2911366943707165e-06
3,4,N15,6.419815626894793e-07,1.1755754720843182e-08
3,4,O16,3.587637641728861e-05,6.570680307087278e-07
3,4,O17,1.3435389378423317e-08,2.460666825496275e-10
3,4,O18,5.902505365910673e-08,1.0810346373374929e-09
3,4,Ar36,4.145150166972646e-08,7.591799144487308e-10
3,4,Ar38,9.373050858563696e-10,1.7166581202915102e-11
3,4,Ar40,1.0777419242521537e-07,1.973842703106318e-09
3,4,Ar41,5.196368967978893e-09,9.517159227849855e-11
3,4,C12,2.7781077416717486e-08,5.087993466315759e-10
3,4,C13,3.7575609167139195e-10,6.88185400746166e-12
3,5,N14,0.0003987643998959837,4.110673929950614e-06
3,5,N15,6.462958485892638e-07,6.662152728328891e-09
3,5,O16,3.592731791858614e-05,3.7035873389339233e-07
3,5,O17,1.3453293554265664e-08,1.3868413961949135e-10
3,5,O18,5.9099529112555073e-08,6.092318579208921e-10
3,5,Ar36,4.1487992623648136e-08,4.27684999603387e-10
3,5,Ar38,9.381976814029427e-10,9.67154753911282e-12
3,5,Ar40,1.0793692288280089e-07,1.1126760406357117e-09
3,5,Ar41,5.199915305421505e-09,5.360414461128817e-11
3,5,C12,2.783357180111162e-08,2.8692225339394803e-10
3,5,C13,3.763915971536783e-10,3.880039164991197e-12
3,6,N14,0.00039968975070059045,4.857113810683164e-06
3,6,N15,6.494645354501024e-07,7.892855506003766e-09
3,6,O16,3.600006839549197e-05,4.374766426108137e-07
3,6,O17,1.3478933948526383e-08,1.637968512906806e-10
3,6,O18,5.920585892770982e-08,7.194710945901112e-10
3,6,Ar36,4.1526988702965045e-08,5.04623965586382e-10
3,6,Ar38,9.390509554902182e-10,1.1411062943021798e-11
3,6,Ar40,1.0812178555439795e-07,1.3138941813727268e-09
3,6,Ar41,5.204138664764865e-09,6.323896806804021e-11
3,6,C12,2.7908730445078007e-08,3.3915656827046886e-10
3,6,C13,3.773215064446092e-10,4.585313083176341e-12
3,7,N14,0.00040217998727785676,4.223541068071435e-06
3,7,N15,6.5540833778986e-07,6.8829773805284725e-09
3,7,O16,3.6196580046966646e-05,3.801197742270674e-07
3,7,O17,1.3548109448908751e-08,1.4227555738263818e-10
3,7,O18,5.949342325218405e-08,6.24768911420865e-10
3,7,Ar36,4.162884632026959e-08,4.3715408930971184e-10
3,7,Ar38,9.412435396324208e-10,9.884202994352866e-12
3,7,Ar40,1.086077967768889e-07,1.140538154031292e-09
3,7,Ar41,5.215306446659031e-09,5.4766971725957505e-11
3,7,C12,2.8111349824328558e-08,2.952176862199303e-10
3,7,C13,3.7983729353988043e-10,3.988923275459329e-12
3,8,N14,0.0004155809149760891,4.220136019261734e-06
3,8,N15,6.782927390563933e-07,6.887771359491267e-09
3,8,O16,3.725755461862007e-05,3.7831955325803327e-07
3,8,O17,1.3922069093811749e-08,1.4136362954513106e-10
3,8,O18,6.104832985353379e-08,6.198669392354799e-10
3,8,Ar36,4.2179916112870235e-08,4.282094710535775e-10
3,8,Ar38,9.530611515264557e-10,9.675372016813058e-12
3,8,Ar40,1.1122453856480742e-07,1.129309179280882e-09
3,8,Ar41,5.275994839759461e-09,5.356072805204213e-11
3,8,C12,2.919895321171013e-08,2.965342667115565e-10
3,8,C13,3.9338439394075136e-10,3.9948832811958674e-12
