cell,group in,group out,legendre,nuclide,mean,std. dev.
3,1,1,P0,N14,5.518461403014012e-05,2.3882258878374037e-06
3,1,1,P0,N15,3.153219371617355e-07,1.623326921216812e-07
3,1,1,P0,O16,2.116380025396263e-05,1.4031276884259576e-06
3,1,1,P0,O17,0.0,0.0
3,1,1,P0,O18,6.714453276126949e-08,9.496220981802153e-08
3,1,1,P0,Ar36,1.4537990125923448e-09,2.056095689631151e-09
3,1,1,P0,Ar38,0.0,0.0
3,1,1,P0,Ar40,5.385576415014597e-07,1.6649944763147007e-07
3,1,1,P0,Ar41,0.0,0.0
3,1,1,P0,C12,0.0,0.0
3,1,1,P0,C13,0.0,0.0
3,1,1,P1,N14,9.295367587483437e-06,1.0672870249541636e-06
3,1,1,P1,N15,1.0989943928515277e-07,8.645971419882951e-08
3,1,1,P1,O16,5.2713804976926476e-06,7.117435739328692e-07
3,1,1,P1,O17,0.0,0.0
3,1,1,P1,O18,-1.041239478432297e-08,1.472620297668233e-08
3,1,1,P1,Ar36,7.26498756120595e-10,1.0274810672201262e-09
3,1,1,P1,Ar38,0.0,0.0
3,1,1,P1,Ar40,2.423512165190675e-07,1.0102826525101249e-07
3,1,1,P1,Ar41,0.0,0.0
3,1,1,P1,C12,0.0,0.0
3,1,1,P1,C13,0.0,0.0
3,1,2,P0,N14,1.0734282249221727e-05,7.829563286731468e-07
3,1,2,P0,N15,4.504599102310507e-08,4.7755035482932944e-08
3,1,2,P0,O16,5.929326451519165e-06,5.771364284202871e-07
3,1,2,P0,O17,0.0,0.0
3,1,2,P0,O18,0.0,0.0
3,1,2,P0,Ar36,0.0,0.0
3,1,2,P0,Ar38,0.0,0.0
3,1,2,P0,Ar40,0.0,0.0
3,1,2,P0,Ar41,5.50210203388414e-09,7.781549863071748e-09
3,1,2,P0,C12,0.0,0.0
3,1,2,P0,C13,0.0,0.0
3,1,2,P1,N14,-2.162610896874326e-06,3.939298782179428e-07
3,1,2,P1,N15,-1.83052302596463e-08,1.9406098094817977e-08
3,1,2,P1,O16,-2.4809739227573344e-06,3.483137191751325e-07
3,1,2,P1,O17,0.0,0.0
3,1,2,P1,O18,0.0,0.0
3,1,2,P1,Ar36,0.0,0.0
3,1,2,P1,Ar38,0.0,0.0
3,1,2,P1,Ar40,0.0,0.0
3,1,2,P1,Ar41,-1.0906348387583248e-09,1.5424703736746137e-09
3,1,2,P1,C12,0.0,0.0
3,1,2,P1,C13,0.0,0.0
3,1,3,P0,N14,0.0,0.0
3,1,3,P0,N15,0.0,0.0
3,1,3,P0,O16,0.0,0.0
3,1,3,P0,O17,0.0,0.0
3,1,3,P0,O18,0.0,0.0
3,1,3,P0,Ar36,0.0,0.0
3,1,3,P0,Ar38,0.0,0.0
3,1,3,P0,Ar40,0.0,0.0
3,1,3,P0,Ar41,0.0,0.0
3,1,3,P0,C12,0.0,0.0
3,1,3,P0,C13,0.0,0.0
3,1,3,P1,N14,0.0,0.0
3,1,3,P1,N15,0.0,0.0
3,1,3,P1,O16,0.0,0.0
3,1,3,P1,O17,0.0,0.0
3,1,3,P1,O18,0.0,0.0
3,1,3,P1,Ar36,0.0,0.0
3,1,3,P1,Ar38,0.0,0.0
3,1,3,P1,Ar40,0.0,0.0
3,1,3,P1,Ar41,0.0,0.0
3,1,3,P1,C12,0.0,0.0
3,1,3,P1,C13,0.0,0.0
3,1,4,P0,N14,0.0,0.0
3,1,4,P0,N15,0.0,0.0
3,1,4,P0,O16,0.0,0.0
3,1,4,P0,O17,0.0,0.0
3,1,4,P0,O18,0.0,0.0
3,1,4,P0,Ar36,0.0,0.0
3,1,4,P0,Ar38,0.0,0.0
3,1,4,P0,Ar40,0.0,0.0
3,1,4,P0,Ar41,0.0,0.0
3,1,4,P0,C12,0.0,0.0
3,1,4,P0,C13,0.0,0.0
3,1,4,P1,N14,0.0,0.0
3,1,4,P1,N15,0.0,0.0
3,1,4,P1,O16,0.0,0.0
3,1,4,P1,O17,0.0,0.0
3,1,4,P1,O18,0.0,0.0
3,1,4,P1,Ar36,0.0,0.0
3,1,4,P1,Ar38,0.0,0.0
3,1,4,P1,Ar40,0.0,0.0
3,1,4,P1,Ar41,0.0,0.0
3,1,4,P1,C12,0.0,0.0
3,1,4,P1,C13,0.0,0.0
3,1,5,P0,N14,0.0,0.0
3,1,5,P0,N15,0.0,0.0
3,1,5,P0,O16,0.0,0.0
3,1,5,P0,O17,0.0,0.0
3,1,5,P0,O18,0.0,0.0
3,1,5,P0,Ar36,0.0,0.0
3,1,5,P0,Ar38,0.0,0.0
3,1,5,P0,Ar40,0.0,0.0
3,1,5,P0,Ar41,0.0,0.0
3,1,5,P0,C12,0.0,0.0
3,1,5,P0,C13,0.0,0.0
3,1,5,P1,N14,0.0,0.0
3,1,5,P1,N15,0.0,0.0
3,1,5,P1,O16,0.0,0.0
3,1,5,P1,O17,0.0,0.0
3,1,5,P1,O18,0.0,0.0
3,1,5,P1,Ar36,0.0,0.0
3,1,5,P1,Ar38,0.0,0.0
3,1,5,P1,Ar40,0.0,0.0
3,1,5,P1,Ar41,0.0,0.0
3,1,5,P1,C12,0.0,0.0
3,1,5,P1,C13,0.0,0.0
3,1,6,P0,N14,0.0,0.0
3,1,6,P0,N15,0.0,0.0
3,1,6,P0,O16,0.0,0.0
3,1,6,P0,O17,0.0,0.0
3,1,6,P0,O18,0.0,0.0
3,1,6,P0,Ar36,0.0,0.0
3,1,6,P0,Ar38,0.0,0.0
3,1,6,P0,Ar40,0.0,0.0
3,1,6,P0,Ar41,0.0,0.0
3,1,6,P0,C12,0.0,0.0
3,1,6,P0,C13,0.0,0.0
3,1,6,P1,N14,0.0,0.0
3,1,6,P1,N15,0.0,0.0
3,1,6,P1,O16,0.0,0.0
3,1,6,P1,O17,0.0,0.0
3,1,6,P1,O18,0.0,0.0
3,1,6,P1,Ar36,0.0,0.0
3,1,6,P1,Ar38,0.0,0.0
3,1,6,P1,Ar40,0.0,0.0
3,1,6,P1,Ar41,0.0,0.0
3,1,6,P1,C12,0.0,0.0
3,1,6,P1,C13,0.0,0.0
3,1,7,P0,N14,0.0,0.0
3,1,7,P0,N15,0.0,0.0
3,1,7,P0,O16,0.0,0.0
3,1,7,P0,O17,0.0,0.0
