cell,group in,nuclide,mean,std. dev.
2,1,C12,5.518781837608516e-10,3.962784244683964e-12
2,1,C13,5.518781837608516e-10,3.962784244683964e-12
2,1,Si30,5.518781837608516e-10,3.962784244683964e-12
2,1,Si29,5.518781837608516e-10,3.962784244683964e-12
2,1,Si28,5.518781837608516e-10,3.962784244683964e-12
2,1,Mn55,5.518781837608516e-10,3.962784244683964e-12
2,1,P31,5.518781837608516e-10,3.962784244683964e-12
2,1,S33,5.518781837608516e-10,3.962784244683964e-12
2,1,S34,5.518781837608516e-10,3.962784244683964e-12
2,1,S32,5.518781837608516e-10,3.962784244683964e-12
2,1,S36,5.518781837608516e-10,3.962784244683964e-12
2,1,Cr52,5.518781837608516e-10,3.962784244683964e-12
2,1,Cr50,5.518781837608516e-10,3.962784244683964e-12
2,1,Cr54,5.518781837608516e-10,3.962784244683964e-12
2,1,Cr53,5.518781837608516e-10,3.962784244683964e-12
2,1,Ni62,5.518781837608516e-10,3.962784244683964e-12
2,1,Ni60,5.518781837608516e-10,3.962784244683964e-12
2,1,Ni64,5.518781837608516e-10,3.962784244683964e-12
2,1,Ni61,5.518781837608516e-10,3.962784244683964e-12
2,1,Ni58,5.518781837608516e-10,3.962784244683964e-12
2,1,Fe54,5.518781837608516e-10,3.962784244683964e-12
2,1,Fe56,5.518781837608516e-10,3.962784244683964e-12
2,1,Fe57,5.518781837608516e-10,3.962784244683964e-12
2,1,Fe58,5.518781837608516e-10,3.962784244683964e-12
2,2,C12,2.1952706855412504e-09,1.643704078748892e-11
2,2,C13,2.1952706855412504e-09,1.643704078748892e-11
2,2,Si30,2.1952706855412504e-09,1.643704078748892e-11
2,2,Si29,2.1952706855412504e-09,1.643704078748892e-11
2,2,Si28,2.1952706855412504e-09,1.643704078748892e-11
2,2,Mn55,2.1952706855412504e-09,1.643704078748892e-11
2,2,P31,2.1952706855412504e-09,1.643704078748892e-11
2,2,S33,2.1952706855412504e-09,1.643704078748892e-11
2,2,S34,2.1952706855412504e-09,1.643704078748892e-11
2,2,S32,2.1952706855412504e-09,1.643704078748892e-11
2,2,S36,2.1952706855412504e-09,1.643704078748892e-11
2,2,Cr52,2.1952706855412504e-09,1.643704078748892e-11
2,2,Cr50,2.1952706855412504e-09,1.643704078748892e-11
2,2,Cr54,2.1952706855412504e-09,1.643704078748892e-11
2,2,Cr53,2.1952706855412504e-09,1.643704078748892e-11
2,2,Ni62,2.1952706855412504e-09,1.643704078748892e-11
2,2,Ni60,2.1952706855412504e-09,1.643704078748892e-11
2,2,Ni64,2.1952706855412504e-09,1.643704078748892e-11
2,2,Ni61,2.1952706855412504e-09,1.643704078748892e-11
2,2,Ni58,2.1952706855412504e-09,1.643704078748892e-11
2,2,Fe54,2.1952706855412504e-09,1.643704078748892e-11
2,2,Fe56,2.1952706855412504e-09,1.643704078748892e-11
2,2,Fe57,2.1952706855412504e-09,1.643704078748892e-11
2,2,Fe58,2.1952706855412504e-09,1.643704078748892e-11
2,3,C12,6.075238316041347e-08,1.1013784772722131e-09
2,3,C13,6.075238316041347e-08,1.1013784772722131e-09
2,3,Si30,6.075238316041347e-08,1.1013784772722131e-09
2,3,Si29,6.075238316041347e-08,1.1013784772722131e-09
2,3,Si28,6.075238316041347e-08,1.1013784772722131e-09
2,3,Mn55,6.075238316041347e-08,1.1013784772722131e-09
2,3,P31,6.075238316041347e-08,1.1013784772722131e-09
2,3,S33,6.075238316041347e-08,1.1013784772722131e-09
2,3,S34,6.075238316041347e-08,1.1013784772722131e-09
2,3,S32,6.075238316041347e-08,1.1013784772722131e-09
