cell,group in,nuclide,mean,std. dev.
2,1,C12,0.000663897480523569,4.704281090243724e-06
2,1,C13,6.807031444362309e-06,4.806041227768345e-08
2,1,Si30,0.0001250665417146772,8.643517567041889e-07
2,1,Si29,0.0002095439518089957,1.4636925398124928e-06
2,1,Si28,0.004851374538800391,3.4590860093256395e-05
2,1,Mn55,0.005769470504513749,3.956880810388648e-05
2,1,P31,0.00020640864442058283,1.450373426776587e-06
2,1,S33,8.305791972822584e-07,5.72059338978242e-09
2,1,S34,5.037073416634214e-06,3.458159778770058e-08
2,1,S32,0.00010193618108258231,7.074343295641411e-07
2,1,S36,1.7403062970501228e-08,1.188593816862078e-10
2,1,Cr52,0.04775315603261428,0.00032523009151538926
2,1,Cr50,0.0026381392808737963,1.8220772787366395e-05
2,1,Cr54,0.001505671573647746,1.0376215029245507e-05
2,1,Cr53,0.0061844605938465025,4.2689299805030205e-05
2,1,Ni62,0.001102371762940057,7.619926088752746e-06
2,1,Ni60,0.007677753047449053,5.284897812797758e-05
2,1,Ni64,0.00027464693537601343,1.892746414534901e-06
2,1,Ni61,0.0003732930842045595,2.590431917777865e-06
2,1,Ni58,0.018974752088119905,0.00013234054120151874
2,1,Fe54,0.010548698438045505,7.344918586957885e-05
2,1,Fe56,0.14679507102992428,0.0010015084241294405
2,1,Fe57,0.004318480436104115,2.970476929048055e-05
2,1,Fe58,0.0005751487544696423,4.009908890375195e-06
2,2,C12,0.001272734290127052,8.955692917282095e-06
2,2,C13,1.677011004362515e-05,1.189606880046239e-07
2,2,Si30,0.00014099161914057716,9.92975196010021e-07
2,2,Si29,0.00020406190247280106,1.428850871425302e-06
2,2,Si28,0.005442014397496858,3.916969118309021e-05
2,2,Mn55,0.011121923188676903,8.252869186000499e-05
2,2,P31,0.00023220587641620304,1.631630734179011e-06
2,2,S33,7.57040777291238e-07,5.333214104210738e-09
2,2,S34,3.7584355368205374e-06,2.6605112742252316e-08
2,2,S32,0.00013285663451182328,9.852217927313413e-07
2,2,S36,1.4374593902254993e-08,1.0037452997501354e-10
2,2,Cr52,0.04548524498206196,0.0003242823652942084
2,2,Cr50,0.006309495970621598,5.484312882606596e-05
2,2,Cr54,0.0016821758518121186,1.2537822482474275e-05
2,2,Cr53,0.015156788076977058,0.00012124167903999562
2,2,Ni62,0.0027490248330385328,2.145731018995848e-05
2,2,Ni60,0.018558878303383732,0.00015348156348234283
2,2,Ni64,0.0008956807975995168,7.1026898288332235e-06
2,2,Ni61,0.0007904443981918612,5.644730236776514e-06
2,2,Ni58,0.04522380753317079,0.0003377887430431863
2,2,Fe54,0.023636324167942136,0.00018424989409686614
2,2,Fe56,0.15283515447368548,0.001083398333996527
2,2,Fe57,0.008564396036939276,6.379334065154948e-05
2,2,Fe58,0.0012605052924805574,9.339355771075289e-06
2,3,C12,0.0015058995508061722,2.3855941380524793e-05
2,3,C13,2.038181100195731e-05,3.2285429107000787e-07
2,3,Si30,0.00014174522141669824,2.269167832920323e-06
2,3,Si29,0.00020720623137830186,3.2828298127683164e-06
2,3,Si28,0.0030774853590079705,4.8776098877364076e-05
2,3,Mn55,0.09703036974015898,0.0015157795492955319
2,3,P31,0.00028697345709112167,4.5457372786021696e-06
2,3,S33,9.057017142036765e-07,1.4428180302841805e-08
2,3,S34,3.814492904174362e-06,6.059825402493057e-08
2,3,S32,4.0651019580477296e-05,6.449227584902551e-07
2,3,S36,1.4358436740786913e-08,2.274415103742291e-10
2,3,Cr52,0.0461455906928727,0.0007328107083607895
2,3,Cr50,0.019369524937427787,0.0002947822349645811
2,3,Cr54,0.00103399416714085,1.649145977575201e-05
2,3,Cr53,0.055240993366719955,0.0008302173560633412
2,3,Ni62,0.022715656985803943,0.00034184129544593037
2,3,Ni60,0.0018510367198777244,3.06603259692385e-05
2,3,Ni64,4.90886318113215e-05,7.439168790646988e-07
2,3,Ni61,0.0007890143283261748,1.2821358643894884e-05
2,3,Ni58,0.13424755591148102,0.002156380545313213
2,3,Fe54,0.005003381044397873,8.268466044509463e-05
2,3,Fe56,0.5089772654378338,0.008235598273068651
2,3,Fe57,0.0040062285102233815,6.248981022013593e-05
2,3,Fe58,0.000976731976910062,1.5818809051211598e-05
2,4,C12,0.0015092780691162832,8.310668025431369e-07
2,4,C13,2.040706643719067e-05,1.1236940878031846e-08
2,4,Si30,0.0001302075613544541,7.169796129197021e-08
2,4,Si29,0.0002077121846762632,1.1437536326701146e-07
2,4,Si28,0.0030963604107559967,1.7049902815501038e-06
2,4,Mn55,0.003694246502763213,2.034329047930201e-06
2,4,P31,0.0002871289623765635,1.5810576135715852e-07
2,4,S33,9.603984047358576e-07,5.288371942021344e-10
2,4,S34,3.931053664142352e-06,2.1646105034267737e-09
2,4,S32,4.129741112748424e-05,2.2740161337119433e-08
2,4,S36,1.436513643757543e-08,7.910078702594497e-12
2,4,Cr52,0.04733192531391205,2.6063083594647386e-05
2,4,Cr50,0.0019338866338105525,1.064905055610572e-06
2,4,Cr54,0.001104853622700343,6.083818488705764e-07
2,4,Cr53,0.013780771520753297,7.5883516605265255e-06
2,4,Ni62,0.0031683955125619916,1.744668742620001e-06
2,4,Ni60,0.002582222835991644,1.4218801007434395e-06
2,4,Ni64,2.3504818339935113e-05,1.2942845259170544e-08
2,4,Ni61,0.0008987202997802604,4.948719783278287e-07
2,4,Ni58,0.15263963566595415,8.40499112305283e-05
2,4,Fe54,0.007181832621533325,3.954612585766608e-06
2,4,Fe56,0.6299013024218336,0.00034684981475589945
2,4,Fe57,0.0007268100971017276,4.002101390477584e-07
2,4,Fe58,0.0011977282751616195,6.595217569079155e-07
2,5,C12,0.001510811321035893,6.919916422329671e-07
2,5,C13,2.0425602362368788e-05,9.355421510493971e-09
2,5,Si30,0.0001302605168930305,5.96609185445184e-08
2,5,Si29,0.00020779961547066192,9.517484705900634e-08
2,5,Si28,0.0030977128551129707,1.4187927146888924e-06
2,5,Mn55,0.0036887624015564347,1.6893889815354527e-06
2,5,P31,0.00028724188091417405,1.3156022314680985e-07
2,5,S33,9.60773172669795e-07,4.400453830268385e-10
2,5,S34,3.932502315281499e-06,1.8011305671825064e-09
2,5,S32,4.131332277543e-05,1.892198762809467e-08
2,5,S36,1.4370008963177046e-08,6.581617620402711e-12
2,5,Cr52,0.04734335387954515,2.1683652206264136e-05
2,5,Cr50,0.0019331982039255322,8.854039118427289e-07
2,5,Cr54,0.0011051249641215216,5.061564668837385e-07
2,5,Cr53,0.013781765852325028,6.312128885451148e-06
2,5,Ni62,0.003168985834860748,1.4514239577731757e-06
2,5,Ni60,0.002583537985985895,1.183296286792529e-06
2,5,Ni64,2.3510293356488797e-05,1.0767939164540347e-08
2,5,Ni61,0.0008992375171031298,4.1186411331005337e-07
2,5,Ni58,0.15271114498724941,6.994375032667322e-05
2,5,Fe54,0.00718598097474304,3.291289267513946e-06
2,5,Fe56,0.6302460839805334,0.0002886619851891651
2,5,Fe57,0.0007273017940671684,3.331162735761151e-07
2,5,Fe58,0.0011980725191084107,5.487278124983548e-07
2,6,C12,0.0015145713389236324,1.8967104153454977e-06
2,6,C13,2.047200357743058e-05,2.5637108594674136e-08
2,6,Si30,0.000130390421828961,1.6328173118749532e-07
2,6,Si29,0.00020801398122736938,2.604862901241748e-07
2,6,Si28,0.003101024633435837,3.883274113787098e-06
2,6,Mn55,0.003685969674016556,4.615618080127565e-06
