cell,group in,group out,legendre,nuclide,mean,std. dev.
2,1,1,P0,C12,0.0005617149987386375,2.4251782084629092e-05
2,1,1,P0,C13,4.5380209629082065e-06,2.3809130384239997e-06
2,1,1,P0,Si30,0.00011536310313336602,1.1289476135722176e-05
2,1,1,P0,Si29,0.0001941174032095604,1.5702665122161445e-05
2,1,1,P0,Si28,0.004472343432865074,8.657860409361946e-05
2,1,1,P0,Mn55,0.004964597915634445,8.892773894381827e-05
2,1,1,P0,P31,0.0001918649458977233,1.4388360546751143e-05
2,1,1,P0,S33,5.53719464854839e-07,5.050496552091258e-07
2,1,1,P0,S34,5.037073416634214e-06,3.1731192656890944e-06
2,1,1,P0,S32,9.916617616185997e-05,1.0267383642543049e-05
2,1,1,P0,S36,0.0,0.0
2,1,1,P0,Cr52,0.04367369152063801,0.0004588467650876689
2,1,1,P0,Cr50,0.0022850282351968895,5.379771274653044e-05
2,1,1,P0,Cr54,0.0012844994780836702,3.8732114902297056e-05
2,1,1,P0,Cr53,0.005347465927010133,9.414475330338802e-05
2,1,1,P0,Ni62,0.0009844943863088432,3.3581678042412936e-05
2,1,1,P0,Ni60,0.006902245962176308,0.00010652392125778966
2,1,1,P0,Ni64,0.0002497329585168502,1.663116602271776e-05
2,1,1,P0,Ni61,0.0003124601371490018,1.884292745336985e-05
2,1,1,P0,Ni58,0.017350555326149823,0.0002212558466485118
2,1,1,P0,Fe54,0.009707124922602417,0.00014506261211730265
2,1,1,P0,Fe56,0.12701412533216738,0.0012276677878241744
2,1,1,P0,Fe57,0.003632298943221015,7.029690901487915e-05
2,1,1,P0,Fe58,0.0005043346435589658,2.3797953944593527e-05
2,1,1,P1,C12,0.00010778148265550784,1.1651539148991459e-05
2,1,1,P1,C13,8.557218881060106e-07,1.3426725498063452e-06
2,1,1,P1,Si30,4.590038144135413e-05,6.356263708033772e-06
2,1,1,P1,Si29,8.253010574255639e-05,8.59442245008134e-06
2,1,1,P1,Si28,0.0017674699108503726,4.526432739164415e-05
2,1,1,P1,Mn55,0.001567212762816855,4.245300339729499e-05
2,1,1,P1,P31,7.790870657321843e-05,7.984133573800553e-06
2,1,1,P1,S33,4.930870439088726e-07,4.511524447453706e-07
2,1,1,P1,S34,-4.865092937406675e-07,1.5370358068241664e-06
2,1,1,P1,S32,3.527188290466053e-05,5.6465729058487335e-06
2,1,1,P1,S36,0.0,0.0
2,1,1,P1,Cr52,0.013648303108894942,0.0001739781149118366
2,1,1,P1,Cr50,0.0007346289358204107,2.806162045091136e-05
2,1,1,P1,Cr54,0.00041030068069523667,2.0833111615204416e-05
2,1,1,P1,Cr53,0.0015721467546078794,4.4514247039953545e-05
2,1,1,P1,Ni62,0.00027372256233972107,1.846934583496157e-05
2,1,1,P1,Ni60,0.0018651711710240112,4.963164844914483e-05
2,1,1,P1,Ni64,6.303414038316902e-05,8.780806493072114e-06
2,1,1,P1,Ni61,9.522951115500136e-05,1.0758458284142466e-05
2,1,1,P1,Ni58,0.004872532967070387,9.278398674703113e-05
2,1,1,P1,Fe54,0.0028012401216717924,6.339896803334194e-05
2,1,1,P1,Fe56,0.04208582948628759,0.00044642414964747953
2,1,1,P1,Fe57,0.0011581668421916937,3.747953690480117e-05
2,1,1,P1,Fe58,0.00016513309917192128,1.3539475344385805e-05
2,1,2,P0,C12,0.00010218248178493148,8.335551008149373e-06
2,1,2,P0,C13,2.2690104814541033e-06,1.5089646760714587e-06
2,1,2,P0,Si30,9.703438581311183e-06,2.463813658437894e-06
2,1,2,P0,Si29,1.54265485994353e-05,3.1955843057606776e-06
2,1,2,P0,Si28,0.0003784720630062085,1.4173233481362719e-05
2,1,2,P0,Mn55,0.000804310919242961,2.4210001245637596e-05
2,1,2,P0,P31,1.4543698522859505e-05,2.8818998694106227e-06
2,1,2,P0,S33,2.768597324274195e-07,3.196423770370376e-07
2,1,2,P0,S34,0.0,0.0
2,1,2,P0,S32,2.770004920722351e-06,1.2502181702214118e-06
2,1,2,P0,S36,0.0,0.0
2,1,2,P0,Cr52,0.004074952453895832,5.981687523801425e-05
2,1,2,P0,Cr50,0.000353111045676907,1.5132028185856474e-05
2,1,2,P0,Cr54,0.0002211720955640757,1.2661547476525221e-05
2,1,2,P0,Cr53,0.0008364410989350226,2.3429394201230376e-05
2,1,2,P0,Ni62,0.00011787737663121365,8.626655676655472e-06
2,1,2,P0,Ni60,0.0007743798947418252,2.2536311108235903e-05
2,1,2,P0,Ni64,2.4913976859163167e-05,3.9491682505725604e-06
2,1,2,P0,Ni61,6.083294705555769e-05,6.456823243293061e-06
2,1,2,P0,Ni58,0.0016236320203977716,3.4183008096775754e-05
2,1,2,P0,Fe54,0.0008415735154430889,2.4153372663353854e-05
2,1,2,P0,Fe56,0.01975558393090917,0.0001921315261157882
2,1,2,P0,Fe57,0.0006861814928831,2.1977600219110982e-05
2,1,2,P0,Fe58,7.081411091067644e-05,7.0324775310677e-06
2,1,2,P1,C12,-1.916011381712902e-05,4.440935458127259e-06
2,1,2,P1,C13,-1.1233530935055784e-06,9.66609866966247e-07
2,1,2,P1,Si30,8.454893604286803e-07,1.418829814585523e-06
