cell,group in,nuclide,mean,std. dev.
4,1,H2,5.474336731212393e-10,8.267470444352585e-12
4,1,H1,5.474336731212393e-10,8.267470444352585e-12
4,1,C12,5.474336731212393e-10,8.267470444352585e-12
4,1,C13,5.474336731212393e-10,8.267470444352585e-12
4,1,O16,5.474336731212393e-10,8.267470444352585e-12
4,1,O17,5.474336731212393e-10,8.267470444352585e-12
4,1,O18,5.474336731212393e-10,8.267470444352585e-12
4,1,Na23,5.474336731212393e-10,8.267470444352585e-12
4,1,Mg26,5.474336731212393e-10,8.267470444352585e-12
4,1,Mg24,5.474336731212393e-10,8.267470444352585e-12
4,1,Mg25,5.474336731212393e-10,8.267470444352585e-12
4,1,Al27,5.474336731212393e-10,8.267470444352585e-12
4,1,Si30,5.474336731212393e-10,8.267470444352585e-12
4,1,Si29,5.474336731212393e-10,8.267470444352585e-12
4,1,Si28,5.474336731212393e-10,8.267470444352585e-12
4,1,K39,5.474336731212393e-10,8.267470444352585e-12
4,1,K41,5.474336731212393e-10,8.267470444352585e-12
4,1,K40,5.474336731212393e-10,8.267470444352585e-12
4,1,Ca48,5.474336731212393e-10,8.267470444352585e-12
4,1,Ca42,5.474336731212393e-10,8.267470444352585e-12
4,1,Ca43,5.474336731212393e-10,8.267470444352585e-12
4,1,Ca40,5.474336731212393e-10,8.267470444352585e-12
4,1,Ca46,5.474336731212393e-10,8.267470444352585e-12
4,1,Ca44,5.474336731212393e-10,8.267470444352585e-12
4,1,Fe54,5.474336731212393e-10,8.267470444352585e-12
4,1,Fe56,5.474336731212393e-10,8.267470444352585e-12
4,1,Fe57,5.474336731212393e-10,8.267470444352585e-12
4,1,Fe58,5.474336731212393e-10,8.267470444352585e-12
4,2,H2,3.055324553681893e-09,1.9209113879326158e-11
4,2,H1,3.055324553681893e-09,1.9209113879326158e-11
4,2,C12,3.055324553681893e-09,1.9209113879326158e-11
4,2,C13,3.055324553681893e-09,1.9209113879326158e-11
4,2,O16,3.055324553681893e-09,1.9209113879326158e-11
4,2,O17,3.055324553681893e-09,1.9209113879326158e-11
4,2,O18,3.055324553681893e-09,1.9209113879326158e-11
4,2,Na23,3.055324553681893e-09,1.9209113879326158e-11
4,2,Mg26,3.055324553681893e-09,1.9209113879326158e-11
4,2,Mg24,3.055324553681893e-09,1.9209113879326158e-11
4,2,Mg25,3.055324553681893e-09,1.9209113879326158e-11
4,2,Al27,3.055324553681893e-09,1.9209113879326158e-11
4,2,Si30,3.055324553681893e-09,1.9209113879326158e-11
4,2,Si29,3.055324553681893e-09,1.9209113879326158e-11
4,2,Si28,3.055324553681893e-09,1.9209113879326158e-11
4,2,K39,3.055324553681893e-09,1.9209113879326158e-11
4,2,K41,3.055324553681893e-09,1.9209113879326158e-11
4,2,K40,3.055324553681893e-09,1.9209113879326158e-11
4,2,Ca48,3.055324553681893e-09,1.9209113879326158e-11
4,2,Ca42,3.055324553681893e-09,1.9209113879326158e-11
4,2,Ca43,3.055324553681893e-09,1.9209113879326158e-11
4,2,Ca40,3.055324553681893e-09,1.9209113879326158e-11
4,2,Ca46,3.055324553681893e-09,1.9209113879326158e-11
4,2,Ca44,3.055324553681893e-09,1.9209113879326158e-11
4,2,Fe54,3.055324553681893e-09,1.9209113879326158e-11
4,2,Fe56,3.055324553681893e-09,1.9209113879326158e-11
4,2,Fe57,3.055324553681893e-09,1.9209113879326158e-11
4,2,Fe58,3.055324553681893e-09,1.9209113879326158e-11
4,3,H2,9.7333933026928e-08,5.863890240914425e-10
4,3,H1,9.7333933026928e-08,5.863890240914425e-10
4,3,C12,9.7333933026928e-08,5.863890240914425e-10
4,3,C13,9.7333933026928e-08,5.863890240914425e-10
4,3,O16,9.7333933026928e-08,5.863890240914425e-10
4,3,O17,9.7333933026928e-08,5.863890240914425e-10
4,3,O18,9.7333933026928e-08,5.863890240914425e-10
4,3,Na23,9.7333933026928e-08,5.863890240914425e-10
4,3,Mg26,9.7333933026928e-08,5.863890240914425e-10
4,3,Mg24,9.7333933026928e-08,5.863890240914425e-10
4,3,Mg25,9.7333933026928e-08,5.863890240914425e-10
4,3,Al27,9.7333933026928e-08,5.863890240914425e-10
4,3,Si30,9.7333933026928e-08,5.863890240914425e-10
4,3,Si29,9.7333933026928e-08,5.863890240914425e-10
4,3,Si28,9.7333933026928e-08,5.863890240914425e-10
4,3,K39,9.7333933026928e-08,5.863890240914425e-10
4,3,K41,9.7333933026928e-08,5.863890240914425e-10
4,3,K40,9.7333933026928e-08,5.863890240914425e-10
4,3,Ca48,9.7333933026928e-08,5.863890240914425e-10
4,3,Ca42,9.7333933026928e-08,5.863890240914425e-10
4,3,Ca43,9.7333933026928e-08,5.863890240914425e-10
4,3,Ca40,9.7333933026928e-08,5.863890240914425e-10
4,3,Ca46,9.7333933026928e-08,5.863890240914425e-10
4,3,Ca44,9.7333933026928e-08,5.863890240914425e-10
4,3,Fe54,9.7333933026928e-08,5.863890240914425e-10
4,3,Fe56,9.7333933026928e-08,5.863890240914425e-10
4,3,Fe57,9.7333933026928e-08,5.863890240914425e-10
4,3,Fe58,9.7333933026928e-08,5.863890240914425e-10
4,4,H2,6.007957123669316e-07,4.596083758184482e-09
4,4,H1,6.007957123669316e-07,4.596083758184482e-09
4,4,C12,6.007957123669316e-07,4.596083758184482e-09
4,4,C13,6.007957123669316e-07,4.596083758184482e-09
4,4,O16,6.007957123669316e-07,4.596083758184482e-09
4,4,O17,6.007957123669316e-07,4.596083758184482e-09
4,4,O18,6.007957123669316e-07,4.596083758184482e-09
4,4,Na23,6.007957123669316e-07,4.596083758184482e-09
4,4,Mg26,6.007957123669316e-07,4.596083758184482e-09
4,4,Mg24,6.007957123669316e-07,4.596083758184482e-09
4,4,Mg25,6.007957123669316e-07,4.596083758184482e-09
4,4,Al27,6.007957123669316e-07,4.596083758184482e-09
4,4,Si30,6.007957123669316e-07,4.596083758184482e-09
4,4,Si29,6.007957123669316e-07,4.596083758184482e-09
4,4,Si28,6.007957123669316e-07,4.596083758184482e-09
4,4,K39,6.007957123669316e-07,4.596083758184482e-09
4,4,K41,6.007957123669316e-07,4.596083758184482e-09
4,4,K40,6.007957123669316e-07,4.596083758184482e-09
4,4,Ca48,6.007957123669316e-07,4.596083758184482e-09
4,4,Ca42,6.007957123669316e-07,4.596083758184482e-09
4,4,Ca43,6.007957123669316e-07,4.596083758184482e-09
4,4,Ca40,6.007957123669316e-07,4.596083758184482e-09
4,4,Ca46,6.007957123669316e-07,4.596083758184482e-09
4,4,Ca44,6.007957123669316e-07,4.596083758184482e-09
4,4,Fe54,6.007957123669316e-07,4.596083758184482e-09
4,4,Fe56,6.007957123669316e-07,4.596083758184482e-09
4,4,Fe57,6.007957123669316e-07,4.596083758184482e-09
4,4,Fe58,6.007957123669316e-07,4.596083758184482e-09
4,5,H2,1.1440117825060405e-06,8.633886601690494e-09
4,5,H1,1.1440117825060405e-06,8.633886601690494e-09
4,5,C12,1.1440117825060405e-06,8.633886601690494e-09
4,5,C13,1.1440117825060405e-06,8.633886601690494e-09
4,5,O16,1.1440117825060405e-06,8.633886601690494e-09
4,5,O17,1.1440117825060405e-06,8.633886601690494e-09
4,5,O18,1.1440117825060405e-06,8.633886601690494e-09
4,5,Na23,1.1440117825060405e-06,8.633886601690494e-09
4,5,Mg26,1.1440117825060405e-06,8.633886601690494e-09
4,5,Mg24,1.1440117825060405e-06,8.633886601690494e-09
4,5,Mg25,1.1440117825060405e-06,8.633886601690494e-09
4,5,Al27,1.1440117825060405e-06,8.633886601690494e-09
4,5,Si30,1.1440117825060405e-06,8.633886601690494e-09
4,5,Si29,1.1440117825060405e-06,8.633886601690494e-09
4,5,Si28,1.1440117825060405e-06,8.633886601690494e-09
4,5,K39,1.1440117825060405e-06,8.633886601690494e-09
4,5,K41,1.1440117825060405e-06,8.633886601690494e-09
4,5,K40,1.1440117825060405e-06,8.633886601690494e-09
4,5,Ca48,1.1440117825060405e-06,8.633886601690494e-09
4,5,Ca42,1.1440117825060405e-06,8.633886601690494e-09
4,5,Ca43,1.1440117825060405e-06,8.633886601690494e-09
4,5,Ca40,1.1440117825060405e-06,8.633886601690494e-09
4,5,Ca46,1.1440117825060405e-06,8.633886601690494e-09
4,5,Ca44,1.1440117825060405e-06,8.633886601690494e-09
4,5,Fe54,1.1440117825060405e-06,8.633886601690494e-09
4,5,Fe56,1.1440117825060405e-06,8.633886601690494e-09
4,5,Fe57,1.1440117825060405e-06,8.633886601690494e-09
4,5,Fe58,1.1440117825060405e-06,8.633886601690494e-09
4,6,H2,1.6927234698855886e-06,1.221592865261754e-08
4,6,H1,1.6927234698855886e-06,1.221592865261754e-08
4,6,C12,1.6927234698855886e-06,1.221592865261754e-08
4,6,C13,1.6927234698855886e-06,1.221592865261754e-08
4,6,O16,1.6927234698855886e-06,1.221592865261754e-08
4,6,O17,1.6927234698855886e-06,1.221592865261754e-08
4,6,O18,1.6927234698855886e-06,1.221592865261754e-08
4,6,Na23,1.6927234698855886e-06,1.221592865261754e-08
4,6,Mg26,1.6927234698855886e-06,1.221592865261754e-08
4,6,Mg24,1.6927234698855886e-06,1.221592865261754e-08
4,6,Mg25,1.6927234698855886e-06,1.221592865261754e-08
4,6,Al27,1.6927234698855886e-06,1.221592865261754e-08
4,6,Si30,1.6927234698855886e-06,1.221592865261754e-08
4,6,Si29,1.6927234698855886e-06,1.221592865261754e-08
4,6,Si28,1.6927234698855886e-06,1.221592865261754e-08
4,6,K39,1.6927234698855886e-06,1.221592865261754e-08
4,6,K41,1.6927234698855886e-06,1.221592865261754e-08
4,6,K40,1.6927234698855886e-06,1.221592865261754e-08
4,6,Ca48,1.6927234698855886e-06,1.221592865261754e-08
4,6,Ca42,1.6927234698855886e-06,1.221592865261754e-08
4,6,Ca43,1.6927234698855886e-06,1.221592865261754e-08
4,6,Ca40,1.6927234698855886e-06,1.221592865261754e-08
4,6,Ca46,1.6927234698855886e-06,1.221592865261754e-08
4,6,Ca44,1.6927234698855886e-06,1.221592865261754e-08
4,6,Fe54,1.6927234698855886e-06,1.221592865261754e-08
4,6,Fe56,1.6927234698855886e-06,1.221592865261754e-08
4,6,Fe57,1.6927234698855886e-06,1.221592865261754e-08
4,6,Fe58,1.6927234698855886e-06,1.221592865261754e-08
4,7,H2,2.5203653979997947e-06,1.7214982139075838e-08
4,7,H1,2.5203653979997947e-06,1.7214982139075838e-08
4,7,C12,2.5203653979997947e-06,1.7214982139075838e-08
4,7,C13,2.5203653979997947e-06,1.7214982139075838e-08
4,7,O16,2.5203653979997947e-06,1.7214982139075838e-08
4,7,O17,2.5203653979997947e-06,1.7214982139075838e-08
4,7,O18,2.5203653979997947e-06,1.7214982139075838e-08
4,7,Na23,2.5203653979997947e-06,1.7214982139075838e-08
4,7,Mg26,2.5203653979997947e-06,1.7214982139075838e-08
4,7,Mg24,2.5203653979997947e-06,1.7214982139075838e-08
4,7,Mg25,2.5203653979997947e-06,1.7214982139075838e-08
4,7,Al27,2.5203653979997947e-06,1.7214982139075838e-08
4,7,Si30,2.5203653979997947e-06,1.7214982139075838e-08
4,7,Si29,2.5203653979997947e-06,1.7214982139075838e-08
4,7,Si28,2.5203653979997947e-06,1.7214982139075838e-08
4,7,K39,2.5203653979997947e-06,1.7214982139075838e-08
4,7,K41,2.5203653979997947e-06,1.7214982139075838e-08
4,7,K40,2.5203653979997947e-06,1.7214982139075838e-08
4,7,Ca48,2.5203653979997947e-06,1.7214982139075838e-08
4,7,Ca42,2.5203653979997947e-06,1.7214982139075838e-08
4,7,Ca43,2.5203653979997947e-06,1.7214982139075838e-08
4,7,Ca40,2.5203653979997947e-06,1.7214982139075838e-08
4,7,Ca46,2.5203653979997947e-06,1.7214982139075838e-08
4,7,Ca44,2.5203653979997947e-06,1.7214982139075838e-08
4,7,Fe54,2.5203653979997947e-06,1.7214982139075838e-08
4,7,Fe56,2.5203653979997947e-06,1.7214982139075838e-08
4,7,Fe57,2.5203653979997947e-06,1.7214982139075838e-08
4,7,Fe58,2.5203653979997947e-06,1.7214982139075838e-08
4,8,H2,4.775291828845008e-06,3.243850083591752e-08
4,8,H1,4.775291828845008e-06,3.243850083591752e-08
4,8,C12,4.775291828845008e-06,3.243850083591752e-08
4,8,C13,4.775291828845008e-06,3.243850083591752e-08
4,8,O16,4.775291828845008e-06,3.243850083591752e-08
4,8,O17,4.775291828845008e-06,3.243850083591752e-08
4,8,O18,4.775291828845008e-06,3.243850083591752e-08
4,8,Na23,4.775291828845008e-06,3.243850083591752e-08
4,8,Mg26,4.775291828845008e-06,3.243850083591752e-08
4,8,Mg24,4.775291828845008e-06,3.243850083591752e-08
4,8,Mg25,4.775291828845008e-06,3.243850083591752e-08
4,8,Al27,4.775291828845008e-06,3.243850083591752e-08
4,8,Si30,4.775291828845008e-06,3.243850083591752e-08
4,8,Si29,4.775291828845008e-06,3.243850083591752e-08
4,8,Si28,4.775291828845008e-06,3.243850083591752e-08
4,8,K39,4.775291828845008e-06,3.243850083591752e-08
4,8,K41,4.775291828845008e-06,3.243850083591752e-08
4,8,K40,4.775291828845008e-06,3.243850083591752e-08
4,8,Ca48,4.775291828845008e-06,3.243850083591752e-08
4,8,Ca42,4.775291828845008e-06,3.243850083591752e-08
4,8,Ca43,4.775291828845008e-06,3.243850083591752e-08
4,8,Ca40,4.775291828845008e-06,3.243850083591752e-08
4,8,Ca46,4.775291828845008e-06,3.243850083591752e-08
4,8,Ca44,4.775291828845008e-06,3.243850083591752e-08
4,8,Fe54,4.775291828845008e-06,3.243850083591752e-08
4,8,Fe56,4.775291828845008e-06,3.243850083591752e-08
4,8,Fe57,4.775291828845008e-06,3.243850083591752e-08
4,8,Fe58,4.775291828845008e-06,3.243850083591752e-08
