material,group in,group out,legendre,nuclide,mean,std. dev.
7,1,1,P0,total,0.16570084659733164,0.003472482876791411
7,1,1,P1,total,0.05617383900718608,0.00127470367774498
7,1,2,P0,total,0.05035222067628355,0.0009731476894165722
7,1,2,P1,total,0.007377541527755142,0.00026902804186445015
7,1,3,P0,total,0.00017426143982892756,2.5441722369387478e-05
7,1,3,P1,total,9.833463286144168e-06,1.4378283721712921e-06
7,1,4,P0,total,0.0,0.0
7,1,4,P1,total,0.0,0.0
7,1,5,P0,total,0.0,0.0
7,1,5,P1,total,0.0,0.0
7,1,6,P0,total,0.0,0.0
7,1,6,P1,total,0.0,0.0
7,1,7,P0,total,0.0,0.0
7,1,7,P1,total,0.0,0.0
7,1,8,P0,total,0.0,0.0
7,1,8,P1,total,0.0,0.0
7,2,1,P0,total,0.0,0.0
7,2,1,P1,total,0.0,0.0
7,2,2,P0,total,0.3704221130058953,0.003182953184477088
7,2,2,P1,total,0.1119989819087204,0.0009922929004260966
7,2,3,P0,total,0.0410337964170718,0.00033995344905922377
7,2,3,P1,total,0.01592369154332732,0.00014098570404793241
7,2,4,P0,total,3.0398300065263817e-05,4.2163551044897195e-06
7,2,4,P1,total,1.1271023126807548e-06,4.2230785822868004e-07
7,2,5,P0,total,3.57627059591339e-06,1.4529137070605562e-06
7,2,5,P1,total,4.6125360158786587e-07,3.2102033560766223e-07
7,2,6,P0,total,1.1920901986377965e-06,8.421361018665057e-07
7,2,6,P1,total,5.923211270056883e-07,5.014665849523266e-07
7,2,7,P0,total,5.960450993188983e-07,5.960613772520713e-07
7,2,7,P1,total,3.7673323604934247e-07,3.7674352459705065e-07
7,2,8,P0,total,5.960450993188983e-07,5.960613772520713e-07
7,2,8,P1,total,3.47143132475218e-08,3.471526129201011e-08
7,3,1,P0,total,0.0,0.0
7,3,1,P1,total,0.0,0.0
7,3,2,P0,total,0.0,0.0
7,3,2,P1,total,0.0,0.0
7,3,3,P0,total,0.4673433700755222,0.0037095885214889933
7,3,3,P1,total,0.1791306185655393,0.0014373305351053983
