cell,group in,nuclide,mean,std. dev.
4,1,H2,5.2397754447388665e-06,8.022039485636869e-08
4,1,H1,0.04274341011388417,0.0006439221547778614
4,1,C12,0.00023643129805186428,3.6058146757747635e-06
4,1,C13,2.4192271320059193e-06,3.66463948767496e-08
4,1,O16,0.10963744015591152,0.0016452760094460889
4,1,O17,2.2999161530509655e-05,3.579048546259456e-07
4,1,O18,0.0003347507232963977,5.314379711005822e-06
4,1,Na23,0.0028737224337904693,4.370437657341069e-05
4,1,Mg26,3.801276112412668e-05,5.801283310178083e-07
4,1,Mg24,0.00023948981246229878,3.6877995142789455e-06
4,1,Mg25,3.3240519371554844e-05,5.069210521636441e-07
4,1,Al27,0.005171665195704504,7.925103229121856e-05
4,1,Si30,0.0012275699881319688,1.9484668514364507e-05
4,1,Si29,0.0020377236584273976,3.175372263703331e-05
4,1,Si28,0.045916259335828,0.0007009426327858955
4,1,K39,0.0011341340230256215,1.8240028505323852e-05
4,1,K41,9.046039247746654e-05,1.4665660056133263e-06
4,1,K40,1.4732420248500367e-07,2.382241930261512e-09
4,1,Ca48,9.676195776584025e-06,1.5376847185829956e-07
4,1,Ca42,3.170154812911869e-05,5.015964554502364e-07
4,1,Ca43,6.670790743810198e-06,1.0563744952462917e-07
4,1,Ca40,0.003899072580326535,6.28666497901284e-05
4,1,Ca46,2.030802089285361e-07,3.2245986312484134e-09
4,1,Ca44,0.00010416745520426731,1.6516575258170835e-06
4,1,Fe54,6.426623571689591e-05,1.009047868757248e-06
4,1,Fe56,0.0009447896017216785,1.5275171102081937e-05
4,1,Fe57,2.6486630047565356e-05,4.1686687060634893e-07
4,1,Fe58,3.5175975926200905e-06,5.56085445796313e-08
4,2,H2,6.81578223208902e-06,4.2517516178753156e-08
4,2,H1,0.17027126054574437,0.0010544957169482444
4,2,C12,0.00047902691235773316,2.975873728509402e-06
4,2,C13,6.453770423070015e-06,4.006642654789365e-08
4,2,O16,0.17328417334353288,0.0010932467354748585
4,2,O17,4.585604798261778e-05,2.8410319024695313e-07
4,2,O18,0.00028663677760400164,1.8313769839182773e-06
4,2,Na23,0.00426255335488714,2.7007528174949924e-05
4,2,Mg26,4.449096640182932e-05,2.8712655330773405e-07
4,2,Mg24,0.000615323406921452,4.0775019637473905e-06
4,2,Mg25,5.483590613385637e-05,3.611169439625458e-07
4,2,Al27,0.007351599031350591,4.749619183764416e-05
4,2,Si30,0.001315777503499708,8.320981857182759e-06
4,2,Si29,0.001980817617753429,1.2667323328098188e-05
4,2,Si28,0.04568328879841359,0.00029830710537887787
4,2,K39,0.0008459322363727052,6.123516155067348e-06
4,2,K41,0.0001233924886767969,8.94987580192508e-07
4,2,K40,1.3640201976341472e-07,8.472516742450719e-10
4,2,Ca48,6.1377682484146395e-06,3.9022957329834015e-08
4,2,Ca42,3.4172237249853285e-05,2.469273348036695e-07
4,2,Ca43,1.2556425185573249e-05,8.752420386694967e-08
4,2,Ca40,0.0025172640842425066,1.748205967011955e-05
4,2,Ca46,4.226883447403764e-07,2.6530987081784384e-09
4,2,Ca44,8.928495658616806e-05,6.151312827920727e-07
4,2,Fe54,0.00030578212078245716,2.444275457532342e-06
4,2,Fe56,0.0014955419449669313,1.0380639733370906e-05
4,2,Fe57,7.843666266181921e-05,5.673629850010984e-07
4,2,Fe58,8.555141478920857e-06,5.744210824000141e-08
4,3,H2,7.2659320117967145e-06,4.183787782957545e-08
4,3,H1,0.2795227812625158,0.001609433542999497
4,3,C12,0.0005413583349659191,3.1171626821723686e-06
4,3,C13,7.324856961283521e-06,4.2177062810632164e-08
4,3,O16,0.17329702579622833,0.0009978520779327046
4,3,O17,6.49296804376e-05,3.738698457169655e-07
4,3,O18,0.0002851530231684308,1.6419250827945712e-06
4,3,Na23,0.011532196698469931,8.762823044095043e-05
4,3,Mg26,3.546304725941262e-05,2.0419152313274814e-07
4,3,Mg24,0.00033697257764414573,1.9402912601589516e-06
4,3,Mg25,2.938835737803192e-05,1.6920469688346632e-07
4,3,Al27,0.0024106196216578564,1.3876732934940874e-05
4,3,Si30,0.0013370060823582218,8.608991263749275e-06
4,3,Si29,0.002009062303990668,1.1568177526123957e-05
4,3,Si28,0.02987881400261226,0.0001720381124990647
4,3,K39,0.0006430450795006054,3.7092852140547617e-06
4,3,K41,6.390382282264391e-05,6.277592715349278e-07
4,3,K40,1.4821913819638447e-07,8.534565620678316e-10
4,3,Ca48,1.0142406416928959e-05,5.83814217794189e-08
4,3,Ca42,1.1048494667619403e-05,6.359404914665224e-08
4,3,Ca43,2.7308206464525984e-05,2.404479493939223e-07
4,3,Ca40,0.003759668283798942,2.164311167491044e-05
4,3,Ca46,6.112190054568014e-07,3.859351874972945e-09
4,3,Ca44,9.77330890523086e-05,5.625737897163389e-07
4,3,Fe54,3.532364776644821e-05,2.0325249652915164e-07
4,3,Fe56,0.0033607998477453395,1.9348796786933753e-05
4,3,Fe57,1.798530293453501e-05,1.7771164907144198e-07
4,3,Fe58,6.440641350545329e-06,3.7094524131542896e-08
4,4,H2,7.2997677018394906e-06,5.54410888117457e-08
4,4,H1,0.283404033451975,0.002152418392502899
4,4,C12,0.0005420563400208731,4.116890988698435e-06
4,4,C13,7.329696694610035e-06,5.566869379988189e-08
4,4,O16,0.17347232133758103,0.0013175140051928204
4,4,O17,6.496410190679424e-05,4.933992953887814e-07
4,4,O18,0.00028540508567129923,2.167638231795305e-06
4,4,Na23,0.003076066138562029,2.3362114866974047e-05
4,4,Mg26,3.5589923610468875e-05,2.7030387535866515e-07
4,4,Mg24,0.00033743298198406435,2.5627882189793375e-06
4,4,Mg25,2.964254475630217e-05,2.2513380471734846e-07
4,4,Al27,0.002478562228681694,1.882457440091244e-05
4,4,Si30,0.0012613082780368046,9.579580331268581e-06
4,4,Si29,0.002012070438188503,1.5281585377112497e-05
4,4,Si28,0.029993513675450504,0.00022779940075011773
4,4,K39,0.0008796213821365597,6.680808381536908e-06
4,4,K41,7.814918693101345e-05,5.935778495056941e-07
4,4,K40,1.4825255537264338e-07,1.1259716947785776e-09
4,4,Ca48,1.0569042461670209e-05,8.027145390649911e-08
4,4,Ca42,1.2020250751145191e-05,9.129337335940622e-08
4,4,Ca43,8.525764471775443e-06,6.475324608548172e-08
4,4,Ca40,0.003877177189790753,2.944699937168077e-05
4,4,Ca46,1.7653526104633287e-07,1.340778159959943e-09
4,4,Ca44,0.00010530308892351982,7.997729879404753e-07
4,4,Fe54,4.3871742947304765e-05,3.3320467378045595e-07
4,4,Fe56,0.003848100442052145,2.9226208931351987e-05
4,4,Fe57,4.4381032579238395e-06,3.370735434931208e-08
4,4,Fe58,7.3186743163237905e-06,5.558510141610785e-08
4,5,H2,7.382544606461204e-06,5.54864961126688e-08
4,5,H1,0.28979036438350236,0.0021781878027188413
4,5,C12,0.0005430918860268769,4.081597147818662e-06
4,5,C13,7.342219472159207e-06,5.5180259236496583e-08
4,5,O16,0.17372142320422754,0.0013055964872732318
4,5,O17,6.505162616028695e-05,4.888926876779622e-07
4,5,O18,0.0002857692703423894,2.147685543110465e-06
4,5,Na23,0.0031261391869469315,2.3495769465856047e-05
4,5,Mg26,3.5621523261149765e-05,2.6771128657620344e-07
4,5,Mg24,0.00033775586875049995,2.538383775486832e-06
4,5,Mg25,2.967021174513254e-05,2.2298463466060264e-07
4,5,Al27,0.00248083322657272,1.8644542180597595e-05
4,5,Si30,0.0012622744527023692,9.486536529198474e-06
4,5,Si29,0.0020136655104034105,1.5133566555377674e-05
4,5,Si28,0.030018259242837533,0.00022560022949471388
4,5,K39,0.000883766710385126,6.641927029489846e-06
4,5,K41,7.924587187747028e-05,5.955798106681037e-07
4,5,K40,1.4833753898113455e-07,1.114819272874373e-09
4,5,Ca48,1.057509978239249e-05,7.947631078955824e-08
4,5,Ca42,1.20296128383961e-05,9.040764351221835e-08
4,5,Ca43,8.54342329598813e-06,6.420758609046489e-08
4,5,Ca40,0.0038796371520754638,2.9157115254255987e-05
4,5,Ca46,1.7680656177707726e-07,1.3287786533841769e-09
4,5,Ca44,0.00010537615825432761,7.91946335090584e-07
4,5,Fe54,4.393275893498633e-05,3.3017410629206995e-07
4,5,Fe56,0.003853096736850171,2.8957717280331424e-05
4,5,Fe57,4.446534571466933e-06,3.3417695314206985e-08
4,5,Fe58,7.3241070664579e-06,5.504373322860261e-08
4,6,H2,7.520558130295435e-06,5.40127966112741e-08
4,6,H1,0.3004451380461522,0.002158358269095427
4,6,C12,0.0005448197810733099,3.912040873518453e-06
4,6,C13,7.3636077264328105e-06,5.287369088898413e-08
4,6,O16,0.17413591024885763,0.001250356821772378
4,6,O17,6.519770234965696e-05,4.681413672310697e-07
4,6,O18,0.0002863751178010199,2.0562656931274336e-06
4,6,Na23,0.0031545341000789474,2.2652408639302246e-05
4,6,Mg26,3.567392662168331e-05,2.5614792010156566e-07
4,6,Mg24,0.0003382938098503094,2.429040335332151e-06
4,6,Mg25,2.9715651010736305e-05,2.1336615820717187e-07
4,6,Al27,0.0024843731880104638,1.7838422620112135e-05
4,6,Si30,0.0012638838413833616,9.074984001223378e-06
4,6,Si29,0.0020163210365935122,1.4477669470104308e-05
4,6,Si28,0.03005927888434226,0.00021583299060329677
4,6,K39,0.000885238817420637,6.356228523628109e-06
4,6,K41,7.94982062029624e-05,5.708224644794053e-07
4,6,K40,1.4847937843760132e-07,1.0661120902023891e-09
4,6,Ca48,1.0583694945453815e-05,7.599291521827472e-08
4,6,Ca42,1.2041031858310676e-05,8.645702269766984e-08
4,6,Ca43,8.553193811998666e-06,6.141372398427784e-08
4,6,Ca40,0.003883386299932436,2.7883504321539154e-05
4,6,Ca46,1.7700550019055362e-07,1.2709374884897545e-09
4,6,Ca44,0.0001054707845572995,7.573008725703535e-07
4,6,Fe54,4.400012680864172e-05,3.15932260543057e-07
4,6,Fe56,0.0038587683011856236,2.7706929412167814e-05
4,6,Fe57,4.453421155586012e-06,3.1976699305973985e-08
4,6,Fe58,7.329358419759276e-06,5.262608115270985e-08
4,7,H2,7.83314682339143e-06,5.3483891230433804e-08
4,7,H1,0.32443192705005924,0.002215222967305038
4,7,C12,0.0005487292379306518,3.7466341037970504e-06
4,7,C13,7.412120318477003e-06,5.0608751207076735e-08
4,7,O16,0.17507551861930648,0.0011953870356234359
4,7,O17,6.552847501995238e-05,4.47417678425232e-07
4,7,O18,0.0002877501660988712,1.9647108873973065e-06
4,7,Na23,0.003193404443644187,2.1804125030252227e-05
4,7,Mg26,3.5792521887798255e-05,2.4438542627123277e-07
4,7,Mg24,0.0003395117480979546,2.318130184371913e-06
4,7,Mg25,2.9818390494501407e-05,2.0359504642462188e-07
4,7,Al27,0.0024923385392933406,1.7017275647979716e-05
4,7,Si30,0.0012675269909517557,8.654464535208728e-06
4,7,Si29,0.0020223328908999293,1.380815443632811e-05
4,7,Si28,0.030152106201534648,0.00020587359533654964
4,7,K39,0.0008874751986753664,6.059534475724662e-06
4,7,K41,7.974644184331165e-05,5.444957765914986e-07
4,7,K40,1.4880055530831942e-07,1.0159855026014828e-09
4,7,Ca48,1.0602855106242992e-05,7.239453359016218e-08
4,7,Ca42,1.2066050094895484e-05,8.238498827893609e-08
4,7,Ca43,8.571384160995497e-06,5.852399192636326e-08
4,7,Ca40,0.0038918045551821013,2.657259586725605e-05
4,7,Ca46,1.77744176764803e-07,1.2136099972672535e-09
4,7,Ca44,0.00010567959104856846,7.215627075206586e-07
4,7,Fe54,4.414581211520014e-05,3.01420316682607e-07
4,7,Fe56,0.0038710774329302933,2.643107730955463e-05
4,7,Fe57,4.467584074593499e-06,3.050392669783808e-08
4,7,Fe58,7.340489083441677e-06,5.0119639531167686e-08
4,8,H2,9.42036176371228e-06,6.387698621733525e-08
4,8,H1,0.43264807571135827,0.0029351296640482763
4,8,C12,0.0005713012218848001,3.87094122123626e-06
4,8,C13,7.69331512878276e-06,5.212643646865303e-08
4,8,O16,0.18053763528278644,0.001223199495652284
4,8,O17,6.745409795372436e-05,4.57018518425072e-07
4,8,O18,0.0002957578769348008,2.0038179580407507e-06
4,8,Na23,0.0032934864111455577,2.2313891537470112e-05
4,8,Mg26,3.648779036757412e-05,2.472010734109419e-07
4,8,Mg24,0.0003466442837482493,2.348499596359587e-06
4,8,Mg25,3.042026075326885e-05,2.0609501059411233e-07
4,8,Al27,0.002538999576152496,1.720139941031253e-05
4,8,Si30,0.0012889257085037006,8.732221611077012e-06
4,8,Si29,0.0020576278742705637,1.3940072499286016e-05
4,8,Si28,0.0306968026306619,0.00020796620609260383
4,8,K39,0.0008991960499465929,6.091752909983271e-06
4,8,K41,8.078041949517218e-05,5.472588043719721e-07
4,8,K40,1.5069263028237515e-07,1.0208901522864739e-09
4,8,Ca48,1.0715497923892337e-05,7.259293037129904e-08
4,8,Ca42,1.2212387544401305e-05,8.273440702067778e-08
4,8,Ca43,8.673405529917508e-06,5.8759027761044395e-08
4,8,Ca40,0.003941303228109643,2.6700958725765872e-05
4,8,Ca46,1.8164848532430824e-07,1.2306684050443942e-09
4,8,Ca44,0.00010690351820004722,7.24229600456027e-07
4,8,Fe54,4.499114732977324e-05,3.0480997960020846e-07
4,8,Fe56,0.003942602135777039,2.6710591687254934e-05
4,8,Fe57,4.54881965614982e-06,3.081758128514304e-08
4,8,Fe58,7.405235816701316e-06,5.016680854961289e-08
