cell,group in,group out,legendre,nuclide,mean,std. dev.
4,1,1,P0,H2,0.0,0.0
4,1,1,P0,H1,0.017290196091757856,0.0004055949755806121
4,1,1,P0,C12,0.00019980109694523742,3.5392988818223336e-05
4,1,1,P0,C13,2.4192271320059197e-06,2.417079662961857e-06
4,1,1,P0,O16,0.09133809831614233,0.001928504146146765
4,1,1,P0,O17,2.2999161530509655e-05,1.2224676554473118e-05
4,1,1,P0,O18,0.00031758401953760806,4.3747061007424806e-05
4,1,1,P0,Na23,0.002504372528507056,0.000129229743804988
4,1,1,P0,Mg26,3.484503103044945e-05,1.4414335607215283e-05
4,1,1,P0,Mg24,0.00021028373777177457,3.49266373820757e-05
4,1,1,P0,Mg25,2.5853737288987103e-05,9.693104949779007e-06
4,1,1,P0,Al27,0.004502839520933872,0.00018294729808465303
4,1,1,P0,Si30,0.0011296092908246794,8.315938816049045e-05
4,1,1,P0,Si29,0.001840221211533666,0.00010984575894656606
4,1,1,P0,Si28,0.041215683751471874,0.000999763619188365
4,1,1,P0,K39,0.0010951380107725914,9.051590029470666e-05
4,1,1,P0,K41,8.615275474044433e-05,2.775743933774194e-05
4,1,1,P0,K40,0.0,0.0
4,1,1,P0,Ca48,9.676195776584025e-06,5.56062151683837e-06
4,1,1,P0,Ca42,3.170154812911869e-05,1.4057881134492828e-05
4,1,1,P0,Ca43,6.670790743810197e-06,4.026450071411588e-06
4,1,1,P0,Ca40,0.0037128111513300443,0.0001651740367658863
4,1,1,P0,Ca46,0.0,0.0
4,1,1,P0,Ca44,8.814169286514924e-05,2.1434364663736333e-05
4,1,1,P0,Fe54,6.426623571689591e-05,1.94576533646877e-05
4,1,1,P0,Fe56,0.0008234990447438952,7.311991585907073e-05
4,1,1,P0,Fe57,2.06007122592175e-05,1.0329354992136737e-05
4,1,1,P0,Fe58,0.0,0.0
4,1,1,P1,H2,0.0,0.0
4,1,1,P1,H1,0.014497713641010455,0.00034173701324727453
4,1,1,P1,C12,3.633980244490591e-05,1.641980965823797e-05
4,1,1,P1,C13,-1.774874041552733e-06,1.8203432432963339e-06
4,1,1,P1,O16,0.020087116348860498,0.0005637979466777861
4,1,1,P1,O17,5.236866292767523e-06,4.403505238086578e-06
4,1,1,P1,O18,3.0357577110539944e-05,1.889204974657506e-05
4,1,1,P1,Na23,0.0009918386915873708,6.915358277481142e-05
4,1,1,P1,Mg26,1.1918109180883384e-05,8.749268539795027e-06
4,1,1,P1,Mg24,6.237067548882438e-05,1.6961272288583146e-05
4,1,1,P1,Mg25,2.4621397454497734e-06,4.3931517221195194e-06
4,1,1,P1,Al27,0.0018093271238979298,0.0001016876008839892
4,1,1,P1,Si30,0.0004167790994524082,4.565169654103546e-05
4,1,1,P1,Si29,0.0006634932001369486,5.829231243341115e-05
4,1,1,P1,Si28,0.015654652176164373,0.00041960012430169124
4,1,1,P1,K39,0.0004048895017721024,5.093299156588125e-05
4,1,1,P1,K41,3.781644620682904e-05,1.6249256870614392e-05
4,1,1,P1,K40,0.0,0.0
4,1,1,P1,Ca48,-3.395177654295495e-06,3.117189050620325e-06
4,1,1,P1,Ca42,1.0808404361333499e-05,9.57081041053671e-06
4,1,1,P1,Ca43,5.615074608722001e-07,1.6065516223038301e-06
4,1,1,P1,Ca40,0.0012192680368600546,8.896863482733223e-05
4,1,1,P1,Ca46,0.0,0.0
4,1,1,P1,Ca44,2.223479672960732e-05,1.2537286476587876e-05
4,1,1,P1,Fe54,-7.148813470823281e-07,9.089936442258805e-06
4,1,1,P1,Fe56,0.0003202100706311976,4.4249078482689995e-05
4,1,1,P1,Fe57,-3.716955593423079e-07,5.3333349922232865e-06
4,1,1,P1,Fe58,0.0,0.0
4,1,2,P0,H2,5.2397754447388665e-06,7.410595707116108e-06
4,1,2,P0,H1,0.025289953663518952,0.0005207161352711153
4,1,2,P0,C12,3.6630201106626855e-05,1.1786930817638067e-05
4,1,2,P0,C13,0.0,0.0
4,1,2,P0,O16,0.018299341839769185,0.00040074350845753173
4,1,2,P0,O17,0.0,0.0
4,1,2,P0,O18,1.7166703758789645e-05,7.167919101262611e-06
4,1,2,P0,Na23,0.00036934990528341316,3.5205278372190146e-05
4,1,2,P0,Mg26,3.1677300936772227e-06,3.295102328767034e-06
4,1,2,P0,Mg24,2.9206074690524237e-05,9.73769700086938e-06
4,1,2,P0,Mg25,7.386782082567743e-06,4.107943492751308e-06
4,1,2,P0,Al27,0.0006658922288286548,4.9102721763659105e-05
4,1,2,P0,Si30,9.796069730728929e-05,1.8576052306626796e-05
4,1,2,P0,Si29,0.0001975024468937318,2.7409278903903568e-05
4,1,2,P0,Si28,0.004700575584356126,0.00014642297025429702
4,1,2,P0,K39,3.8996012253030036e-05,1.1367607885466385e-05
4,1,2,P0,K41,4.307637737022217e-06,4.415484825831963e-06
4,1,2,P0,K40,0.0,0.0
