cell,group in,nuclide,mean,std. dev.
1,1,N15,5.11687483533179e-10,5.949475096496569e-12
1,1,N14,5.11687483533179e-10,5.949475096496569e-12
1,1,O17,5.11687483533179e-10,5.949475096496569e-12
1,1,O16,5.11687483533179e-10,5.949475096496569e-12
1,1,O18,5.11687483533179e-10,5.949475096496569e-12
1,1,Ar38,5.11687483533179e-10,5.949475096496569e-12
1,1,Ar40,5.11687483533179e-10,5.949475096496569e-12
1,1,Ar36,5.11687483533179e-10,5.949475096496569e-12
1,1,C13,5.11687483533179e-10,5.949475096496569e-12
1,1,C12,5.11687483533179e-10,5.949475096496569e-12
1,2,N15,1.2530487841091397e-09,2.244000888656026e-11
1,2,N14,1.2530487841091397e-09,2.244000888656026e-11
1,2,O17,1.2530487841091397e-09,2.244000888656026e-11
1,2,O16,1.2530487841091397e-09,2.2440008886560368e-11
1,2,O18,1.2530487841091397e-09,2.2440008886560368e-11
1,2,Ar38,1.2530487841091397e-09,2.2440008886560368e-11
1,2,Ar40,1.2530487841091397e-09,2.2440008886560368e-11
1,2,Ar36,1.2530487841091397e-09,2.2440008886560368e-11
1,2,C13,1.2530487841091397e-09,2.2440008886560368e-11
1,2,C12,1.2530487841091397e-09,2.2440008886560368e-11
1,3,N15,1.3599118629190113e-08,4.7051449867074695e-09
1,3,N14,1.3599118629190113e-08,4.7051449867074695e-09
1,3,O17,1.3599118629190113e-08,4.7051449867074695e-09
1,3,O16,1.3599118629190113e-08,4.7051449867074695e-09
1,3,O18,1.3599118629190113e-08,4.7051449867074695e-09
1,3,Ar38,1.3599118629190113e-08,4.7051449867074695e-09
1,3,Ar40,1.3599118629190113e-08,4.7051449867074695e-09
1,3,Ar36,1.3599118629190113e-08,4.7051449867074695e-09
1,3,C13,1.3599118629190113e-08,4.7051449867074695e-09
1,3,C12,1.3599118629190113e-08,4.7051449867074695e-09
1,4,N15,0.0,0.0
1,4,N14,0.0,0.0
1,4,O17,0.0,0.0
1,4,O16,0.0,0.0
1,4,O18,0.0,0.0
1,4,Ar38,0.0,0.0
1,4,Ar40,0.0,0.0
1,4,Ar36,0.0,0.0
1,4,C13,0.0,0.0
1,4,C12,0.0,0.0
1,5,N15,0.0,0.0
1,5,N14,0.0,0.0
1,5,O17,0.0,0.0
1,5,O16,0.0,0.0
1,5,O18,0.0,0.0
1,5,Ar38,0.0,0.0
1,5,Ar40,0.0,0.0
1,5,Ar36,0.0,0.0
1,5,C13,0.0,0.0
1,5,C12,0.0,0.0
1,6,N15,0.0,0.0
1,6,N14,0.0,0.0
1,6,O17,0.0,0.0
1,6,O16,0.0,0.0
1,6,O18,0.0,0.0
1,6,Ar38,0.0,0.0
1,6,Ar40,0.0,0.0
1,6,Ar36,0.0,0.0
1,6,C13,0.0,0.0
1,6,C12,0.0,0.0
1,7,N15,0.0,0.0
1,7,N14,0.0,0.0
1,7,O17,0.0,0.0
1,7,O16,0.0,0.0
1,7,O18,0.0,0.0
1,7,Ar38,0.0,0.0
1,7,Ar40,0.0,0.0
1,7,Ar36,0.0,0.0
1,7,C13,0.0,0.0
1,7,C12,0.0,0.0
1,8,N15,0.0,0.0
1,8,N14,0.0,0.0
1,8,O17,0.0,0.0
1,8,O16,0.0,0.0
1,8,O18,0.0,0.0
1,8,Ar38,0.0,0.0
1,8,Ar40,0.0,0.0
1,8,Ar36,0.0,0.0
1,8,C13,0.0,0.0
1,8,C12,0.0,0.0
