cell,group in,nuclide,mean,std. dev.
1,1,O16,0.00023250109718459403,3.994828526732026e-06
1,1,O18,1.4743331216350684e-08,2.6011966630262643e-10
1,1,O17,7.683448691885654e-07,2.584364200632166e-09
1,1,H1,0.0001840172649895886,1.1530036774781977e-06
1,1,H2,9.004665041664154e-11,3.4196812246166304e-13
1,2,O16,4.711529346743044e-06,5.3071370205071664e-08
1,2,O18,8.574633330347016e-09,9.658943286600156e-11
1,2,O17,2.5155292831034824e-06,2.8336407061822487e-08
1,2,H1,0.018476934250269663,0.00020813497962162181
1,2,H2,4.376102824844073e-09,4.92954411050786e-11
