cell,group in,group out,legendre,nuclide,mean,std. dev.
1,1,1,P0,O16,0.10525908094523907,0.0007317397193769958
1,1,1,P0,O18,0.0002267578949522961,2.337090346644947e-05
1,1,1,P0,O17,2.767084212827277e-05,7.488909167095915e-06
1,1,1,P0,H1,0.5941008664602219,0.003445776023935946
1,1,1,P0,H2,2.9747741301813176e-05,7.206416048429491e-06
1,1,1,P1,O16,0.009853367012208843,0.00020816640700002317
1,1,1,P1,O18,9.50950619226127e-06,7.78836084762198e-06
1,1,1,P1,O17,-2.464022205914311e-06,2.8486571254743128e-06
1,1,1,P1,H1,0.4016736763100456,0.0023473238397539336
1,1,1,P1,H2,1.2069498257879133e-05,4.0089303020294275e-06
1,1,2,P0,O16,0.00027434374656583386,1.4055007954430288e-05
1,1,2,P0,O18,0.0,0.0
1,1,2,P0,O17,0.0,0.0
1,1,2,P0,H1,0.026276671439613163,0.00018635185589498397
1,1,2,P0,H2,0.0,0.0
1,1,2,P1,O16,-7.263150119870614e-05,9.578204169888165e-06
1,1,2,P1,O18,0.0,0.0
1,1,2,P1,O17,0.0,0.0
1,1,2,P1,H1,0.010556539148165575,8.76813872063356e-05
1,1,2,P1,H2,0.0,0.0
1,2,1,P0,O16,2.477025463506274e-05,7.560522150191539e-06
1,2,1,P0,O18,0.0,0.0
1,2,1,P0,O17,0.0,0.0
1,2,1,P0,H1,0.00015165506469896352,2.0288145892116635e-05
1,2,1,P0,H2,0.0,0.0
1,2,1,P1,O16,1.0090881342355928e-05,4.592479236704178e-06
1,2,1,P1,O18,0.0,0.0
1,2,1,P1,O17,0.0,0.0
1,2,1,P1,H1,0.00013787083996471538,1.88874410755944e-05
1,2,1,P1,H2,0.0,0.0
1,2,2,P0,O16,0.13007135933922948,0.002118148834023588
1,2,2,P0,O18,0.00021340917552568203,3.327615029290561e-05
1,2,2,P0,O17,4.8642648285580294e-05,1.105866061637186e-05
1,2,2,P0,H1,1.8826790615506859,0.029887690525961366
1,2,2,P0,H2,4.259940420235462e-05,1.047825674283002e-05
1,2,2,P1,O16,0.0047653702764722,0.00035086825934905515
1,2,2,P1,O18,-1.7964856803493564e-06,1.2254235625823853e-05
1,2,2,P1,O17,5.468491785056608e-06,5.360977242079511e-06
1,2,2,P1,H1,0.7420856267685867,0.011660874888245779
1,2,2,P1,H2,3.6068291767970693e-06,6.188931775393605e-06
