cell,group in,group out,legendre,nuclide,mean,std. dev.
1,1,1,P0,O17,2.767070945695966e-05,9.814012230397106e-06
1,1,1,P0,O18,0.00022676435001978856,2.1931951289366186e-05
1,1,1,P0,O16,0.10525597492873909,0.0007370435120539732
1,1,1,P0,H2,2.8818342961153693e-05,7.425891297125445e-06
1,1,1,P0,H1,0.5940976589620076,0.0034412575265348523
1,1,1,P1,O17,-4.4925915472610385e-06,4.371903797733402e-06
1,1,1,P1,O18,2.298166205894613e-05,8.70121054909578e-06
1,1,1,P1,O16,0.009838358022309285,0.00020871608038005446
1,1,1,P1,H2,7.187107140339751e-06,3.333728714523771e-06
1,1,1,P1,H1,0.40166981078687797,0.0023443964766753232
1,1,2,P0,O17,0.0,0.0
1,1,2,P0,O18,0.0,0.0
1,1,2,P0,O16,0.00027306846844126484,1.366058587037075e-05
1,1,2,P0,H2,9.296239664888289e-07,9.44680026012366e-07
1,1,2,P0,H1,0.026279587387418844,0.00018570567711691176
1,1,2,P1,O17,0.0,0.0
1,1,2,P1,O18,0.0,0.0
1,1,2,P1,O16,-7.32165373549441e-05,9.709764060547123e-06
1,1,2,P1,H2,-5.551934637392116e-07,5.641852992968814e-07
1,1,2,P1,H1,0.010557103056365126,8.796523204876725e-05
1,2,1,P0,O17,0.0,0.0
1,2,1,P0,O18,0.0,0.0
1,2,1,P0,O16,2.4751974625289664e-05,7.5551020941823764e-06
1,2,1,P0,H2,0.0,0.0
1,2,1,P0,H1,0.00015167911016752476,2.0293610321685308e-05
1,2,1,P1,O17,0.0,0.0
1,2,1,P1,O18,0.0,0.0
1,2,1,P1,O16,1.0083434450417397e-05,4.589133639371169e-06
1,2,1,P1,H2,0.0,0.0
1,2,1,P1,H1,0.00013789269989372246,1.8892431166429306e-05
1,2,2,P0,O17,4.864273512979174e-05,1.8632598441338673e-05
1,2,2,P0,O18,0.00021340953158230946,3.805996926617292e-05
1,2,2,P0,O16,0.13007162665589722,0.002140347539591895
1,2,2,P0,H2,4.2599979048478746e-05,1.2554934198279527e-05
1,2,2,P0,H1,1.8827155760533996,0.030213973456778342
1,2,2,P1,O17,7.847481599285339e-07,8.693782146253898e-06
1,2,2,P1,O18,-1.1400499856206401e-05,1.6689950398288815e-05
1,2,2,P1,O16,0.0047798769117128916,0.00035271123719755475
1,2,2,P1,H2,1.3228763605337862e-05,6.320967510242265e-06
1,2,2,P1,H1,0.7420939740715314,0.011797915381458362
