cell,group in,nuclide,mean,std. dev.
1,1,O17,0.06064993962557899,0.0002037067521061027
1,1,O18,0.00022038528416250039,3.887879106711557e-06
1,1,O16,0.006967329356262729,0.00011963025847691086
1,1,H2,8.649354094601107e-06,3.304281979603337e-08
1,1,H1,0.002753630467337213,1.7315939566973634e-05
1,2,O17,0.198561482042565,0.002259318735687909
1,2,O18,0.0001282340951086597,1.4590965999822075e-06
1,2,O16,0.00014128670587362443,1.607557846976026e-06
1,2,H2,0.00042030270058887115,4.782428124296476e-06
1,2,H1,0.27642186785684536,0.003145246344270922
