cell,group in,nuclide,mean,std. dev.
1,1,O17,2.1840917392367967,0.007228471335681258
1,1,O18,3.3911556632666935,0.010768426612042682
1,1,O16,3.164436497899818,0.009906360218274632
1,1,H2,2.857043915160838,0.008540792371276185
1,1,H1,9.280754814559343,0.03497227983323873
1,2,O17,3.8394460444215475,0.042356208287571376
1,2,O18,3.1914405485575092,0.03520502037649798
1,2,O16,3.901122530160443,0.04304010501812599
1,2,H2,4.091372402775518,0.04544247008843868
1,2,H1,28.167424653890304,0.3142937092662734
