cell,group in,nuclide,mean,std. dev.
1,1,N15,2.2371155394832497e-11,2.9831224832837923e-12
1,1,N14,5.256155601978755e-06,4.752980024855222e-08
1,1,O17,3.449233278326604e-10,1.895197382900086e-12
1,1,O16,1.1492768401816751e-07,2.4655929856564426e-09
1,1,O18,7.1004824482164595e-12,1.258117572961575e-13
1,1,Ar38,8.845372496405342e-13,1.3332739995136993e-14
1,1,Ar36,1.3717424450479818e-10,1.2605476452401802e-12
1,1,Ar40,1.3371695593578732e-10,3.0433973756723983e-12
1,1,Ar41,6.635691916985627e-12,8.46489267011882e-14
1,1,C12,6.77990082332548e-12,2.479034591124608e-13
1,1,C13,6.688553573565933e-14,1.9623113500903584e-15
1,2,N15,0.0,0.0
1,2,N14,0.0,0.0
1,2,O17,0.0,0.0
1,2,O16,0.0,0.0
1,2,O18,0.0,0.0
1,2,Ar38,0.0,0.0
1,2,Ar36,0.0,0.0
1,2,Ar40,0.0,0.0
1,2,Ar41,0.0,0.0
1,2,C12,0.0,0.0
1,2,C13,0.0,0.0
