cell,group in,nuclide,mean,std. dev.
1,1,N15,3.8440616263607356e-07,1.8579767970961757e-09
1,1,N14,7.973069400996619e-05,4.027060237131784e-07
1,1,O17,5.444716823362739e-09,2.7480166088943585e-11
1,1,O16,2.5951034264970208e-05,1.6489744129914378e-07
1,1,O18,6.830508180863568e-08,3.5084539664541676e-10
1,1,Ar38,2.9508708908150276e-10,1.6062447986958274e-12
1,1,Ar36,1.6158027745187697e-09,8.680215710586252e-12
1,1,Ar40,5.736928029416797e-07,3.249536688586695e-09
1,1,Ar41,5.63826799332019e-09,2.9213531993469705e-11
1,1,C12,1.3951384610481601e-08,7.231179377376787e-11
1,1,C13,1.5155112701995841e-10,8.195212184804575e-13
1,2,N15,0.0,0.0
1,2,N14,0.0,0.0
1,2,O17,0.0,0.0
1,2,O16,0.0,0.0
1,2,O18,0.0,0.0
1,2,Ar38,0.0,0.0
1,2,Ar36,0.0,0.0
1,2,Ar40,0.0,0.0
1,2,Ar41,0.0,0.0
1,2,C12,0.0,0.0
1,2,C13,0.0,0.0
