cell,group in,nuclide,mean,std. dev.
1,1,N15,3.843837914806788e-07,1.8583172376929142e-09
1,1,N14,7.447453840798747e-05,3.706538982368642e-07
1,1,O17,5.099793495530079e-09,2.572680800436233e-11
1,1,O16,2.5836106580952022e-05,1.6426980131758814e-07
1,1,O18,6.829798132618747e-08,3.5081859055624247e-10
1,1,Ar38,2.9420255183186226e-10,1.6000284176662962e-12
1,1,Ar36,1.4786285300139719e-09,7.736683703655325e-12
1,1,Ar40,5.735590859857441e-07,3.2491767493120715e-09
1,1,Ar41,5.631632301403204e-09,2.9175554078484094e-11
1,1,C12,1.394460470965828e-08,7.227495928559808e-11
1,1,C13,1.5148424148422268e-10,8.190301079445666e-13
1,2,N15,0.0,0.0
1,2,N14,0.0,0.0
1,2,O17,0.0,0.0
1,2,O16,0.0,0.0
1,2,O18,0.0,0.0
1,2,Ar38,0.0,0.0
1,2,Ar36,0.0,0.0
1,2,Ar40,0.0,0.0
1,2,Ar41,0.0,0.0
1,2,C12,0.0,0.0
1,2,C13,0.0,0.0
