cell,group in,group out,legendre,nuclide,mean,std. dev.
1,1,1,P0,N15,0.0,0.0
1,1,1,P0,N14,7.447453840798747e-05,1.4585472574586566e-05
1,1,1,P0,O17,0.0,0.0
1,1,1,P0,O16,2.5836106580952022e-05,6.613065100187956e-06
1,1,1,P0,O18,0.0,0.0
1,1,1,P0,Ar38,0.0,0.0
1,1,1,P0,Ar36,0.0,0.0
1,1,1,P0,Ar40,0.0,0.0
1,1,1,P0,Ar41,0.0,0.0
1,1,1,P0,C12,0.0,0.0
1,1,1,P0,C13,0.0,0.0
1,1,1,P1,N15,0.0,0.0
1,1,1,P1,N14,9.493462788112044e-06,6.29979540447664e-06
1,1,1,P1,O17,0.0,0.0
1,1,1,P1,O16,3.1694554992077386e-06,3.151166108406259e-06
1,1,1,P1,O18,0.0,0.0
1,1,1,P1,Ar38,0.0,0.0
1,1,1,P1,Ar36,0.0,0.0
1,1,1,P1,Ar40,0.0,0.0
1,1,1,P1,Ar41,0.0,0.0
1,1,1,P1,C12,0.0,0.0
1,1,1,P1,C13,0.0,0.0
1,1,2,P0,N15,0.0,0.0
1,1,2,P0,N14,0.0,0.0
1,1,2,P0,O17,0.0,0.0
1,1,2,P0,O16,0.0,0.0
1,1,2,P0,O18,0.0,0.0
1,1,2,P0,Ar38,0.0,0.0
1,1,2,P0,Ar36,0.0,0.0
1,1,2,P0,Ar40,0.0,0.0
1,1,2,P0,Ar41,0.0,0.0
1,1,2,P0,C12,0.0,0.0
1,1,2,P0,C13,0.0,0.0
1,1,2,P1,N15,0.0,0.0
1,1,2,P1,N14,0.0,0.0
1,1,2,P1,O17,0.0,0.0
1,1,2,P1,O16,0.0,0.0
1,1,2,P1,O18,0.0,0.0
1,1,2,P1,Ar38,0.0,0.0
1,1,2,P1,Ar36,0.0,0.0
1,1,2,P1,Ar40,0.0,0.0
1,1,2,P1,Ar41,0.0,0.0
1,1,2,P1,C12,0.0,0.0
1,1,2,P1,C13,0.0,0.0
1,2,1,P0,N15,0.0,0.0
1,2,1,P0,N14,0.0,0.0
1,2,1,P0,O17,0.0,0.0
1,2,1,P0,O16,0.0,0.0
1,2,1,P0,O18,0.0,0.0
1,2,1,P0,Ar38,0.0,0.0
1,2,1,P0,Ar36,0.0,0.0
1,2,1,P0,Ar40,0.0,0.0
1,2,1,P0,Ar41,0.0,0.0
1,2,1,P0,C12,0.0,0.0
1,2,1,P0,C13,0.0,0.0
1,2,1,P1,N15,0.0,0.0
1,2,1,P1,N14,0.0,0.0
1,2,1,P1,O17,0.0,0.0
1,2,1,P1,O16,0.0,0.0
1,2,1,P1,O18,0.0,0.0
1,2,1,P1,Ar38,0.0,0.0
1,2,1,P1,Ar36,0.0,0.0
1,2,1,P1,Ar40,0.0,0.0
1,2,1,P1,Ar41,0.0,0.0
1,2,1,P1,C12,0.0,0.0
1,2,1,P1,C13,0.0,0.0
1,2,2,P0,N15,0.0,0.0
1,2,2,P0,N14,0.0,0.0
1,2,2,P0,O17,0.0,0.0
1,2,2,P0,O16,0.0,0.0
1,2,2,P0,O18,0.0,0.0
1,2,2,P0,Ar38,0.0,0.0
1,2,2,P0,Ar36,0.0,0.0
1,2,2,P0,Ar40,0.0,0.0
1,2,2,P0,Ar41,0.0,0.0
1,2,2,P0,C12,0.0,0.0
1,2,2,P0,C13,0.0,0.0
1,2,2,P1,N15,0.0,0.0
1,2,2,P1,N14,0.0,0.0
1,2,2,P1,O17,0.0,0.0
1,2,2,P1,O16,0.0,0.0
1,2,2,P1,O18,0.0,0.0
1,2,2,P1,Ar38,0.0,0.0
1,2,2,P1,Ar36,0.0,0.0
1,2,2,P1,Ar40,0.0,0.0
1,2,2,P1,Ar41,0.0,0.0
1,2,2,P1,C12,0.0,0.0
1,2,2,P1,C13,0.0,0.0
