cell,group in,nuclide,mean,std. dev.
1,1,N15,0.00015159814044650417,2.0215130296508617e-05
1,1,N14,0.13094964734151437,0.0011841374289637502
1,1,O17,0.09607464415461488,0.0005278866329772265
1,1,O16,0.012161430820292321,0.0002609044007301047
1,1,O18,0.0003747109973666654,6.639414913100402e-06
1,1,Ar38,0.008325075519874577,0.00012548489890219455
1,1,Ar36,0.2434272739718133,0.0022369481829489658
1,1,Ar40,0.0008028175377146284,1.8272123907739707e-05
1,1,Ar41,0.003928338605204845,5.011227929347419e-05
1,1,C12,0.0011597790035717563,4.240670096563725e-05
1,1,C13,0.0010213739775639498,2.996542865084845e-05
1,2,N15,0.0,0.0
1,2,N14,0.0,0.0
1,2,O17,0.0,0.0
1,2,O16,0.0,0.0
1,2,O18,0.0,0.0
1,2,Ar38,0.0,0.0
1,2,Ar36,0.0,0.0
1,2,Ar40,0.0,0.0
1,2,Ar41,0.0,0.0
1,2,C12,0.0,0.0
1,2,C13,0.0,0.0
