cell,group in,nuclide,mean,std. dev.
1,1,N15,2.6047768645739198,0.012592887252439535
1,1,N14,1.8554272892485506,0.009234315141203672
1,1,O17,1.4204920508675376,0.007165922756759297
1,1,O16,2.7339280829871986,0.017382720635623457
1,1,O18,3.6042627930576665,0.01851361297218856
1,1,Ar38,2.7689715307471996,0.01505912545393716
1,1,Ar36,2.623951118357794,0.013729398185219031
1,1,Ar40,3.4435669726586404,0.0195075939264948
1,1,Ar41,3.3339339524325804,0.01727196754288359
1,1,C12,2.3853829394862673,0.01236345227574078
1,1,C13,2.313236495174097,0.012506979721326845
1,2,N15,0.0,0.0
1,2,N14,0.0,0.0
1,2,O17,0.0,0.0
1,2,O16,0.0,0.0
1,2,O18,0.0,0.0
1,2,Ar38,0.0,0.0
1,2,Ar36,0.0,0.0
1,2,Ar40,0.0,0.0
1,2,Ar41,0.0,0.0
1,2,C12,0.0,0.0
1,2,C13,0.0,0.0
