cell,group in,nuclide,mean,std. dev.
1,1,N15,2.6049284627143656,0.012590580256645747
1,1,N14,1.9863769365900643,0.010032848298420176
1,1,O17,1.5165666950221524,0.007654301594775976
1,1,O16,2.746089513807493,0.017449136315021745
1,1,O18,3.6046375040550327,0.01851502759950202
1,1,Ar38,2.7772966062670736,0.015117632703408218
1,1,Ar36,2.867378392329607,0.015403775362811694
1,1,Ar40,3.4443697901963537,0.01950975495057853
1,1,Ar41,3.3378622910377853,0.017294450520009347
1,1,C12,2.3865427184898387,0.01236975323309987
1,1,C13,2.314257869151662,0.01251447921304728
1,2,N15,0.0,0.0
1,2,N14,0.0,0.0
1,2,O17,0.0,0.0
1,2,O16,0.0,0.0
1,2,O18,0.0,0.0
1,2,Ar38,0.0,0.0
1,2,Ar36,0.0,0.0
1,2,Ar40,0.0,0.0
1,2,Ar41,0.0,0.0
1,2,C12,0.0,0.0
1,2,C13,0.0,0.0
