cell,group in,nuclide,mean,std. dev.
1,1,O16,3.785120785919796e-08,2.360542121993141e-10
1,1,O18,3.785120785919796e-08,2.360542121993141e-10
1,1,O17,3.785120785919796e-08,2.360542121993141e-10
1,1,H1,3.785120785919796e-08,2.360542121993141e-10
1,1,H2,3.785120785919796e-08,2.360542121993141e-10
1,2,O16,3.777121981058512e-06,4.254732382674188e-08
1,2,O18,3.777121981058511e-06,4.2547323826743356e-08
1,2,O17,3.777121981058511e-06,4.2547323826743356e-08
1,2,H1,3.777121981058511e-06,4.2547323826743356e-08
1,2,H2,3.777121981058511e-06,4.2547323826743356e-08
