time,Ar41ActOutletFlowrate,Ar41ActTotal
0,0,0
1,3.8432698064481e-11,1.3785475342186e-07
2,8.8913577956665e-11,2.7470914425007e-07
3,1.4239940325358e-10,4.1054453177075e-07
3.5,1.6924100679659e-10,4.7820620695263e-07
4.5,2.2234928846375e-10,6.125032234582e-07
5.5,2.7481954099186e-10,7.4577562320577e-07
6.5,3.2650181508117e-10,8.7802743371309e-07
7.5,3.7756581167431e-10,1.0092637855085e-06
8.5,4.2811682146066e-10,1.1394905007087e-06
9.5,4.7820500415781e-10,1.2687138861832e-06
10.5,5.2786187292265e-10,1.3969405991438e-06
11.5,5.7711521769056e-10,1.5241775621942e-06
12.5,6.2599068812624e-10,1.650431917812e-06
13.5,6.7451011137879e-10,1.7757110138598e-06
14.5,7.226903061627e-10,1.9000224086373e-06
15.5,7.7054294066672e-10,2.0233738904251e-06
16.5,8.1807509964845e-10,2.1457735057641e-06
17,8.4156760122145e-10,2.2067364734713e-06
18,8.8872553029627e-10,2.3277230076464e-06
19,9.3553598697755e-10,2.4477789471825e-06
20,9.8199318629416e-10,2.5669133981183e-06
21,1.0281041710831e-09,2.6851357421121e-06
22,1.073875102621e-09,2.8024556108883e-06
23,1.1193067441247e-09,2.9188828584978e-06
24,1.1643948123955e-09,3.0344275242723e-06
25,1.2091308572022e-09,3.1490997871179e-06
26,1.2535028613111e-09,3.2629099168307e-06
27,1.2974955360519e-09,3.3758682216647e-06
28,1.3410904510005e-09,3.4879849985575e-06
29,1.3842661205408e-09,3.5992704858835e-06
29.25,1.3946594734684e-09,3.6270401608072e-06
29.75,1.4159193988127e-09,3.6823736873499e-06
30.75,1.4585711852621e-09,3.7922268695404e-06
31.75,1.5006708211096e-09,3.901276131929e-06
32.75,1.5421586076932e-09,4.0095312597652e-06
33.75,1.5830242484311e-09,4.1170018037848e-06
34.25,1.6029620936684e-09,4.1705422871193e-06
35.25,1.6430328182145e-09,4.2768524086904e-06
36.25,1.6824561722139e-09,4.3824006283049e-06
37.25,1.7211844926824e-09,4.487195675038e-06
38.25,1.7591973624633e-09,4.5912460410438e-06
39.25,1.7964925209011e-09,4.694559974447e-06
40.25,1.8330692299167e-09,4.797145489341e-06
41.25,1.8689258171187e-09,4.8990103800413e-06
42.25,1.9040610313052e-09,5.0001622301612e-06
43.25,1.938475774708e-09,5.1006084223323e-06
44.25,1.9721742823283e-09,5.2003561465429e-06
44.75,1.9883937021052e-09,5.2500565138857e-06
45.75,2.0211901711514e-09,5.3487690706539e-06
46.75,2.0533073492671e-09,5.4468001890831e-06
47.25,2.0687373239544e-09,5.4956464604658e-06
47.75,2.0840900641553e-09,5.5443242155175e-06
48.75,2.1151004642685e-09,5.6410110779962e-06
49.75,2.1454163918304e-09,5.7370356301646e-06
50.75,2.1749960261974e-09,5.8324041175982e-06
51.75,2.203881034703e-09,5.9271226190801e-06
52.75,2.2321466323359e-09,6.0211970230348e-06
53.75,2.2598590266293e-09,6.1146330431209e-06
54.75,2.2870686335783e-09,6.2074362395235e-06
55.75,2.3138135708904e-09,6.2996120363402e-06
56.75,2.3401243376956e-09,6.3911657345008e-06
57.75,2.3660271977747e-09,6.4821025200424e-06
58.75,2.391546058675e-09,6.5724274694603e-06
59.25,2.4036843235748e-09,6.6174378865114e-06
59.75,2.4158435973323e-09,6.6622968056599e-06
60.75,2.4410341011001e-09,6.7514122714935e-06
61.75,2.4659053930523e-09,6.8399301543864e-06
62.75,2.49034293444e-09,6.9278552782468e-06
63.75,2.5143557166581e-09,7.0151923816374e-06
64.75,2.5380114180408e-09,7.1019460640601e-06
65.75,2.5613707477985e-09,7.1881207971866e-06
66.75,2.5844748419952e-09,7.2737209467072e-06
67.75,2.6073488294421e-09,7.3587507903501e-06
68.75,2.6300078928876e-09,7.4432145297561e-06
69.75,2.652461940065e-09,7.5271162982342e-06
70.75,2.6747183843295e-09,7.610460165242e-06
71.75,2.6967835200929e-09,7.6932501389019e-06
72.75,2.7186630912036e-09,7.775490168903e-06
73.75,2.7403624745446e-09,7.8571841490137e-06
74.25,2.750512592136e-09,7.897895446292e-06
75.25,2.772155658483e-09,7.9787775152662e-06
76.25,2.7936756579977e-09,8.0591227855802e-06
77.25,2.8149787078646e-09,8.1389350310812e-06
78.25,2.8360239562601e-09,8.2182180218715e-06
79.25,2.8568427363623e-09,8.2969754555468e-06
80.25,2.8774722948612e-09,8.3752109544949e-06
81.25,2.8979385867959e-09,8.4529280794872e-06
82.25,2.918256365143e-09,8.530130342559e-06
83.25,2.9384330763319e-09,8.606821216046e-06
84.25,2.9584723601103e-09,8.6830041384612e-06
85.25,2.978376245865e-09,8.7586825173101e-06
86.25,2.9981462641895e-09,8.833859730764e-06
87.25,3.017783944268e-09,8.9085391288048e-06
88.25,3.0372909535928e-09,8.9827240343273e-06
89.25,3.0566690884939e-09,9.0564177440291e-06
90.25,3.0759202120102e-09,9.1296235287088e-06
90.75,3.0847029448933e-09,9.1661052610101e-06
91.75,3.1040260176874e-09,9.2385853847595e-06
92.25,3.1128792162118e-09,9.2747054123522e-06
92.75,3.121907382072e-09,9.3107056984197e-06
93.75,3.1415444900896e-09,9.3822287586417e-06
94.75,3.1609318352255e-09,9.4532776175719e-06
95.75,3.1799272249714e-09,9.523855696491e-06
96.75,3.1985520862287e-09,9.5939663680763e-06
97.75,3.2169167960393e-09,9.6636128708154e-06
98.75,3.2351099890301e-09,9.7327983328997e-06
99.25,3.2432844378604e-09,9.767276641307e-06
100.25,3.2615914046462e-09,9.8357764836478e-06
101.25,3.2798493277311e-09,9.903822516115e-06
102.25,3.2979579329816e-09,9.9714177782672e-06
103.25,3.3158492958646e-09,1.0038565353984e-05
103.75,3.3238149598948e-09,1.0072028075187e-05
104.75,3.3417473099691e-09,1.0138510032351e-05
105.75,3.359600418999e-09,1.0204551407368e-05
106.75,3.377295817419e-09,1.0270155156355e-05
107.75,3.3947728814044e-09,1.0335324272828e-05
108.75,3.4120729296352e-09,1.0400061687092e-05
109.75,3.4292451171914e-09,1.0464370259641e-05
110.75,3.4463225335479e-09,1.05282527979e-05
111.25,3.4538416095222e-09,1.0560088414002e-05
112.25,3.4711354286583e-09,1.0623337410864e-05
113.25,3.4883937544079e-09,1.0686166883088e-05
114.25,3.5055208221001e-09,1.0748579612161e-05
114.75,3.5130024157081e-09,1.0779682669494e-05
115.75,3.5301623208334e-09,1.0841475924986e-05
116.75,3.5472082910959e-09,1.0902859043601e-05
117.75,3.5640919270228e-09,1.0963834771045e-05
118.75,3.5807579928815e-09,1.1024405886269e-05
119.75,3.597258471436e-09,1.1084575095879e-05
120,3.599908685457e-09,1.1099592694472e-05
120.5,3.6075999480471e-09,1.1129528164878e-05
121.5,3.6245946548818e-09,1.1189001079151e-05
122.5,3.6416773967404e-09,1.1248078389209e-05
123.5,3.6584821820159e-09,1.1306762856098e-05
124.5,3.6749319932197e-09,1.1365057294012e-05
125,3.6819535271291e-09,1.1394107920989e-05
126,3.698441004557e-09,1.1451822741408e-05
127,3.7148471510401e-09,1.1509153633433e-05
128,3.7311318850204e-09,1.1566103119129e-05
129,3.7472220688295e-09,1.162267377391e-05
130,3.7631641120229e-09,1.1678868108556e-05
131,3.7790128481202e-09,1.1734688562121e-05
131.5,3.7857282909672e-09,1.1762506222648e-05
132.5,3.8019026548338e-09,1.1817770807081e-05
133.5,3.8180512987109e-09,1.1872666999699e-05
134.5,3.8340985926384e-09,1.1927197198668e-05
135.5,3.8499453659092e-09,1.1981363882719e-05
136.5,3.8656328545744e-09,1.2035169472327e-05
137.5,3.8812176844331e-09,1.2088616315734e-05
138.5,3.8967385426655e-09,1.2141706707635e-05
