material,group in,nuclide,mean,std. dev.
5,1,total,9.783655936846381e-06,2.2909731571753792e-07
5,2,total,1.4268939841622922e-05,1.646855031540892e-07
5,3,total,9.14262750596679e-06,7.734476489339436e-08
5,4,total,4.113178219001054e-06,3.5332954215588766e-08
5,5,total,9.79539744396008e-07,8.539464674099402e-09
5,6,total,2.2767726072569053e-06,1.7111262315272126e-08
5,7,total,4.451637210140773e-07,6.104533412233632e-09
5,8,total,6.772237632401458e-08,4.917093274033529e-10
5,9,total,1.365408461725519e-07,3.3040258558209652e-09
5,10,total,4.2099367932784497e-07,4.674623703447257e-09
5,11,total,1.777921741630173e-06,3.031294813756709e-08
5,12,total,3.430620041336848e-06,1.2975801608161885e-07
5,13,total,4.862191058906574e-06,1.6077113153287968e-07
5,14,total,7.424207519838828e-06,2.2962061346016287e-07
5,15,total,1.0055771401363992e-05,4.2734468293846206e-07
5,16,total,1.1468434301365818e-05,1.2848062327169845e-06
5,17,total,1.181165441124417e-05,1.2794411410342547e-06
5,18,total,1.2191293683115383e-05,1.453859573044926e-06
5,19,total,1.3794270240419222e-05,6.239796558630174e-07
5,20,total,1.783532779773953e-05,6.540553301620914e-07
5,21,total,2.1816000836162763e-05,1.3373566979421247e-06
5,22,total,2.7891271509320643e-05,9.112868502974968e-07
5,23,total,4.173050948990286e-05,9.359277209969356e-07
5,24,total,5.916332602048927e-05,1.5233689348415553e-06
5,25,total,9.942224679244942e-05,2.712776258638075e-06
