material,group in,nuclide,mean,std. dev.
5,1,total,2.695252204274388e-10,6.289295641987835e-12
5,2,total,3.411409411583924e-10,3.871953089124688e-12
5,3,total,4.3323781238396085e-10,3.465027917635797e-12
5,4,total,5.515754987827399e-10,4.099045587455069e-12
5,5,total,7.087698902557897e-10,4.582051964754105e-12
5,6,total,9.03031509884871e-10,5.120120588716211e-12
5,7,total,1.4211261114551154e-09,6.623722227379572e-12
5,8,total,3.822951498987933e-09,2.8291581446372697e-11
5,9,total,8.58589656118492e-09,2.07779833022845e-10
5,10,total,2.5345826388791307e-08,2.808778742316691e-10
5,11,total,1.0575432574842818e-07,1.8028665977440145e-09
5,12,total,2.0389734504847744e-07,7.712119967640608e-09
5,13,total,2.889533322021206e-07,9.55447207417923e-09
5,14,total,4.41178433433428e-07,1.3645026343116752e-08
5,15,total,5.975131667722726e-07,2.539280120297798e-08
5,16,total,6.8156996318692e-07,7.635618613631113e-08
5,17,total,7.019050983918914e-07,7.603044604987976e-08
5,18,total,7.244636045660513e-07,8.63960965125693e-08
5,19,total,8.196099164077818e-07,3.7074924855101765e-08
5,20,total,1.060061573341843e-06,3.887449800638912e-08
5,21,total,1.2966935861007415e-06,7.948905852613938e-08
5,22,total,1.6578481115699144e-06,5.416672077647385e-08
5,23,total,2.480402207939537e-06,5.5629934284487465e-08
5,24,total,3.516487469701767e-06,9.054445317976421e-08
5,25,total,5.909238497683331e-06,1.612356946145431e-07
