material,group in,group out,legendre,nuclide,mean,std. dev.
5,1,1,P0,total,3.2643398310378135e-05,3.877228665205667e-06
5,1,1,P1,total,2.0106454643270236e-05,2.9228160488022206e-06
5,1,2,P0,total,1.4568128171573712e-05,2.1751008493666375e-06
5,1,2,P1,total,-2.130294975281601e-06,1.2023153818846496e-06
5,1,3,P0,total,3.237361815905271e-06,9.124999003491446e-07
5,1,3,P1,total,1.4883863802655717e-06,6.005443125984353e-07
5,1,4,P0,total,2.967581664579831e-06,9.560781877031547e-07
5,1,4,P1,total,-2.4139194148854665e-07,5.319541210132555e-07
5,1,5,P0,total,2.428021361928953e-06,8.836368836086693e-07
5,1,5,P1,total,-2.855246349769238e-07,3.5409731947796395e-07
5,1,6,P0,total,2.697801513254392e-07,2.705040743175837e-07
5,1,6,P1,total,-1.0205658033815989e-07,1.0233043704942441e-07
5,1,7,P0,total,2.697801513254392e-07,2.705040743175837e-07
5,1,7,P1,total,2.2518505349672484e-07,2.257893108407609e-07
5,1,8,P0,total,2.697801513254392e-07,2.705040743175837e-07
5,1,8,P1,total,6.982995894860152e-08,7.001733934917967e-08
5,1,9,P0,total,0.0,0.0
5,1,9,P1,total,0.0,0.0
5,1,10,P0,total,0.0,0.0
5,1,10,P1,total,0.0,0.0
5,1,11,P0,total,0.0,0.0
5,1,11,P1,total,0.0,0.0
5,1,12,P0,total,0.0,0.0
5,1,12,P1,total,0.0,0.0
5,1,13,P0,total,0.0,0.0
5,1,13,P1,total,0.0,0.0
5,1,14,P0,total,0.0,0.0
5,1,14,P1,total,0.0,0.0
5,1,15,P0,total,0.0,0.0
5,1,15,P1,total,0.0,0.0
5,1,16,P0,total,0.0,0.0
5,1,16,P1,total,0.0,0.0
5,1,17,P0,total,0.0,0.0
5,1,17,P1,total,0.0,0.0
5,1,18,P0,total,0.0,0.0
5,1,18,P1,total,0.0,0.0
5,1,19,P0,total,0.0,0.0
5,1,19,P1,total,0.0,0.0
5,1,20,P0,total,0.0,0.0
5,1,20,P1,total,0.0,0.0
5,1,21,P0,total,0.0,0.0
5,1,21,P1,total,0.0,0.0
5,1,22,P0,total,0.0,0.0
5,1,22,P1,total,0.0,0.0
5,1,23,P0,total,0.0,0.0
5,1,23,P1,total,0.0,0.0
5,1,24,P0,total,0.0,0.0
5,1,24,P1,total,0.0,0.0
5,1,25,P0,total,0.0,0.0
5,1,25,P1,total,0.0,0.0
5,2,1,P0,total,0.0,0.0
5,2,1,P1,total,0.0,0.0
5,2,2,P0,total,4.6614123489898074e-05,2.5901417935499695e-06
5,2,2,P1,total,2.1659974681368077e-05,1.6117896957617653e-06
5,2,3,P0,total,2.1839706466716533e-05,1.3599320710498583e-06
5,2,3,P1,total,-7.803905190140914e-06,8.244453292361294e-07
5,2,4,P0,total,6.824908270848917e-07,2.0717039042520025e-07
5,2,4,P1,total,2.764855791387314e-07,1.1397511129558773e-07
5,2,5,P0,total,2.7299633083395656e-07,1.3475570672977588e-07
5,2,5,P1,total,-1.081605536058449e-07,8.661365186426845e-08
5,2,6,P0,total,4.77743578959424e-07,1.7581542215726311e-07
5,2,6,P1,total,3.739961038705281e-08,1.0081889690743705e-07
5,2,7,P0,total,0.0,0.0
5,2,7,P1,total,0.0,0.0
5,2,8,P0,total,0.0,0.0
5,2,8,P1,total,0.0,0.0
5,2,9,P0,total,0.0,0.0
5,2,9,P1,total,0.0,0.0
5,2,10,P0,total,0.0,0.0
5,2,10,P1,total,0.0,0.0
5,2,11,P0,total,0.0,0.0
5,2,11,P1,total,0.0,0.0
5,2,12,P0,total,0.0,0.0
5,2,12,P1,total,0.0,0.0
5,2,13,P0,total,0.0,0.0
5,2,13,P1,total,0.0,0.0
5,2,14,P0,total,0.0,0.0
5,2,14,P1,total,0.0,0.0
5,2,15,P0,total,0.0,0.0
5,2,15,P1,total,0.0,0.0
5,2,16,P0,total,0.0,0.0
5,2,16,P1,total,0.0,0.0
5,2,17,P0,total,0.0,0.0
5,2,17,P1,total,0.0,0.0
5,2,18,P0,total,0.0,0.0
5,2,18,P1,total,0.0,0.0
5,2,19,P0,total,0.0,0.0
5,2,19,P1,total,0.0,0.0
5,2,20,P0,total,0.0,0.0
5,2,20,P1,total,0.0,0.0
5,2,21,P0,total,0.0,0.0
5,2,21,P1,total,0.0,0.0
5,2,22,P0,total,0.0,0.0
5,2,22,P1,total,0.0,0.0
5,2,23,P0,total,0.0,0.0
5,2,23,P1,total,0.0,0.0
5,2,24,P0,total,0.0,0.0
5,2,24,P1,total,0.0,0.0
5,2,25,P0,total,0.0,0.0
5,2,25,P1,total,0.0,0.0
5,3,1,P0,total,0.0,0.0
5,3,1,P1,total,0.0,0.0
5,3,2,P0,total,0.0,0.0
5,3,2,P1,total,0.0,0.0
5,3,3,P0,total,4.725295275129542e-05,1.8667582470800835e-06
5,3,3,P1,total,1.0683927726513715e-05,9.607939578547327e-07
5,3,4,P0,total,2.0634021341324134e-05,1.0951535603878515e-06
5,3,4,P1,total,-6.4261383480273346e-06,5.27303419140452e-07
5,3,5,P0,total,1.3918395508481707e-07,6.862607081092987e-08
5,3,5,P1,total,5.528239650356572e-09,3.022505729328615e-08
5,3,6,P0,total,3.479598877120427e-08,3.4807889280641455e-08
5,3,6,P1,total,-1.655757019169959e-08,1.6563233014550202e-08
5,3,7,P0,total,3.479598877120427e-08,3.4807889280641455e-08
5,3,7,P1,total,5.3506567038461905e-09,5.352486671691564e-09
5,3,8,P0,total,0.0,0.0
5,3,8,P1,total,0.0,0.0
5,3,9,P0,total,0.0,0.0
5,3,9,P1,total,0.0,0.0
5,3,10,P0,total,0.0,0.0
5,3,10,P1,total,0.0,0.0
5,3,11,P0,total,0.0,0.0
5,3,11,P1,total,0.0,0.0
5,3,12,P0,total,0.0,0.0
5,3,12,P1,total,0.0,0.0
5,3,13,P0,total,0.0,0.0
5,3,13,P1,total,0.0,0.0
5,3,14,P0,total,0.0,0.0
5,3,14,P1,total,0.0,0.0
5,3,15,P0,total,0.0,0.0
5,3,15,P1,total,0.0,0.0
5,3,16,P0,total,0.0,0.0
5,3,16,P1,total,0.0,0.0
5,3,17,P0,total,0.0,0.0
5,3,17,P1,total,0.0,0.0
5,3,18,P0,total,0.0,0.0
5,3,18,P1,total,0.0,0.0
5,3,19,P0,total,0.0,0.0
5,3,19,P1,total,0.0,0.0
5,3,20,P0,total,0.0,0.0
