material,group in,nuclide,mean,std. dev.
5,1,total,6.643748771518863e-05,1.5477278418001125e-06
5,2,total,8.41560005351158e-05,9.657859189923763e-07
5,3,total,7.723837753121362e-05,6.228589507536583e-07
5,4,total,9.884933447628846e-05,7.37000447628751e-07
5,5,total,0.00010985512532918835,7.316820210629071e-07
5,6,total,0.00011279808933888915,6.419402948422599e-07
5,7,total,0.00017817032205487816,8.12553169781204e-07
5,8,total,0.0002720219778214445,1.9523919336660152e-06
5,9,total,0.0003788102599015838,9.183311192348872e-06
5,10,total,0.0004198135053942858,4.357740049926293e-06
5,11,total,0.0004356857439569092,7.132643559712948e-06
5,12,total,0.00043789782374833996,1.65442603623122e-05
5,13,total,0.00043942925459063435,1.4335068346303722e-05
5,14,total,0.0004421102856579453,1.3620082904937764e-05
5,15,total,0.0004448831315264498,1.900497410015309e-05
5,16,total,0.0004463813290299759,4.998972850162551e-05
5,17,total,0.0004467467389259958,4.840942930141021e-05
5,18,total,0.00044715134100163574,5.3338716694733986e-05
5,19,total,0.00044886994517241686,2.026057734064667e-05
5,20,total,0.00045325867231880946,1.670329596638812e-05
5,21,total,0.0004576554458486181,2.803933469807119e-05
5,22,total,0.0004645526908894539,1.5148133118394928e-05
5,23,total,0.00048099784821352366,1.0691943990819862e-05
5,24,total,0.0005031038962457443,1.2906094387348724e-05
5,25,total,0.0005636807706007025,1.4783183025189384e-05
