material,group in,nuclide,mean,std. dev.
8,1,total,0.001334860599873718,2.324322167548404e-05
8,2,total,0.0003811896974595533,3.333138074750804e-06
8,3,total,3.534297891781327e-06,2.7115400864131786e-08
8,4,total,1.8112680336653256e-06,6.228989246794818e-08
8,5,total,1.1970824253610338e-06,4.598461249774661e-09
8,6,total,1.0844285859441397e-06,3.6392603214670456e-09
8,7,total,1.5515094350198582e-06,3.722460444887753e-09
8,8,total,3.2514123387274255e-06,9.763607868452266e-09
8,9,total,7.675397954802802e-06,5.253018501469001e-08
8,10,total,2.3463385623685787e-05,9.156674679498049e-08
8,11,total,9.802187546644255e-05,5.320576879965751e-07
8,12,total,0.00018913507920453876,1.798906572419547e-06
8,13,total,0.00026824094588364056,2.328876229695485e-06
8,14,total,0.0004074737973503753,3.763134464144083e-06
8,15,total,0.0005542701557767107,6.273621159507914e-06
8,16,total,0.0006317795457743243,2.1847131895618694e-05
8,17,total,0.0006510061758794149,1.8802698792103884e-05
8,18,total,0.0006707711052630702,2.8283270035930947e-05
8,19,total,0.000759677913130037,1.231015353795435e-05
8,20,total,0.000980829992679682,1.1251331284521342e-05
8,21,total,0.001197228609488506,2.166353915689244e-05
8,22,total,0.0015333613110346525,1.7072879127843855e-05
8,23,total,0.002307665600604929,2.3806607215038713e-05
8,24,total,0.003266644946853013,3.475171643240513e-05
8,25,total,0.005629907698144442,5.899577446678851e-05
