material,group in,nuclide,mean,std. dev.
8,1,total,2.700670093952057e-10,4.477304399858805e-12
8,2,total,3.4148649946756746e-10,2.3039824242402898e-12
8,3,total,4.3371075874102875e-10,2.246911295071951e-12
8,4,total,5.515368569065407e-10,2.381649955454841e-12
8,5,total,7.087727756932752e-10,2.7249632221426007e-12
8,6,total,9.027534596003533e-10,3.053970665598859e-12
8,7,total,1.4455487973826935e-09,3.40305948943362e-12
8,8,total,3.9647763812679385e-09,1.1853546688253738e-11
8,9,total,8.584918486080742e-09,5.873597302884945e-11
8,10,total,2.547459484953734e-08,9.932808154025139e-11
8,11,total,1.0587176675818506e-07,5.746622022501271e-10
8,12,total,2.04242128927209e-07,1.9425993715964646e-09
8,13,total,2.896524131199937e-07,2.514770102834436e-09
8,14,total,4.399917499490637e-07,4.063437755626184e-09
8,15,total,5.984876215881938e-07,6.774067138375547e-09
8,16,total,6.823121559298205e-07,2.359480479097671e-08
8,17,total,7.03027652138632e-07,2.030524709157014e-08
8,18,total,7.243968796018091e-07,3.0544453034871586e-08
8,19,total,8.202504776876636e-07,1.3291580645191924e-08
8,20,total,1.0593554851708245e-06,1.2152097412746309e-08
8,21,total,1.29325089350038e-06,2.3401045145796674e-08
8,22,total,1.6562930570879758e-06,1.844158029118423e-08
8,23,total,2.492763086403412e-06,2.571614620284466e-08
8,24,total,3.528663857296055e-06,3.753914953480171e-08
8,25,total,6.081519170733836e-06,6.372178041801395e-08
