material,group in,group out,legendre,nuclide,mean,std. dev.
8,1,1,P0,total,0.010329570462476378,0.0003418193533771137
8,1,1,P1,total,0.007079472417180865,0.00024176666530508015
8,1,2,P0,total,0.010473680065341016,0.00033192581380839595
8,1,2,P1,total,0.003260965987086428,0.0001792757769087064
8,1,3,P0,total,0.004009335022555607,0.00017663880138370696
8,1,3,P1,total,0.002100037198782447,0.00010698434549334584
8,1,4,P0,total,0.0029439533156634225,0.0001215914427942456
8,1,4,P1,total,0.0011193407956352644,6.918621134591696e-05
8,1,5,P0,total,0.0017241684628448372,9.324673877967773e-05
8,1,5,P1,total,0.0002762753628424749,3.801357327631615e-05
8,1,6,P0,total,0.0009624462762745797,6.723633645459824e-05
8,1,6,P1,total,0.00020743906950461988,2.5912391687700542e-05
8,1,7,P0,total,0.0009161253324966593,7.003923050034483e-05
8,1,7,P1,total,0.00018228674580010536,2.1623742044968667e-05
8,1,8,P0,total,0.00030365952032192656,3.648403311498482e-05
8,1,8,P1,total,2.3955087598612114e-05,6.180063438014633e-06
8,1,9,P0,total,0.0,0.0
8,1,9,P1,total,0.0,0.0
8,1,10,P0,total,0.0,0.0
8,1,10,P1,total,0.0,0.0
8,1,11,P0,total,0.0,0.0
8,1,11,P1,total,0.0,0.0
8,1,12,P0,total,0.0,0.0
8,1,12,P1,total,0.0,0.0
8,1,13,P0,total,0.0,0.0
8,1,13,P1,total,0.0,0.0
8,1,14,P0,total,0.0,0.0
8,1,14,P1,total,0.0,0.0
8,1,15,P0,total,0.0,0.0
8,1,15,P1,total,0.0,0.0
8,1,16,P0,total,0.0,0.0
8,1,16,P1,total,0.0,0.0
8,1,17,P0,total,0.0,0.0
8,1,17,P1,total,0.0,0.0
8,1,18,P0,total,0.0,0.0
8,1,18,P1,total,0.0,0.0
8,1,19,P0,total,0.0,0.0
8,1,19,P1,total,0.0,0.0
8,1,20,P0,total,0.0,0.0
8,1,20,P1,total,0.0,0.0
8,1,21,P0,total,0.0,0.0
8,1,21,P1,total,0.0,0.0
8,1,22,P0,total,0.0,0.0
8,1,22,P1,total,0.0,0.0
8,1,23,P0,total,0.0,0.0
8,1,23,P1,total,0.0,0.0
8,1,24,P0,total,0.0,0.0
8,1,24,P1,total,0.0,0.0
8,1,25,P0,total,0.0,0.0
8,1,25,P1,total,0.0,0.0
8,2,1,P0,total,0.0,0.0
8,2,1,P1,total,0.0,0.0
8,2,2,P0,total,0.020153466373956177,0.0002511571129777088
8,2,2,P1,total,0.01228146799625351,0.00016596721627948336
8,2,3,P0,total,0.01542575163335599,0.0001908832284775499
8,2,3,P1,total,0.003816314384945074,0.00011388409958413226
8,2,4,P0,total,0.004387449346594814,8.780596879958633e-05
8,2,4,P1,total,0.0028015658920389477,5.628609114476754e-05
8,2,5,P0,total,0.0027105099986639222,6.350095063419107e-05
8,2,5,P1,total,0.0013535615236855022,3.212547963549246e-05
8,2,6,P0,total,0.001743134322191323,4.248889592978853e-05
8,2,6,P1,total,0.000653347899601523,1.7097087420650196e-05
8,2,7,P0,total,0.002025333949301577,5.5565432244942056e-05
8,2,7,P1,total,0.000521810520648233,1.5087896608528672e-05
8,2,8,P0,total,0.0004912363879326645,2.2244502812534775e-05
8,2,8,P1,total,5.9051669038000654e-05,3.26236414390301e-06
8,2,9,P0,total,1.7419730068534206e-05,4.485167813882124e-06
8,2,9,P1,total,9.057099109232441e-07,2.3300699666262318e-07
8,2,10,P0,total,2.671025277175244e-05,4.917352623342704e-06
8,2,10,P1,total,1.153862966414033e-06,2.1336207796930908e-07
8,2,11,P0,total,0.0,0.0
8,2,11,P1,total,0.0,0.0
8,2,12,P0,total,0.0,0.0
8,2,12,P1,total,0.0,0.0
8,2,13,P0,total,0.0,0.0
8,2,13,P1,total,0.0,0.0
8,2,14,P0,total,0.0,0.0
8,2,14,P1,total,0.0,0.0
8,2,15,P0,total,0.0,0.0
8,2,15,P1,total,0.0,0.0
8,2,16,P0,total,0.0,0.0
8,2,16,P1,total,0.0,0.0
8,2,17,P0,total,0.0,0.0
8,2,17,P1,total,0.0,0.0
8,2,18,P0,total,0.0,0.0
8,2,18,P1,total,0.0,0.0
8,2,19,P0,total,0.0,0.0
8,2,19,P1,total,0.0,0.0
8,2,20,P0,total,0.0,0.0
8,2,20,P1,total,0.0,0.0
8,2,21,P0,total,0.0,0.0
8,2,21,P1,total,0.0,0.0
8,2,22,P0,total,0.0,0.0
8,2,22,P1,total,0.0,0.0
8,2,23,P0,total,0.0,0.0
8,2,23,P1,total,0.0,0.0
8,2,24,P0,total,0.0,0.0
8,2,24,P1,total,0.0,0.0
8,2,25,P0,total,0.0,0.0
8,2,25,P1,total,0.0,0.0
8,3,1,P0,total,0.0,0.0
8,3,1,P1,total,0.0,0.0
8,3,2,P0,total,0.0,0.0
8,3,2,P1,total,0.0,0.0
8,3,3,P0,total,0.024405318524082842,0.00020390033238440114
8,3,3,P1,total,0.010362038250520175,0.00011445898108171307
8,3,4,P0,total,0.016575546668061235,0.0001448296044452034
8,3,4,P1,total,0.005048585439364109,8.010129597426566e-05
8,3,5,P0,total,0.0057465942432450455,6.738538601880564e-05
8,3,5,P1,total,0.0036306758673780243,4.2892858851734226e-05
8,3,6,P0,total,0.0034931912598244615,4.8667577505223384e-05
8,3,6,P1,total,0.0017286097069266985,2.3971672834870546e-05
8,3,7,P0,total,0.004196114905735638,5.667420350565417e-05
8,3,7,P1,total,0.001388971449258332,1.919210528636923e-05
