material,group in,nuclide,mean,std. dev.
8,1,total,0.03299779905784817,0.0005431423789824344
8,2,total,0.047362201692296324,0.0003244953364035539
8,3,total,0.05563568523749524,0.00028780489928732956
8,4,total,0.0679860317010285,0.00029393150535225553
8,5,total,0.09797938573455373,0.0003771572121732328
8,6,total,0.1127344125729812,0.00038161729702861275
8,7,total,0.1701493963384772,0.0004005303757418943
8,8,total,0.2631394145334805,0.0007826414772327478
8,9,total,0.3082984844523518,0.002101438091737588
8,10,total,0.3172920017932,0.0011679101302716952
8,11,total,0.3201845172335432,0.0017252176527180324
8,12,total,0.3205494472591903,0.003037449182000072
8,13,total,0.3209143382761039,0.0027640410614433275
8,14,total,0.32176085454918446,0.00296741468542445
8,15,total,0.32294849008395904,0.003635819264636468
8,16,total,0.32369443905384454,0.011195776906609422
8,17,total,0.3238962093130511,0.009361326012925946
8,18,total,0.3241085860105428,0.013666480004687941
8,19,total,0.3251551836620782,0.0052731379525914265
8,20,total,0.3282513675058324,0.0037619071030424237
8,21,total,0.3319096104719203,0.00601004442219588
8,22,total,0.33918772130694796,0.0037549023704794124
8,23,total,0.3622063276868461,0.0037281680615264077
8,24,total,0.40115444802763517,0.0042653228194879204
8,25,total,0.5349009967726434,0.005585938033408066
