material,group in,nuclide,mean,std. dev.
6,1,total,0.0054118096317528315,8.092470060840556e-05
6,2,total,0.0010820466253592992,8.379757780682149e-06
6,3,total,0.00012875705513877195,7.797920562067252e-07
6,4,total,3.2745364377798516e-05,1.4229891560152048e-07
6,5,total,3.784484694907462e-05,1.5589137897152638e-07
6,6,total,1.822620994402303e-05,1.201554976019058e-07
6,7,total,4.787332348293843e-05,3.3020057267424245e-07
6,8,total,0.00011558591837776226,1.358443384575749e-06
6,9,total,0.0009149888419526002,5.439859777340879e-05
6,10,total,7.164745322753527e-05,7.399226510874952e-07
6,11,total,0.0003158488280695552,5.193594738997326e-06
6,12,total,0.0006293971724449908,2.2112336168511757e-05
6,13,total,0.0008937283876686921,2.577727715569274e-05
6,14,total,0.0013670233280948937,4.7045420381002525e-05
6,15,total,0.0018574715341262947,7.628806073777927e-05
6,16,total,0.0021118513931784894,0.00023436270481639346
6,17,total,0.002177445488665479,0.0002239686762145556
6,18,total,0.0022430526779418005,0.0002458841597478305
6,19,total,0.0025333972118808347,0.00011616096520015098
6,20,total,0.0032711807971375893,0.00013622518442060343
6,21,total,0.0039898978504607245,0.0002855189849435776
6,22,total,0.005130323612239064,0.0001880786710871802
6,23,total,0.007642277578015066,0.00016858753026881236
6,24,total,0.01088641824202922,0.00030875769340683905
6,25,total,0.01807348732837718,0.000496636389620829
