material,group in,nuclide,mean,std. dev.
6,1,total,2.700008031480649e-10,3.833110317775936e-12
6,2,total,3.420077148343987e-10,2.3865616631172763e-12
6,3,total,4.3284819945580196e-10,2.1393412486660133e-12
6,4,total,5.519894131564205e-10,2.3962154519623603e-12
6,5,total,7.09720625092179e-10,2.9057916761797135e-12
6,6,total,9.033230812358363e-10,4.146021633377586e-12
6,7,total,1.4091856673336215e-09,4.946192243038468e-12
6,8,total,3.620365085885034e-09,2.6235518959936172e-11
6,9,total,8.571607248154769e-09,1.7885532551577477e-10
6,10,total,2.4895349661501393e-08,2.572181743775505e-10
6,11,total,1.0323104713529794e-07,1.6963800991795253e-09
6,12,total,2.0383219331322255e-07,7.161078828627179e-09
6,13,total,2.89017840514178e-07,8.335595008808541e-09
6,14,total,4.4169971629793004e-07,1.5200886694988632e-08
6,15,total,5.99991518737083e-07,2.4642190965215673e-08
6,16,total,6.822191726113674e-07,7.57084336898133e-08
6,17,total,7.033330750531796e-07,7.23424837552232e-08
6,18,total,7.245182342601241e-07,7.94219069395938e-08
6,19,total,8.18177832917294e-07,3.751498921130792e-08
6,20,total,1.0566662731467043e-06,4.400362130579709e-08
6,21,total,1.289003474950584e-06,9.224195868001911e-08
6,22,total,1.6572687230443254e-06,6.075551678263198e-08
6,23,total,2.4687797640520437e-06,5.4460978840987786e-08
6,24,total,3.516721620274182e-06,9.974005932467598e-08
6,25,total,5.838363633140705e-06,1.604315160284414e-07
