material,group in,group out,legendre,nuclide,mean,std. dev.
6,1,1,P0,total,0.049083756448146235,0.002467952986796106
6,1,1,P1,total,0.0339574339752228,0.0017864066097057958
6,1,2,P0,total,0.021943326412112427,0.001487752458919677
6,1,2,P1,total,0.0004923257355419736,0.0006490852970869593
6,1,3,P0,total,0.012960678173235986,0.001010415127218806
6,1,3,P1,total,4.442298625461686e-05,0.0005366457459244419
6,1,4,P0,total,0.010586692567247211,0.0008117798194019178
6,1,4,P1,total,0.0008031994223169819,0.00048602532031679426
6,1,5,P0,total,0.007506927456775299,0.0006946410543977029
6,1,5,P1,total,0.0006083708685629894,0.00040570572258480446
6,1,6,P0,total,0.0046838094388427075,0.0005851949153582943
6,1,6,P1,total,-0.00037057581200136393,0.0003109644672136703
6,1,7,P0,total,0.0024381473791236005,0.0004017696892763245
6,1,7,P1,total,8.65255372925094e-05,0.00020765583635982878
6,1,8,P0,total,0.00012832354626966325,9.035925222017334e-05
6,1,8,P1,total,-7.401479068018239e-05,6.392168495539614e-05
6,1,9,P0,total,0.0,0.0
6,1,9,P1,total,0.0,0.0
6,1,10,P0,total,0.0,0.0
6,1,10,P1,total,0.0,0.0
6,1,11,P0,total,0.0,0.0
6,1,11,P1,total,0.0,0.0
6,1,12,P0,total,0.0,0.0
6,1,12,P1,total,0.0,0.0
6,1,13,P0,total,0.0,0.0
6,1,13,P1,total,0.0,0.0
6,1,14,P0,total,0.0,0.0
6,1,14,P1,total,0.0,0.0
6,1,15,P0,total,0.0,0.0
6,1,15,P1,total,0.0,0.0
6,1,16,P0,total,0.0,0.0
6,1,16,P1,total,0.0,0.0
6,1,17,P0,total,0.0,0.0
6,1,17,P1,total,0.0,0.0
6,1,18,P0,total,0.0,0.0
6,1,18,P1,total,0.0,0.0
6,1,19,P0,total,0.0,0.0
6,1,19,P1,total,0.0,0.0
6,1,20,P0,total,0.0,0.0
6,1,20,P1,total,0.0,0.0
6,1,21,P0,total,0.0,0.0
6,1,21,P1,total,0.0,0.0
6,1,22,P0,total,0.0,0.0
6,1,22,P1,total,0.0,0.0
6,1,23,P0,total,0.0,0.0
6,1,23,P1,total,0.0,0.0
6,1,24,P0,total,0.0,0.0
6,1,24,P1,total,0.0,0.0
6,1,25,P0,total,0.0,0.0
6,1,25,P1,total,0.0,0.0
6,2,1,P0,total,0.0,0.0
6,2,1,P1,total,0.0,0.0
6,2,2,P0,total,0.0791469527174759,0.0015469949118689795
6,2,2,P1,total,0.047221900712583226,0.0010569326157783574
6,2,3,P0,total,0.02541518291350742,0.0007087629719231679
6,2,3,P1,total,0.0019811680381621997,0.0003663976864080932
6,2,4,P0,total,0.014046700984578473,0.00045573576958519237
6,2,4,P1,total,0.0012552465650150053,0.0002623522715603525
6,2,5,P0,total,0.00970854407672951,0.0004261988002989803
6,2,5,P1,total,3.8369284365700175e-05,0.00023384568143512536
6,2,6,P0,total,0.004617138059479121,0.00024102120802826267
6,2,6,P1,total,-0.00026158143569599777,0.00013179273085086934
6,2,7,P0,total,0.0018273265431775364,0.00017183670195793798
6,2,7,P1,total,2.9473108401907756e-06,8.868502111386903e-05
6,2,8,P0,total,0.0002371339788856346,5.973937106028896e-05
