material,group in,nuclide,mean,std. dev.
6,1,total,0.11474347105350594,0.0016276958451953262
6,2,total,0.13609497495677436,0.0009505913686569165
6,3,total,0.16614472609628245,0.0008280751201236297
6,4,total,0.18307140884759163,0.0008023124727438866
6,5,total,0.20136135465279903,0.0008365254837989293
6,6,total,0.23929867889874565,0.0010971405615081327
6,7,total,0.2668273134226204,0.0009383897427492879
6,8,total,0.2561102969158676,0.001982950506221776
6,9,total,0.09360452052520173,0.002351561815430985
6,10,total,0.0807364255886581,0.0008190406792342782
6,11,total,0.08592567183812866,0.0014041633205162764
6,12,total,0.08645723786329,0.003032603464045714
6,13,total,0.08675042826400596,0.0024723815671896664
6,14,total,0.08724853823347967,0.0029950629898747045
6,15,total,0.08775722509486608,0.0035915135343518364
6,16,total,0.08802112328203412,0.00976309085345012
6,17,total,0.08808925226374188,0.009047672196924504
6,18,total,0.088157456002421,0.009665787491318347
6,19,total,0.08846013096260119,0.004052392946678253
6,20,total,0.08923434541829432,0.0037034589184268807
6,21,total,0.08999559024458124,0.006456072125825741
6,22,total,0.09122279201708475,0.003304789636384715
6,23,total,0.09400039815099527,0.0020560834943465713
6,24,total,0.09773351133567638,0.0027544882708283036
6,25,total,0.10690086701773625,0.0028528017236383383
