material,group in,nuclide,mean,std. dev.
7,1,total,0.04738675269271778,0.0005542883521829296
7,2,total,0.029853648874197503,0.000165909952732371
7,3,total,0.029944551973321555,0.00011482571285573633
7,4,total,0.026498600328310796,9.17005299757252e-05
7,5,total,0.008062645642581868,2.71422386032471e-05
7,6,total,0.006566604791140232,2.5577773732383383e-05
7,7,total,0.006848680137007847,2.3603414932392723e-05
7,8,total,0.017025979405296304,0.00011749584310042373
7,9,total,0.03226073940083899,0.000714987820966295
7,10,total,0.0401662218766415,0.0004647877740290246
7,11,total,0.09552801681998385,0.0016693661524946157
7,12,total,0.04979251262346865,0.0018094072009702067
7,13,total,0.18057030593698467,0.005279747398596194
7,14,total,0.038313255110201914,0.0012196582180675085
7,15,total,0.03754050659209214,0.0015820948620803516
7,16,total,0.07856524446808758,0.007989148270411441
7,17,total,0.06568420150319781,0.005781420444785811
7,18,total,0.056381661185106985,0.005623681462951515
7,19,total,0.05395353251767089,0.0023734846262134577
7,20,total,0.07718723675388295,0.00313060453112258
7,21,total,0.12516993377544933,0.008274908755047576
7,22,total,0.14143099002862067,0.005520631256020338
7,23,total,0.20461927669125857,0.004844661028352672
7,24,total,0.3048861680598614,0.007931037717491948
7,25,total,0.49894216902008637,0.015185539694015857
