material,group in,nuclide,mean,std. dev.
7,1,total,2.6998558849798173e-10,3.172419485287327e-12
7,2,total,3.4208325084349765e-10,1.9061635538697016e-12
7,3,total,4.325548709369261e-10,1.6657231785912554e-12
7,4,total,5.517181947109789e-10,1.876533095610812e-12
7,5,total,7.097668565472382e-10,2.4138080353997822e-12
7,6,total,9.035905648070298e-10,3.563252214514579e-12
7,7,total,1.4053926385237583e-09,4.929250769954357e-12
7,8,total,3.5424653233608252e-09,2.4804453126357544e-11
7,9,total,8.572599179254747e-09,1.837068251865706e-10
7,10,total,2.4778625221519407e-08,2.678197724994442e-10
7,11,total,1.0229270011677655e-07,1.7555543962584968e-09
7,12,total,2.0383360741451469e-07,7.051604444890011e-09
7,13,total,2.917519424223366e-07,8.09790228873907e-09
7,14,total,4.4175434555512727e-07,1.4065432338629094e-08
7,15,total,5.997851843087086e-07,2.5113370455662267e-08
7,16,total,6.821984086958655e-07,6.934142069811072e-08
7,17,total,7.032119664549763e-07,6.199275500260653e-08
7,18,total,7.247511722627774e-07,7.237281891209112e-08
7,19,total,8.187453227908703e-07,3.610075830910323e-08
7,20,total,1.0551177874935785e-06,4.2541444098502394e-08
7,21,total,1.2885561605041483e-06,8.508318069987503e-08
7,22,total,1.6516999843954957e-06,6.459264507863986e-08
7,23,total,2.4594255608486157e-06,5.821780572937636e-08
7,24,total,3.503887528278548e-06,9.108992558627949e-08
7,25,total,5.553910619067695e-06,1.6902928809864608e-07
