material,group in,group out,legendre,nuclide,mean,std. dev.
7,1,1,P0,total,0.19918672928741626,0.0037171801112799567
7,1,1,P1,total,0.16167686990930247,0.003127355634529973
7,1,2,P0,total,0.011942617561612443,0.00046341344491170397
7,1,2,P1,total,0.001262001091322353,0.00023850147836638411
7,1,3,P0,total,0.00974403110419142,0.0003998259602769563
7,1,3,P1,total,0.0006046812169842144,0.00022342901318673456
7,1,4,P0,total,0.019227874461942476,0.0005303191523225454
7,1,4,P1,total,0.0008065869906788217,0.0002982097392149934
7,1,5,P0,total,0.021673639278481843,0.0006369043091425273
7,1,5,P1,total,-0.0003432349147022419,0.0002806995212715818
7,1,6,P0,total,0.01697725045523338,0.0005751973153960855
7,1,6,P1,total,-0.000251384765941044,0.0002637840703745837
7,1,7,P0,total,0.019436024659094765,0.0005348918311168175
7,1,7,P1,total,-0.00027434016367517935,0.0002977666843540341
7,1,8,P0,total,0.0026278962390476174,0.00017471129873148573
7,1,8,P1,total,-5.7127645755850204e-05,9.386808576317823e-05
7,1,9,P0,total,2.6018774644035824e-05,1.8308829122822758e-05
7,1,9,P1,total,-8.378222706660959e-06,6.569523318133893e-06
7,1,10,P0,total,0.0,0.0
7,1,10,P1,total,0.0,0.0
7,1,11,P0,total,0.0,0.0
7,1,11,P1,total,0.0,0.0
7,1,12,P0,total,0.0,0.0
7,1,12,P1,total,0.0,0.0
7,1,13,P0,total,0.0,0.0
7,1,13,P1,total,0.0,0.0
7,1,14,P0,total,0.0,0.0
7,1,14,P1,total,0.0,0.0
7,1,15,P0,total,0.0,0.0
7,1,15,P1,total,0.0,0.0
7,1,16,P0,total,0.0,0.0
7,1,16,P1,total,0.0,0.0
7,1,17,P0,total,0.0,0.0
7,1,17,P1,total,0.0,0.0
7,1,18,P0,total,0.0,0.0
7,1,18,P1,total,0.0,0.0
7,1,19,P0,total,0.0,0.0
7,1,19,P1,total,0.0,0.0
7,1,20,P0,total,0.0,0.0
7,1,20,P1,total,0.0,0.0
7,1,21,P0,total,0.0,0.0
7,1,21,P1,total,0.0,0.0
7,1,22,P0,total,0.0,0.0
7,1,22,P1,total,0.0,0.0
7,1,23,P0,total,0.0,0.0
7,1,23,P1,total,0.0,0.0
7,1,24,P0,total,0.0,0.0
7,1,24,P1,total,0.0,0.0
7,1,25,P0,total,0.0,0.0
7,1,25,P1,total,0.0,0.0
7,2,1,P0,total,0.0,0.0
7,2,1,P1,total,0.0,0.0
7,2,2,P0,total,0.25519120538762746,0.0023643603003157066
7,2,2,P1,total,0.20513269096174494,0.0019228627455349008
7,2,3,P0,total,0.012923179929432127,0.00019673858134272804
7,2,3,P1,total,0.0012742044546348347,0.0001237510321856318
7,2,4,P0,total,0.02056557546935832,0.0002805587621167765
7,2,4,P1,total,0.0004163561862686683,0.00013626262909644958
7,2,5,P0,total,0.030403189285076918,0.0003914259484250605
7,2,5,P1,total,0.0004924319614634519,0.00017541497394303913
7,2,6,P0,total,0.027813882622007964,0.0003485047105988121
7,2,6,P1,total,0.0003381997480752569,0.00017679000933742178
7,2,7,P0,total,0.030283503182274418,0.00035020621440725474
7,2,7,P1,total,-7.628740695119054e-05,0.0001802149002344387
7,2,8,P0,total,0.0028724664672602684,9.708950095669325e-05
7,2,8,P1,total,-5.696965207819221e-05,5.808908854573483e-05
7,2,9,P0,total,1.459586619542819e-05,6.395070598391794e-06
7,2,9,P1,total,4.473451969892999e-06,3.689546407847488e-06
7,2,10,P0,total,1.1676692956342552e-05,5.749795909798031e-06
7,2,10,P1,total,-1.518309046760116e-06,4.136289030800359e-06
7,2,11,P0,total,0.0,0.0
7,2,11,P1,total,0.0,0.0
7,2,12,P0,total,0.0,0.0
7,2,12,P1,total,0.0,0.0
7,2,13,P0,total,0.0,0.0
7,2,13,P1,total,0.0,0.0
7,2,14,P0,total,0.0,0.0
7,2,14,P1,total,0.0,0.0
7,2,15,P0,total,0.0,0.0
7,2,15,P1,total,0.0,0.0
7,2,16,P0,total,0.0,0.0
7,2,16,P1,total,0.0,0.0
7,2,17,P0,total,0.0,0.0
7,2,17,P1,total,0.0,0.0
7,2,18,P0,total,0.0,0.0
7,2,18,P1,total,0.0,0.0
7,2,19,P0,total,0.0,0.0
7,2,19,P1,total,0.0,0.0
7,2,20,P0,total,0.0,0.0
7,2,20,P1,total,0.0,0.0
7,2,21,P0,total,0.0,0.0
7,2,21,P1,total,0.0,0.0
7,2,22,P0,total,0.0,0.0
7,2,22,P1,total,0.0,0.0
7,2,23,P0,total,0.0,0.0
7,2,23,P1,total,0.0,0.0
7,2,24,P0,total,0.0,0.0
7,2,24,P1,total,0.0,0.0
7,2,25,P0,total,0.0,0.0
7,2,25,P1,total,0.0,0.0
7,3,1,P0,total,0.0,0.0
7,3,1,P1,total,0.0,0.0
7,3,2,P0,total,0.0,0.0
7,3,2,P1,total,0.0,0.0
7,3,3,P0,total,0.2452865851282292,0.00145478445997182
7,3,3,P1,total,0.1734616835773498,0.0010173885493285485
7,3,4,P0,total,0.021829442629588944,0.00021273107679830935
7,3,4,P1,total,0.0007160196317750856,0.00010856960039625945
7,3,5,P0,total,0.03458625986649168,0.00028616989640737353
7,3,5,P1,total,0.0001189223594783659,0.00013375644308609013
7,3,6,P0,total,0.03340919692942085,0.0002762580034161717
7,3,6,P1,total,0.00018889519145925428,0.0001224122143810852
7,3,7,P0,total,0.04071547047574337,0.0003374628165989417
7,3,7,P1,total,4.2027801738178616e-05,0.00013799248154070982
7,3,8,P0,total,0.003964444924471498,7.881067695151016e-05
7,3,8,P1,total,-5.487568286868428e-05,4.6268378260568306e-05
7,3,9,P0,total,2.4238104238266704e-05,6.359205788421016e-06
7,3,9,P1,total,2.539170681029362e-07,3.927798088878584e-06
7,3,10,P0,total,2.272322272337503e-05,5.848282410445328e-06
7,3,10,P1,total,-2.340863392320314e-07,3.507454977702431e-06
7,3,11,P0,total,0.0,0.0
7,3,11,P1,total,0.0,0.0
7,3,12,P0,total,0.0,0.0
7,3,12,P1,total,0.0,0.0
7,3,13,P0,total,0.0,0.0
7,3,13,P1,total,0.0,0.0
7,3,14,P0,total,0.0,0.0
7,3,14,P1,total,0.0,0.0
7,3,15,P0,total,0.0,0.0
7,3,15,P1,total,0.0,0.0
7,3,16,P0,total,0.0,0.0
7,3,16,P1,total,0.0,0.0
7,3,17,P0,total,0.0,0.0
7,3,17,P1,total,0.0,0.0
7,3,18,P0,total,0.0,0.0
7,3,18,P1,total,0.0,0.0
7,3,19,P0,total,0.0,0.0
7,3,19,P1,total,0.0,0.0
7,3,20,P0,total,0.0,0.0
7,3,20,P1,total,0.0,0.0
7,3,21,P0,total,0.0,0.0
7,3,21,P1,total,0.0,0.0
7,3,22,P0,total,0.0,0.0
7,3,22,P1,total,0.0,0.0
7,3,23,P0,total,0.0,0.0
7,3,23,P1,total,0.0,0.0
7,3,24,P0,total,0.0,0.0
7,3,24,P1,total,0.0,0.0
7,3,25,P0,total,0.0,0.0
7,3,25,P1,total,0.0,0.0
7,4,1,P0,total,0.0,0.0
7,4,1,P1,total,0.0,0.0
7,4,2,P0,total,0.0,0.0
7,4,2,P1,total,0.0,0.0
7,4,3,P0,total,0.0,0.0
7,4,3,P1,total,0.0,0.0
7,4,4,P0,total,0.22005009289761734,0.0012048637925323276
7,4,4,P1,total,0.1187001014394186,0.0007101174935075195
7,4,5,P0,total,0.028980000991774373,0.00022790825673852172
7,4,5,P1,total,0.0005414780111926504,9.891739684477989e-05
7,4,6,P0,total,0.03980658151232821,0.00027604081474914783
7,4,6,P1,total,0.00014523272378326904,0.0001357191512264363
7,4,7,P0,total,0.05492256202446437,0.0003547243506377139
7,4,7,P1,total,2.263078605866639e-05,0.0001410708332511804
7,4,8,P0,total,0.00482541880789138,8.163311511999173e-05
7,4,8,P1,total,-2.0133526030797627e-05,4.191364721726434e-05
7,4,9,P0,total,3.748383330832247e-05,7.430830766240052e-06
7,4,9,P1,total,-1.182925257415719e-06,3.586820069770118e-06
7,4,10,P0,total,3.4984911087767644e-05,6.665424188340413e-06
7,4,10,P1,total,3.917819505877433e-06,2.478823236390314e-06
7,4,11,P0,total,1.2494611102774158e-06,1.2494722109079637e-06
7,4,11,P1,total,-9.333021847937448e-07,9.333104765626184e-07
7,4,12,P0,total,0.0,0.0
7,4,12,P1,total,0.0,0.0
7,4,13,P0,total,0.0,0.0
7,4,13,P1,total,0.0,0.0
7,4,14,P0,total,0.0,0.0
7,4,14,P1,total,0.0,0.0
7,4,15,P0,total,0.0,0.0
7,4,15,P1,total,0.0,0.0
7,4,16,P0,total,0.0,0.0
7,4,16,P1,total,0.0,0.0
7,4,17,P0,total,0.0,0.0
7,4,17,P1,total,0.0,0.0
7,4,18,P0,total,0.0,0.0
7,4,18,P1,total,0.0,0.0
7,4,19,P0,total,0.0,0.0
7,4,19,P1,total,0.0,0.0
7,4,20,P0,total,0.0,0.0
7,4,20,P1,total,0.0,0.0
7,4,21,P0,total,0.0,0.0
7,4,21,P1,total,0.0,0.0
7,4,22,P0,total,0.0,0.0
7,4,22,P1,total,0.0,0.0
7,4,23,P0,total,0.0,0.0
7,4,23,P1,total,0.0,0.0
7,4,24,P0,total,0.0,0.0
7,4,24,P1,total,0.0,0.0
7,4,25,P0,total,0.0,0.0
7,4,25,P1,total,0.0,0.0
7,5,1,P0,total,0.0,0.0
7,5,1,P1,total,0.0,0.0
7,5,2,P0,total,0.0,0.0
7,5,2,P1,total,0.0,0.0
7,5,3,P0,total,0.0,0.0
7,5,3,P1,total,0.0,0.0
7,5,4,P0,total,0.0,0.0
7,5,4,P1,total,0.0,0.0
7,5,5,P0,total,0.2834564279289484,0.0015335492377817094
7,5,5,P1,total,0.11082739407297781,0.0006810802732121088
7,5,6,P0,total,0.028395898100120297,0.0002135604594027529
7,5,6,P1,total,0.00022377840155098268,8.443931895874224e-05
7,5,7,P0,total,0.04531005303304376,0.00031318451208239617
7,5,7,P1,total,-8.3086756229544e-06,0.00013008785980288346
7,5,8,P0,total,0.007662559753761838,9.563617802978394e-05
7,5,8,P1,total,-5.633479039208617e-05,5.0865226612006214e-05
7,5,9,P0,total,4.288746130836848e-05,6.974095297250176e-06
7,5,9,P1,total,7.189703175468689e-06,4.209194713741484e-06
7,5,10,P0,total,4.288746130836848e-05,6.796689596604424e-06
7,5,10,P1,total,-7.26468872752065e-06,3.4654765493520397e-06
7,5,11,P0,total,0.0,0.0
7,5,11,P1,total,0.0,0.0
7,5,12,P0,total,0.0,0.0
7,5,12,P1,total,0.0,0.0
7,5,13,P0,total,0.0,0.0
7,5,13,P1,total,0.0,0.0
7,5,14,P0,total,0.0,0.0
7,5,14,P1,total,0.0,0.0
7,5,15,P0,total,0.0,0.0
7,5,15,P1,total,0.0,0.0
7,5,16,P0,total,0.0,0.0
7,5,16,P1,total,0.0,0.0
7,5,17,P0,total,0.0,0.0
7,5,17,P1,total,0.0,0.0
7,5,18,P0,total,0.0,0.0
7,5,18,P1,total,0.0,0.0
7,5,19,P0,total,0.0,0.0
7,5,19,P1,total,0.0,0.0
7,5,20,P0,total,0.0,0.0
7,5,20,P1,total,0.0,0.0
7,5,21,P0,total,0.0,0.0
7,5,21,P1,total,0.0,0.0
7,5,22,P0,total,0.0,0.0
7,5,22,P1,total,0.0,0.0
7,5,23,P0,total,0.0,0.0
7,5,23,P1,total,0.0,0.0
7,5,24,P0,total,0.0,0.0
7,5,24,P1,total,0.0,0.0
7,5,25,P0,total,0.0,0.0
7,5,25,P1,total,0.0,0.0
7,6,1,P0,total,0.0,0.0
7,6,1,P1,total,0.0,0.0
7,6,2,P0,total,0.0,0.0
7,6,2,P1,total,0.0,0.0
7,6,3,P0,total,0.0,0.0
7,6,3,P1,total,0.0,0.0
7,6,4,P0,total,0.0,0.0
7,6,4,P1,total,0.0,0.0
7,6,5,P0,total,0.0,0.0
7,6,5,P1,total,0.0,0.0
7,6,6,P0,total,0.37945405657355524,0.0021575334021566744
7,6,6,P1,total,0.1194343593378136,0.0007764407457586398
7,6,7,P0,total,0.025681672011414636,0.00019511363807943
7,6,7,P1,total,5.25763487975219e-05,8.566563402620784e-05
7,6,8,P0,total,0.0030922074052343973,5.9850523187848545e-05
7,6,8,P1,total,-6.229716944842836e-05,3.2101479680324314e-05
7,6,9,P0,total,2.36517360559997e-05,5.033792712742929e-06
7,6,9,P1,total,1.5920791912034238e-06,2.8777239217660094e-06
7,6,10,P0,total,1.1311699852869425e-05,3.2342304752270497e-06
7,6,10,P1,total,-7.122758487995926e-07,2.178103371855964e-06
7,6,11,P0,total,0.0,0.0
7,6,11,P1,total,0.0,0.0
7,6,12,P0,total,0.0,0.0
7,6,12,P1,total,0.0,0.0
7,6,13,P0,total,0.0,0.0
7,6,13,P1,total,0.0,0.0
7,6,14,P0,total,0.0,0.0
7,6,14,P1,total,0.0,0.0
7,6,15,P0,total,0.0,0.0
7,6,15,P1,total,0.0,0.0
7,6,16,P0,total,0.0,0.0
7,6,16,P1,total,0.0,0.0
7,6,17,P0,total,0.0,0.0
7,6,17,P1,total,0.0,0.0
7,6,18,P0,total,0.0,0.0
7,6,18,P1,total,0.0,0.0
7,6,19,P0,total,0.0,0.0
7,6,19,P1,total,0.0,0.0
7,6,20,P0,total,0.0,0.0
7,6,20,P1,total,0.0,0.0
7,6,21,P0,total,0.0,0.0
7,6,21,P1,total,0.0,0.0
7,6,22,P0,total,0.0,0.0
7,6,22,P1,total,0.0,0.0
7,6,23,P0,total,0.0,0.0
7,6,23,P1,total,0.0,0.0
7,6,24,P0,total,0.0,0.0
7,6,24,P1,total,0.0,0.0
7,6,25,P0,total,0.0,0.0
7,6,25,P1,total,0.0,0.0
7,7,1,P0,total,0.0,0.0
7,7,1,P1,total,0.0,0.0
7,7,2,P0,total,0.0,0.0
7,7,2,P1,total,0.0,0.0
7,7,3,P0,total,0.0,0.0
7,7,3,P1,total,0.0,0.0
7,7,4,P0,total,0.0,0.0
7,7,4,P1,total,0.0,0.0
7,7,5,P0,total,0.0,0.0
7,7,5,P1,total,0.0,0.0
7,7,6,P0,total,0.0,0.0
7,7,6,P1,total,0.0,0.0
7,7,7,P0,total,0.5061560439524003,0.00255739626178752
7,7,7,P1,total,0.10614643589399099,0.0005933213440854134
7,7,8,P0,total,0.0063500222970844095,7.287194530561563e-05
7,7,8,P1,total,-0.00025212341022822204,3.30448360449003e-05
7,7,9,P0,total,1.8814880880250098e-06,1.0752797434083618e-06
7,7,9,P1,total,1.019836374021335e-06,7.515523490346173e-07
7,7,10,P0,total,6.271626960083366e-07,6.271685203863029e-07
7,7,10,P1,total,9.96643183938725e-08,9.96652439633679e-08
7,7,11,P0,total,0.0,0.0
7,7,11,P1,total,0.0,0.0
7,7,12,P0,total,0.0,0.0
7,7,12,P1,total,0.0,0.0
7,7,13,P0,total,0.0,0.0
7,7,13,P1,total,0.0,0.0
7,7,14,P0,total,0.0,0.0
7,7,14,P1,total,0.0,0.0
7,7,15,P0,total,0.0,0.0
7,7,15,P1,total,0.0,0.0
7,7,16,P0,total,0.0,0.0
7,7,16,P1,total,0.0,0.0
7,7,17,P0,total,0.0,0.0
7,7,17,P1,total,0.0,0.0
7,7,18,P0,total,0.0,0.0
7,7,18,P1,total,0.0,0.0
7,7,19,P0,total,0.0,0.0
7,7,19,P1,total,0.0,0.0
7,7,20,P0,total,0.0,0.0
7,7,20,P1,total,0.0,0.0
7,7,21,P0,total,0.0,0.0
7,7,21,P1,total,0.0,0.0
7,7,22,P0,total,0.0,0.0
7,7,22,P1,total,0.0,0.0
7,7,23,P0,total,0.0,0.0
7,7,23,P1,total,0.0,0.0
7,7,24,P0,total,0.0,0.0
7,7,24,P1,total,0.0,0.0
7,7,25,P0,total,0.0,0.0
7,7,25,P1,total,0.0,0.0
7,8,1,P0,total,0.0,0.0
7,8,1,P1,total,0.0,0.0
7,8,2,P0,total,0.0,0.0
7,8,2,P1,total,0.0,0.0
7,8,3,P0,total,0.0,0.0
7,8,3,P1,total,0.0,0.0
7,8,4,P0,total,0.0,0.0
7,8,4,P1,total,0.0,0.0
7,8,5,P0,total,0.0,0.0
7,8,5,P1,total,0.0,0.0
7,8,6,P0,total,0.0,0.0
7,8,6,P1,total,0.0,0.0
7,8,7,P0,total,0.0,0.0
7,8,7,P1,total,0.0,0.0
7,8,8,P0,total,0.6309630186937468,0.006173719305762439
7,8,8,P1,total,0.038928790557209624,0.000790034777075466
7,8,9,P0,total,0.0010287590695868048,4.953017376268386e-05
7,8,9,P1,total,-0.00031389702206557847,3.0721543881170975e-05
