material,group in,nuclide,mean,std. dev.
7,1,total,0.34822883451438197,0.0040888238546824855
7,2,total,0.40993292377638674,0.0022798883936102163
7,3,total,0.40978291325422866,0.0015639401794454294
7,4,total,0.3751569747678927,0.001276372612487527
7,5,total,0.37297335938107307,0.0012600733312751347
7,6,total,0.41482950421725345,0.0016294653653486652
7,7,total,0.5193572550372769,0.0017821001158478977
7,8,total,0.6491346616083553,0.004281946511083685
7,9,total,0.6918323203611111,0.014555467060334918
7,10,total,0.6743849707459649,0.007010229315109265
7,11,total,0.7191300958577568,0.01150847201652756
7,12,total,0.5042201887856401,0.017371919117443808
7,13,total,0.6609673851953713,0.01758243006919462
7,14,total,0.497751857518061,0.015681731088445585
7,15,total,0.5127965489512583,0.021460384322468835
7,16,total,0.5570712211638217,0.05663168758415543
7,17,total,0.5447101666811944,0.04799483633116294
7,18,total,0.5359558255423511,0.05350094705173791
7,19,total,0.53534309499966,0.023533708086087613
7,20,total,0.5612406838769944,0.022554005451167022
7,21,total,0.6105840098732379,0.04032960333870319
7,22,total,0.6278036554337595,0.0244821913638297
7,23,total,0.6920687572705266,0.01638146425278124
7,24,total,0.7930506014340049,0.020557320836636948
7,25,total,0.9883672217962403,0.030158790429315917
