material,group in,group out,legendre,nuclide,mean,std. dev.
5,1,1,P0,total,7.981113799053717e-05,6.367743519757192e-06
5,1,1,P1,total,1.4938465685631582e-05,3.5059625310483263e-06
5,1,2,P0,total,1.2064474347406769e-05,2.0301949681930676e-06
5,1,2,P1,total,-4.5398262836391294e-06,1.2034776734470557e-06
5,1,3,P0,total,0.0,0.0
5,1,3,P1,total,0.0,0.0
5,1,4,P0,total,0.0,0.0
5,1,4,P1,total,0.0,0.0
5,2,1,P0,total,0.0,0.0
5,2,1,P1,total,0.0,0.0
5,2,2,P0,total,0.00022627371462816264,6.623823186895978e-06
5,2,2,P1,total,1.936310736991419e-05,3.021549658172505e-06
5,2,3,P0,total,7.813464714178275e-06,1.1702162676348043e-06
5,2,3,P1,total,-2.3710635636997014e-06,5.965847830926654e-07
5,2,4,P0,total,0.0,0.0
5,2,4,P1,total,0.0,0.0
5,3,1,P0,total,0.0,0.0
5,3,1,P1,total,0.0,0.0
5,3,2,P0,total,0.0,0.0
5,3,2,P1,total,0.0,0.0
5,3,3,P0,total,0.00042228500351106915,9.08732720235947e-06
5,3,3,P1,total,2.5567039027457536e-05,3.3239553126207963e-06
5,3,4,P0,total,6.394482845693682e-06,8.777441700324743e-07
5,3,4,P1,total,-1.6054141029296865e-06,5.045786460851093e-07
5,4,1,P0,total,0.0,0.0
5,4,1,P1,total,0.0,0.0
5,4,2,P0,total,0.0,0.0
5,4,2,P1,total,0.0,0.0
5,4,3,P0,total,6.915109284158098e-08,4.862490420189912e-08
5,4,3,P1,total,-6.511490357998972e-08,4.5787103617817826e-08
5,4,4,P0,total,0.00044799535497418234,5.083093045726564e-06
5,4,4,P1,total,2.043782300906386e-05,2.1387230299379102e-06
