material,group in,group out,legendre,nuclide,mean,std. dev.
7,1,1,P0,total,0.1615290393894922,0.00033779414137446176
7,1,1,P1,total,0.06317439442415078,0.00017821065151442131
7,1,2,P0,total,0.017690387398514876,7.398239862345445e-05
7,1,2,P1,total,-0.0007961239076932498,3.8446622358916014e-05
7,1,3,P0,total,9.34318548564217e-07,5.333354936139393e-07
7,1,3,P1,total,4.623252308713988e-08,5.973612879194313e-08
7,1,4,P0,total,0.0,0.0
7,1,4,P1,total,0.0,0.0
7,2,1,P0,total,0.0,0.0
7,2,1,P1,total,0.0,0.0
7,2,2,P0,total,0.24203593076202867,0.00037796418931376806
7,2,2,P1,total,0.021721380498533775,0.00011551996889345688
7,2,3,P0,total,0.001731702847336735,1.6150663640733604e-05
7,2,3,P1,total,-0.000651933036710367,9.649265452860573e-06
7,2,4,P0,total,0.0,0.0
7,2,4,P1,total,0.0,0.0
7,3,1,P0,total,0.0,0.0
7,3,1,P1,total,0.0,0.0
7,3,2,P0,total,0.0,0.0
7,3,2,P1,total,0.0,0.0
7,3,3,P0,total,0.08294892975320706,0.0001936322821075309
7,3,3,P1,total,0.0022453820088743992,7.487338864178755e-05
7,3,4,P0,total,0.0006076819274773103,9.074080387946401e-06
7,3,4,P1,total,-0.0001631700102547042,5.7030800992724265e-06
7,4,1,P0,total,0.0,0.0
7,4,1,P1,total,0.0,0.0
7,4,2,P0,total,0.0,0.0
7,4,2,P1,total,0.0,0.0
7,4,3,P0,total,6.070574979973114e-05,3.0041474797665366e-06
7,4,3,P1,total,3.879633643049889e-06,1.7639224456968836e-06
7,4,4,P0,total,0.08694256732214989,0.00017033593959467537
7,4,4,P1,total,0.002030058424863366,7.329153863471441e-05
