material,group in,group out,legendre,nuclide,mean,std. dev.
8,1,1,P0,total,0.1724210585214053,0.00015048838484836064
8,1,1,P1,total,0.03220730957464671,3.4730673701676905e-05
8,1,2,P0,total,0.03053587351882878,2.4548585202705223e-05
8,1,2,P1,total,-0.006960202111191072,8.862403924992721e-06
8,1,3,P0,total,1.0807445729131593e-07,2.4451251931577713e-08
8,1,3,P1,total,1.276830911777092e-08,1.537784998350538e-08
8,1,4,P0,total,0.0,0.0
8,1,4,P1,total,0.0,0.0
8,2,1,P0,total,0.0,0.0
8,2,1,P1,total,0.0,0.0
8,2,2,P0,total,0.3964649027657229,7.945945331947664e-05
8,2,2,P1,total,0.035113251165409504,1.950019911630704e-05
8,2,3,P0,total,0.013328144390207583,2.6194839202809475e-06
8,2,3,P1,total,-0.003926593724500548,2.302421155973434e-06
8,2,4,P0,total,0.0,0.0
8,2,4,P1,total,0.0,0.0
8,3,1,P0,total,0.0,0.0
8,3,1,P1,total,0.0,0.0
8,3,2,P0,total,0.0,0.0
8,3,2,P1,total,0.0,0.0
8,3,3,P0,total,0.4483205825289265,0.00010218856197825551
8,3,3,P1,total,0.02758891730572967,1.312242661529194e-05
8,3,4,P0,total,0.00742515511379554,2.096192363397968e-06
8,3,4,P1,total,-0.002031912788999201,1.4865871120351323e-06
8,4,1,P0,total,0.0,0.0
8,4,1,P1,total,0.0,0.0
8,4,2,P0,total,0.0,0.0
8,4,2,P1,total,0.0,0.0
8,4,3,P0,total,9.694693811355953e-05,2.2646350448352522e-07
8,4,3,P1,total,2.688901827577072e-05,1.0520684020580542e-07
8,4,4,P0,total,0.4727890469619699,0.0004856871205938666
8,4,4,P1,total,0.02500386963929527,2.6633962323181815e-05
