material,group in,group out,legendre,nuclide,mean,std. dev.
9,1,1,P0,total,0.2302223172859105,0.002377312957761268
9,1,1,P1,total,0.06568940387630992,0.0008581096032514579
9,1,2,P0,total,0.03301895541476363,0.000428569251336142
9,1,2,P1,total,-0.0012207022799661973,0.00018632883566766965
9,1,3,P0,total,2.1357668444219686e-05,7.250306427709476e-06
9,1,3,P1,total,-1.1722289902254102e-06,4.2096623615214e-06
9,1,4,P0,total,0.0,0.0
9,1,4,P1,total,0.0,0.0
9,2,1,P0,total,0.0,0.0
9,2,1,P1,total,0.0,0.0
9,2,2,P0,total,0.5247201119227577,0.0026544408184453632
9,2,2,P1,total,0.026249603531381224,0.00036550403198813724
9,2,3,P0,total,0.00939849819988812,7.702312010470161e-05
9,2,3,P1,total,-0.0030121091368594346,3.745702921731651e-05
9,2,4,P0,total,0.0,0.0
9,2,4,P1,total,0.0,0.0
9,3,1,P0,total,0.0,0.0
9,3,1,P1,total,0.0,0.0
9,3,2,P0,total,0.0,0.0
9,3,2,P1,total,0.0,0.0
9,3,3,P0,total,0.8994356810978185,0.003288006914929268
9,3,3,P1,total,0.01199162056363636,0.0002978704645262926
9,3,4,P0,total,0.0035686130960514684,3.604969810586953e-05
9,3,4,P1,total,-0.0009435513670951803,1.8550356195411417e-05
9,4,1,P0,total,0.0,0.0
9,4,1,P1,total,0.0,0.0
9,4,2,P0,total,0.0,0.0
9,4,2,P1,total,0.0,0.0
9,4,3,P0,total,0.0009411610999246707,1.923344607094719e-05
9,4,3,P1,total,-3.789794295044559e-05,1.0297982722182269e-05
9,4,4,P0,total,0.8792575959955576,0.0032617411480197404
9,4,4,P1,total,0.010102416784131535,0.00034416119421578966
