cell,group in,nuclide,mean,std. dev.
1,1,O17,3.786154881541065e-08,2.369670648970841e-10
1,1,O18,3.786154881541065e-08,2.369670648970841e-10
1,1,O16,3.786154881541065e-08,2.369670648970841e-10
1,1,H2,3.786154881541065e-08,2.369670648970841e-10
1,1,H1,3.786154881541065e-08,2.369670648970841e-10
1,2,O17,3.777252858420707e-06,4.297882237885551e-08
1,2,O18,3.777252858420707e-06,4.297882237885551e-08
1,2,O16,3.7772528584207066e-06,4.297882237885624e-08
1,2,H2,3.7772528584207066e-06,4.2978822378856966e-08
1,2,H1,3.7772528584207066e-06,4.2978822378856966e-08
