cell,group in,nuclide,mean,std. dev.
1,1,O17,2.8439096071776467e-05,9.299762835506976e-08
1,1,O18,0.00022677908703886966,7.201278501915263e-07
1,1,O16,0.1057613930121869,0.0003310041803610397
1,1,H2,2.9748056986006067e-05,8.892828747590053e-08
1,1,H1,0.6205613143181345,0.002338634403207176
1,2,O17,5.115835156670155e-05,5.651533493978927e-07
1,2,O18,0.0002134181065119546,2.354233814460569e-06
1,2,O16,0.13010109032277015,0.0014353741022758368
1,2,H2,4.2604355302819956e-05,4.73203476123225e-07
1,2,H1,1.901344829524521,0.021219160780411573
