cell,group in,nuclide,mean,std. dev.
1,1,O17,7.683866148168191e-07,2.5808029263086495e-09
1,1,O18,1.4737019081245735e-08,2.5997992016081257e-10
1,1,O16,0.00023234961500648684,3.9894833556636295e-06
1,1,H2,9.005836353662708e-11,3.440467629049784e-13
1,1,H1,0.000184067968707743,1.1574936652415206e-06
1,2,O17,2.51561643690986e-06,2.8623775816180384e-08
1,2,O18,8.574929644981056e-09,9.756883050078605e-11
1,2,O16,4.711692247728081e-06,5.3609557944866546e-08
1,2,H2,4.376254341198219e-09,4.979535418425307e-11
1,2,H1,0.018477574360953205,0.00021024575103399505
