cell,group in,nuclide,mean,std. dev.
1,1,O17,7.683461298712028e-07,2.58244804569494e-09
1,1,O16,0.00023243798946358092,4.00262922248086e-06
1,1,O18,1.4743600493025992e-08,2.6009227333626664e-10
1,1,H1,0.0001840217369062469,1.1528008257333045e-06
1,1,H2,9.004769341721294e-11,3.4168267846649563e-13
1,2,O17,2.5155117466014797e-06,2.837330297091968e-08
1,2,O16,4.711496475526892e-06,5.3140478666786366e-08
1,2,O18,8.574573324004302e-09,9.671516640970317e-11
1,2,H1,0.01847680551858087,0.0002084059992096171
1,2,H2,4.376072292468005e-09,4.935963165277839e-11
