cell,group in,nuclide,mean,std. dev.
1,1,O17,3.785211538489657e-08,2.3601247928382214e-10
1,1,O16,3.785211538489657e-08,2.3601247928382214e-10
1,1,O18,3.785211538489657e-08,2.3601247928382214e-10
1,1,H1,3.785211538489657e-08,2.3601247928380193e-10
1,1,H2,3.785211538489657e-08,2.3601247928380193e-10
1,2,O17,3.777095660397073e-06,4.260272348654336e-08
1,2,O16,3.777095660397073e-06,4.260272348654336e-08
1,2,O18,3.777095660397073e-06,4.260272348654336e-08
1,2,H1,3.777095660397073e-06,4.260272348654336e-08
1,2,H2,3.777095660397075e-06,4.260272348654043e-08
