cell,group in,nuclide,mean,std. dev.
1,1,O16,0.1055334246918049,0.00033085853609464666
1,1,O18,0.0002267578949522961,7.212018047853096e-07
1,1,O17,2.767084212827277e-05,9.176530003440932e-08
1,1,H1,0.6203775378998349,0.0023420563222886354
1,1,H2,2.9747741301813176e-05,8.913737763276055e-08
1,2,O16,0.13009612959386452,0.0014218088279323194
1,2,O18,0.00021340917552568203,2.331988620126796e-06
1,2,O17,4.8642648285580294e-05,5.315695280487677e-07
1,2,H1,1.8828307166153848,0.020804598733457354
1,2,H2,4.259940420235462e-05,4.6859808145843697e-07
